"interaction","name","selected","shared interaction","shared name","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::score","stringdb::textmining"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000444810","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000444810","0.9",,,"0.97","0.72"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000378199","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000378199","0.5",,,"0.52","0.081"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000343925","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000343925","0.5",,,"0.499",
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","0.5","0.329",,"0.836","0.551"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252",,,,"0.404","0.404"
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000498864","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000498864",,"0.664",,"0.664",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000264498","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000264498",,,,"0.937","0.937"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000259607","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000259607",,,,"0.507","0.507"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000474412","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000474412",,,,"0.643","0.643"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000248564","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000248564",,,,"0.406","0.406"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000469613","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000469613",,"0.053",,"0.717","0.714"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000354901","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000354901",,,,"0.56","0.56"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000332504","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000332504","0.65",,,"0.65",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000497260","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000497260",,"0.8",,"0.8",
"ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000261733","false","ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000261733",,,,"0.412","0.413"
"ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000363832","false","ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000363832",,,,"0.408","0.409"
