gene_id,citation_score
SQLE,275
TPD52,186
GGH,516
JPT2,21
MAP7,94
LRP2,455
CACNG4,37
POLE2,53
KRT8,430
SLC7A11,1581
KIF2C,300
NDUFAF6,39
KIF23,207
CLTC,194
CDC6,1062
CCNE1,1065
POLQ,185
SYT1,715
TPX2,689
FANCF,167
RAB25,189
SCUBE2,90
PARD6B,40
CKS2,171
CDT1,659
MYBL1,200
CA2,225389
MARVELD2,78
CTNND2,118
ABAT,337
RET,11267
UBE2T,147
ALCAM,822
HACD3,14
XRCC2,432
RMI2,75
PARPBP,40
CCNA2,784
INTS7,15
BMP7,3279
FEN1,881
GRB14,160
SDC1,1560
MMP9,34408
APOO,39
H4C8,3
TACC3,371
GINS2,87
PMAIP1,741
MCM10,234
AGR2,450
COL1A1,5257
RAD51,5868
TJP3,62
PLK4,487
OAS3,201
AP1S3,40
H3C6,2
NCAPH,73
CDH1,5727
CCL5,8543
SYTL5,11
OTUB2,43
CIT,8687
KRT18,413
KIF20B,56
FREM2,96
H2BC5,1
CCT3,111
ESPL1,146
CDK5,3077
DHCR24,327
ASF1B,114
SORD,136
HSPA2,291
FZD2,255
CDKN3,184
CENPH,90
TOM1L1,43
PCNA,25491
UGDH,137
CBX2,193
WDHD1,63
POSTN,1662
PARP1,7773
KNSTRN,36
LEF1,2104
SIDT1,21
CCNB2,456
HELLS,192
TINCR,119
CASTOR2,7
CDCA8,209
S100P,581
IQGAP3,86
ISG15,1834
FANCA,696
BMPR1B,532
STIL,476
E2F1,5145
CCR5,10850
GALNT6,44
NHERF1,466
TPRN,23
UHRF1,702
SNAP25,2842
CDH2,1223
ANK1,338
AURKA,2492
EEF1A2,294
GJB2,2571
PYCR3,9
RMI1,181
SELL,6870
DSP,5500
MRPL13,35
MRPS30,38
SDSL,248
EPPK1,39
ELP2,80
FOXA1,1522
MCM4,450
FBXO5,121
MAPK8IP2,42
AP1M2,40
MX1,2365
POLR3K,15
EZR,207
PLAAT4,194
RECQL4,335
BRCA2,14395
SLC4A8,36
EZH2,6359
MIS18A,22
BLM,5459
FOXM1,2278
PBX1,1094
TIMELESS,1157
GINS4,38
PODXL2,11
MCM2,1566
BUB1B,478
CENPL,23
CKAP2,75
MZB1,72
KIF5C,100
BUB1,1290
TRIP13,204
CERS6,151
KIFC1,190
RAD51AP1,99
SPC24,80
JPT1,29
SMIM22,3
KIF15,160
RRM2,922
CHAF1B,92
ERBB3,2715
MARCKSL1,107
MAD2L1,687
STAT1,12136
DCAF13,30
VANGL1,163
WDR76,22
CCNE2,308
IL2RB,376
WNT7B,428
CENPU,59
GRIK3,67
FAM83H,131
PTK6,250
LRRC46,8
POLR2F,34
CXCL9,3430
ANLN,230
LYPD3,53
H2BC4,0
OCLN,2002
SPAG1,54
IGF1R,10007
DSCC1,21
PTPRT,116
H2BC12,3
GATA3,5407
ORC1,378
SPTBN2,98
FAM167A,37
MAL2,176
OASL,268
FLRT3,75
GINS1,69
COMP,119933
KPNA2,314
OAS2,282
TOP2A,1349
VAV3,322
GRHL2,232
SMC4,176
CENPE,439
FAM83D,59
ERBB2,37013
CBX4,172
CCNP,54
AFF3,122
H1-2,287
PRLR,1262
H4C9,1
CRB3,485
PSRC1,122
CD2,18167
GABRD,159
FN1,2060
LMNB1,202
SCIN,144
ESRRG,340
GFRA1,540
TNFSF4,554
CENPI,68
BLNK,284
CDCP1,238
COL3A1,1656
CCND1,6429
LMX1B,435
BRIP1,560
C4B,3359
H2AX,7262
STMN1,705
EVPL,34
DSN1,50
ECT2,388
CDK1,5994
CCNO,142
UNC5B,234
ALB,8654
CENPK,51
AZIN1,88
SDS,85714
CD3E,545
DCAF10,4
MISP,194
CCNB1,2300
COL11A1,575
SKA2,84
BAMBI,577
DHCR7,533
CDC25A,1245
ELOVL2,321
IFIT1,583
OAS1,691
TRIM36,50
NPNT,93
POMK,24
FCGR3A,768
RABIF,29
PLS1,352
CDK5R1,249
BIK,1278
MUC5B,1220
GAS2L3,19
FCGR1A,254
RACGAP1,177
ASPN,740
ILDR1,49
LIN9,68
FBXO45,57
CDC20,1658
PYCR1,160
SERPINA1,1058
SPAG5,127
PIK3CG,565
ZWINT,132
DCLRE1A,24
GABRB3,442
KCNK1,106
PLK1,2998
TENT5C,31
TNFRSF18,517
CDCA5,158
KCNK6,45
H2AC6,2
CENPF,391
EPCAM,9870
DTL,634
ECM1,369
SHCBP1,66
KRT19,451
CXCL10,8945
TK1,784
FANCI,421
ITGA11,95
NCAPG2,39
RAB27B,232
EPN3,21
C4A,1930
CCNF,185
RHOH,165
FKBP4,289
SLC7A5,870
COL1A2,1972
ATAD2,168
REPS2,44
MED1,1104
LILRB4,208
ESR1,6883
PTTG1,439
KIF11,827
TONSL,54
TESMIN,25
CIP2A,359
MYBL2,483
CHEK1,2108
KCNK15,19
CD3D,191
RSAD2,396
ESRP1,198
