"gene_id","logFC","logCPM","LR","PValue","FDR"
"ENSG00000249669",-4.32114447285877,5.01846768855242,1591.61875655543,0,0
"ENSG00000145936",-3.96396833502807,4.11326850023778,1495.50198549995,0,0
"ENSG00000136158",-3.35649813328167,4.76902329983177,1620.35490275315,0,0
"ENSG00000198947",-4.21920340116038,5.50230067707306,1473.77710418959,1.97626258336499e-322,1.11382159198451e-318
"ENSG00000154678",-4.61156892755168,3.59847132463619,1421.74551251419,3.95465698591997e-311,1.7830757418116e-307
"ENSG00000168309",-4.62253661090071,4.42813717914261,1385.39531301307,3.13379396241456e-303,1.1774708514779e-299
"ENSG00000109846",-5.04159222740851,7.29975250731738,1377.18624934066,1.90517389904302e-301,6.13574862571798e-298
"ENSG00000149090",-4.39623695488067,4.75442327924827,1358.33913459421,2.37422275394986e-297,6.6905597206307e-294
"ENSG00000133392",-4.65685103011383,7.78637138642117,1356.30634748074,6.56538665394727e-297,1.64455640807319e-293
"ENSG00000182253",-4.91725447897074,7.40247859079717,1322.60893444818,1.38043390793213e-289,3.11205020204219e-286
"ENSG00000241684",-4.48144792436407,1.33032938560666,1262.18848435532,1.86332072454411e-276,3.81879112855658e-273
"ENSG00000006210",-4.0794350549077,7.36477265613657,1241.28369259307,6.50618305630808e-272,1.22229492351174e-268
"ENSG00000158458",-4.6398451012192,1.65162068305257,1222.772342702,6.85918125823077e-268,1.10969692002509e-264
"ENSG00000137960",-3.5448172387085,2.10149903956566,1222.76300569359,6.89130450689817e-268,1.10969692002509e-264
"ENSG00000231367",-4.96230203239706,2.60875775731816,1218.13249622056,6.99240110985081e-267,1.05091127080318e-263
"ENSG00000240583",-2.77783724858389,7.69509331184665,1206.36406352568,2.52472237031541e-264,3.55733381977441e-261
"ENSG00000187699",-3.87860893485851,2.87600183391255,1197.95465156401,1.69750367655048e-262,2.25108958142082e-259
"ENSG00000130176",-4.39844331493269,6.34478727759452,1190.78709222349,6.13094493564417e-261,7.67866792384234e-258
"ENSG00000119771",-3.4917400747115,3.50695355076065,1186.38975981772,5.53602488107846e-260,6.56863920626489e-257
"ENSG00000119147",-6.17151124159949,3.71038589589973,1185.2143104998,9.96915846803338e-260,1.12372354251672e-256
"ENSG00000143867",-4.84446803238767,3.72227809437894,1156.27205408846,1.94423573782957e-253,2.08718335588713e-250
"ENSG00000168874",-4.3266511957838,3.15141412283411,1145.42457111041,4.42887218741363e-251,4.53838611786604e-248
"ENSG00000105971",-3.27595738588853,6.16785009180105,1134.88143271875,8.66385260243173e-249,8.49208230735743e-246
"ENSG00000166265",-2.53835834430808,4.97017840041161,1133.11331191469,2.09889923541264e-248,1.97156601513094e-245
"ENSG00000105974",-3.56833208891826,7.95065894237995,1129.61638627038,1.20783981792272e-247,1.08918163420999e-244
"ENSG00000276365",-5.17411086830825,-0.388099450395175,1121.03607421364,8.84816474657677e-246,7.67203946333949e-243
"ENSG00000145777",-4.95543075586928,0.684138013258186,1119.72262375965,1.70733780783905e-245,1.42556383481199e-242
"ENSG00000184500",-2.64556849020956,5.275111297782,1109.55790047095,2.76399834662651e-243,2.225413525941e-240
