"","cluster","number of genes"
"1","1",3
"2","2",2
"3","3",627
"4","4",2
"5","5",2
"6","6",2
"7","7",2
"8","8",2
"9","9",2
"10","10",2
"11","11",3
"12","12",2
"13","13",5
"14","14",2
"15","15",3
"16","16",3
"17","17",2
"18","18",2
"19","19",2
"20","20",2
"21","21",2
"22","22",5
"23","23",2
"24","24",2
"25","25",2
"26","26",3
"27","27",5
"28","28",2
"29","29",3
"30","30",5
"31","31",2
"32","32",2
"33","33",3
"34","34",2
"35","35",2
"36","36",8
"37","37",2
"38","38",2
"39","39",2
"40","40",2
"41","41",2
"42","42",2
"43","43",2
"44","44",2
"45","45",2
"46","46",2
"47","47",3
"48","48",2
"49","49",5
"50","50",2
"51","51",2
"52","52",2
"53","53",2
"54","54",2
"55","55",2
"56","56",3
"57","57",2
"58","58",2
"59","59",2
"60","60",3
"61","61",2
"62","62",2
"63","63",2
"64","64",2
"65","65",2
"66","66",2
"67","67",2
"68","68",2
"69","69",2
"70","70",2
"71","71",3
