"","gene_id","logFC","logCPM","LR","PValue","FDR"
"1","ENSG00000066279",-4.71947570099517,5.25095428395998,205.424703398125,1.36809785724679e-46,2.9353907625087e-42
"2","ENSG00000111206",-4.3662965121761,5.74519326595442,194.420429286926,3.44749415429192e-44,2.70148242264147e-40
"3","ENSG00000117724",-3.95180673094536,6.97243405938632,194.23866307394,3.77724052382756e-44,2.70148242264147e-40
"4","ENSG00000011426",-4.31599010057806,5.95352767333325,193.588640206867,5.23655774430079e-44,2.80888957404295e-40
"5","ENSG00000249669",4.67671955174538,5.56487911217042,191.777637977048,1.30112892374456e-43,5.58340443757265e-40
"6","ENSG00000131747",-4.20055455806557,7.18272153012582,189.286915745214,4.54970702919723e-43,1.62697523364093e-39
"7","ENSG00000143228",-4.64941260048671,4.3634657151026,181.730474513332,2.03047332123077e-41,5.65067255212502e-38
"8","ENSG00000118193",-4.40840187967229,3.55555111609349,181.656988906914,2.10688760332775e-41,5.65067255212502e-38
"9","ENSG00000173894",-3.31319860771195,4.85452765372172,181.034368077468,2.88123909531763e-41,6.86887400323723e-38
"10","ENSG00000090889",-4.37599727527662,4.80846195084947,177.050519477434,2.13520910335228e-40,4.58130465215265e-37
"11","ENSG00000170312",-3.35508683852383,5.2965512864885,170.727556459781,5.13171865843279e-39,1.00096505032122e-35
"12","ENSG00000088325",-4.16644096428522,6.49621161525698,168.283395814426,1.75428785405185e-38,3.13666668304471e-35
"13","ENSG00000024526",-4.01936553326651,3.64981072800113,165.448593278374,7.29989395190376e-38,1.20481942024652e-34
"14","ENSG00000087586",-3.34948622680853,4.5165601183821,165.252973309719,8.05468885129529e-38,1.2344385999528e-34
"15","ENSG00000175063",-4.85690248505186,5.28132650603486,163.997932382301,1.51430505071081e-37,2.16606194453674e-34
"16","ENSG00000142945",-4.04902397127999,4.96121891250822,161.668416955586,4.88799525157663e-37,6.20184974644929e-34
"17","ENSG00000169679",-3.98229025426043,4.99551724761289,161.657932310162,4.9138444113366e-37,6.20184974644929e-34
"18","ENSG00000117148",-8.28071389580051,2.1915429026395,160.342823759784,9.52238991716395e-37,1.13506887812594e-33
"19","ENSG00000280339",4.80886341277014,3.66828958260187,158.04166139346,3.03066362795335e-36,3.42241677901933e-33
"20","ENSG00000080986",-4.04114187009762,4.30687786335066,157.727389912876,3.54983238491105e-36,3.80826018253258e-33
"21","ENSG00000143476",-3.17253701583853,4.55714568757715,156.928473070118,5.3061500510123e-36,5.42136930926285e-33
"22","ENSG00000112984",-4.0590297373051,4.82501041173671,155.908714310575,8.86370837954883e-36,8.64453304507271e-33
"23","ENSG00000117399",-4.38967561816047,5.62445046213045,155.677444900365,9.95756866207819e-36,9.2891127484152e-33
"24","ENSG00000157456",-3.6421050441645,4.87315971325964,154.503539540372,1.79757370829669e-35,1.60703089521724e-32
"25","ENSG00000168497",5.39681725359135,5.98128117190557,152.975506646122,3.87816154150248e-35,3.32839336137909e-32
"26","ENSG00000145386",-3.65035250703889,4.76486045056033,150.869471856133,1.11922504201345e-34,9.23618942363096e-32
"27","ENSG00000077152",-3.36114478708817,4.17318103872866,150.570891212066,1.30070266071128e-34,1.03362504771189e-31
"28","ENSG00000183856",-4.73494524112037,5.79460279039504,149.925281018695,1.80007893308756e-34,1.37937477101167e-31
"29","ENSG00000117650",-4.81589255407426,4.37694747131242,148.562445848637,3.57424762480652e-34,2.64445024268444e-31
"30","ENSG00000165197",5.75199245560143,3.8034808493167,148.143256198238,4.41383490078615e-34,3.15677472104225e-31
"31","ENSG00000115163",-4.14944752367761,3.31962588410999,147.144954060353,7.29530826865462e-34,5.04929465200818e-31
"32","ENSG00000214548",3.78248393049272,4.8306291508188,146.801244100731,8.67322174292036e-34,5.8153951786281e-31
"33","ENSG00000018625",6.8067525816436,4.80473851642689,146.732153707216,8.98016078279742e-34,5.83873726532429e-31
"34","ENSG00000174371",-4.14352797479134,3.96759280252048,145.52787561882,1.64647686684224e-33,1.03902375455785e-30
"35","ENSG00000125740",4.82490768616393,8.73298985153863,145.146314813309,1.99513831625382e-33,1.22307679181549e-30
"36","ENSG00000109906",5.90714403069609,5.67800109365434,145.01482823853,2.13166587525323e-33,1.27047286165093e-30
"37","ENSG00000198932",3.05801444906297,4.05450590808022,144.744960434184,2.44185157363995e-33,1.41600992875726e-30
"38","ENSG00000134690",-3.61711773154215,4.81380547171896,144.161552215331,3.27544269662058e-33,1.84941838154451e-30
"39","ENSG00000123500",-5.24748712832961,5.0399841882529,142.661925865381,6.96866836757825e-33,3.83383970499382e-30
"40","ENSG00000126787",-4.02016636450763,4.14418475749694,142.584578641472,7.2453888807892e-33,3.88642659565533e-30
"41","ENSG00000065328",-3.81243232301061,4.16302783828838,141.96774396827,9.88403543889053e-33,5.17248449699598e-30
"42","ENSG00000109805",-3.55666183796833,4.24993774374157,141.644654334345,1.16300161738255e-32,5.94127683394287e-30
"43","ENSG00000163431",3.99897574987401,6.13980375317722,141.462538156308,1.27468214086103e-32,6.36036744518936e-30
"44","ENSG00000137807",-3.09341441996741,4.74603574005513,139.698525693723,3.09841578579713e-32,1.51090020681962e-29
"45","ENSG00000138180",-4.26313349699077,4.88563952059467,136.916274102789,1.25778185380227e-31,5.99710387892924e-29
"46","ENSG00000154736",3.58396889699495,5.74404655195197,135.844384331522,2.15797179851283e-31,1.00655310671503e-28
"47","ENSG00000166851",-3.8718228896974,4.76542656223644,135.642332124651,2.38912828063078e-31,1.09066247636626e-28
"48","ENSG00000240216",6.63050383422681,3.67283004898773,133.926412870654,5.6698494587827e-31,2.53409139937118e-28
"49","ENSG00000276365",5.51579292017051,0.250811506531567,133.885735161829,5.78721469841479e-31,2.53409139937118e-28
"50","ENSG00000175356",4.56901938856295,6.42132175035957,132.83333798331,9.83294393844284e-31,4.21951290286459e-28
"51","ENSG00000260947",4.46338223978378,0.240671439027833,132.724372201825,1.03877334415998e-30,4.37018056319541e-28
"52","ENSG00000112742",-3.71227401397158,4.27756867714752,132.543600405851,1.1378016212358e-30,4.69474453562219e-28
"53","ENSG00000123473",-2.84354434703097,4.46425630664935,132.280438857565,1.29908220971422e-30,5.25907696068458e-28
"54","ENSG00000182463",3.36779534613097,5.35819674857481,131.461823324122,1.96211753083486e-30,7.79614698918386e-28
"55","ENSG00000101447",-4.33641922515287,4.42013753042636,130.813602191405,2.71983177310531e-30,1.06103110043177e-27
"56","ENSG00000111665",-4.04107308062493,4.07633321625318,130.691195742739,2.89282762000756e-30,1.10836623955147e-27
"57","ENSG00000079337",3.36522969602304,4.73350664211639,130.519290063493,3.15451789602505e-30,1.1874269469669e-27
"58","ENSG00000094804",-2.80188465479492,4.29166470959646,130.440668988472,3.28196734051449e-30,1.21410157341515e-27
"59","ENSG00000130176",4.73499864501659,6.836609571118,129.813350914321,4.50179763269079e-30,1.63712830520362e-27
"60","ENSG00000129173",-4.10264010822655,2.51030239154939,129.584149111173,5.05282835952703e-30,1.80689142136687e-27
"61","ENSG00000171848",-4.00155927760163,5.78286749074273,129.292270992658,5.85325498308751e-30,2.05239656387814e-27
"62","ENSG00000123485",-3.89507554692878,4.04613952553131,129.266189113174,5.93067612604608e-30,2.05239656387814e-27
"63","ENSG00000173175",4.95947308868649,4.4441711285165,128.517664235717,8.64741957036181e-30,2.94506403653465e-27
"64","ENSG00000186185",-4.21474743248582,3.91070386502443,128.377004287767,9.2824940198283e-30,3.11195612014744e-27
"65","ENSG00000237649",-3.3894611482154,5.43101246638888,127.029810322188,1.83003913019434e-29,6.04081839653072e-27
"66","ENSG00000138778",-3.2277532268012,4.64842486607186,126.747719227156,2.1095562096482e-29,6.85797545972907e-27
"67","ENSG00000173210",3.85453889430228,5.64758540036943,126.609384000835,2.26184968137895e-29,7.24332041248757e-27
"68","ENSG00000109674",-3.89572079014638,1.63697030945434,125.59692248912,3.76733115309654e-29,1.1887037826594e-26
"69","ENSG00000138160",-3.01040882438797,5.31757837676313,125.065463093321,4.92431016351957e-29,1.53124636041269e-26
"70","ENSG00000072571",-3.43710836221888,3.55539325331756,123.621273955689,1.01960075947625e-28,3.12522198504607e-26
"71","ENSG00000165810",5.34001019976619,5.81206107420199,123.288282824349,1.20590983065621e-28,3.64422553895206e-26
"72","ENSG00000075218",-3.42787764021916,3.74636037467187,123.022584879402,1.37870570554398e-28,4.10854300252107e-26
"73","ENSG00000105011",-3.24801106835365,4.68463918454607,122.439293029698,1.84989737083147e-28,5.43717780665206e-26
