"gene_id","cluster","betweenness","degree_centrality"
"H2BC5","2",17518,17
"H2AC20","2",26194,15
"H2BC11","2",25610,15
"H2BC12","2",17808,15
"PLK1","2",25540,15
"H2AX","2",9772,14
"FN1","2",22027,13
"BRCA2","2",4698,12
"ESR1","2",24304,12
"H2BC9","2",407,12
"EZH2","2",4936,11
"FOXA1","2",3365,11
"H1-4","2",7834,11
"H2BC8","2",5842,11
"CCNB1","2",4789,10
"CDK1","2",4157,10
"GATA3","2",3482,10
"H2AC8","2",7308,10
"H2BC4","2",3422,10
"H2BC6","2",694,10
"H2BC7","2",722,10
"KIF20A","2",7043,10
"KIF26B","2",5684,10
"KIFC2","2",402,10
"NEIL3","2",10681,10
"PAGR1","2",3142,10
"RARA","2",811,10
"CBX4","2",1085,9
"CENPI","2",2011,9
"H2BC21","2",616,9
"H4C5","2",372,9
"H4C8","2",7357,9
"UBE2S","2",12679,9
"BGN","2",7597,8
"BRIP1","2",9,8
"CCNA2","2",5304,8
"CENPM","2",26,8
"CENPP","2",0,8
"E2F1","2",4085,8
"EZR","2",3827,8
"H2AC6","2",705,8
"KIF11","2",2155,8
"KIF18B","2",17,8
"KNL1","2",387,8
"MCM4","2",2859,8
"RAD51","2",3703,8
"AURKA","2",406,7
"CENPA","2",2835,7
"CENPK","2",0,7
"CENPU","2",0,7
"H3C10","2",1107,7
"KIF14","2",2026,7
"KIF18A","2",1,7
"OIP5","2",406,7
"ORC1","2",6645,7
"PARP1","2",2635,7
"RAD51AP1","2",414,7
"RMI2","2",1191,7
"SMC4","2",8191,7
"TOP2A","2",1994,7
"AGR2","2",3036,6
"AR","2",5124,6
"AURKB","2",2361,6
"BUB1B","2",1223,6
"CDCA8","2",406,6
"H2BC18","2",6274,6
"H3C8","2",3397,6
"KDM4B","2",0,6
"LUM","2",1626,6
"MAPT","2",5621,6
"MARVELD2","2",2418,6
"MSR1","2",4368,6
"POLE2","2",1603,6
"RACGAP1","2",1898,6
"RET","2",2018,6
"RMI1","2",406,6
"STAT1","2",4557,6
"XRCC2","2",0,6
"CACNA1H","12",60,5
"CATSPER1","12",36,5
"CCNB2","2",1615,5
"CCND1","2",3168,5
"CCNE1","2",1684,5
"CCR4","2",25066,5
"COMP","2",12559,5
"CXCL11","2",25343,5
"DNA2","2",0,5
"FOXM1","2",825,5
"GRIK4","12",83,5
"H3C6","2",61,5
"HJURP","2",0,5
"KIF15","2",21,5
"KPNA2","2",2923,5
"PROC","2",767,5
"TIMELESS","2",1346,5
"UHRF1","2",13445,5
"ACAN","2",10028,4
"ASPM","2",2765,4
"CACNA1D","12",29,4
"CD80","2",1617,4
"CDC20","2",706,4
"COLEC10","2",0,4
"CXCL10","2",25142,4
"EEF1A2","2",1666,4
"EPN3","2",2407,4
"ERBB3","2",3979,4
"EXO1","2",0,4
"F12","2",1972,4
"F7","2",642,4
"FGFR3","2",5921,4
