"gene","avg_rank","rank_variance"
"EGFR",18.4375624375624,1375.65257926617
"UBA52",18.7765567765568,1022.36078267724
"CTNNB1",18.8801198801199,777.15018093166
"UBC",20.3639693639694,2098.10698916895
"KLC1",21.02664002664,350.87004290402
"CAPZB",22.3969363969364,286.136193142855
"H4C6",22.6813186813187,326.853438367096
"KIF23",25.9097569097569,592.114771526497
"KIF2A",26.3193473193473,538.405977988256
"SRC",27.4005994005994,1943.20222482381
"UBB",27.4875124875125,2141.13933434986
"RPS27A",27.5870795870796,6410.33843394003
"KIF20A",27.6127206127206,628.903595627113
"TP53",28.1268731268731,8165.38063335732
"FYN",28.7938727938728,539.058430133047
"EZR",30.5890775890776,280.541279728488
"KIF11",32.8677988677989,922.930884793643
"CAPZA1",33.4905094905095,314.639067128741
"PLK1",34.7216117216117,300.175638707284
"CDK2",34.8001998001998,621.135949327155
"KIF1A",35.6213786213786,794.723686706365
"BRD4",36.5054945054945,453.501218967575
"BRCA1",38.2034632034632,10855.461253825
"CD44",38.3273393273393,647.919129061034
"ESR1",39.6859806859807,509.561252427342
"CCNB1",43.3573093573094,1727.93657796789
"CDK1",44.1764901764902,5291.4598468376
"APP",45.6163836163836,1043.61628045505
"FN1",48.0656010656011,5862.37910612594
"CAPZA2",48.4059274059274,1753.97474166961
"KIF18A",48.8205128205128,2035.42580160235
"KIF2C",50.7532467532468,4866.47906590412
"KIFC1",52.1288711288711,2002.26419949138
"BUB1",52.955044955045,617.579257517965
"RDX",53.4905094905095,330.525143078108
"HSPA8",55.7635697635698,9694.04201683282
"MDM2",61.6000666000666,680.501225844997
"RHOA",62.4455544455544,5053.58689145631
"NDEL1",62.5934065934066,2965.44388722537
"KIF5B",63.2414252414252,11565.5163113591
"MSN",63.7822177822178,3243.76134924369
"DPP4",64.6263736263736,3414.97294843731
"MYO1C",65.8664668664669,787.435527386227
"BUB1B",66.4525474525474,1357.99266755896
"CCNA2",67.4525474525474,673.843433714853
"KIF15",69.0895770895771,3732.60589732275
"KIF17",70.4828504828505,3493.32373977344
"MCM7",71.1491841491842,767.615977848489
"DLG4",71.6423576423576,809.758125285774
"ITGB1",71.7599067599068,1077.37105022448
"KIF1B",72.1292041292041,3478.10988301062
"SYT1",73.976356976357,15667.2496073769
"SPTBN1",76.2604062604063,321.94149310605
"KIF5A",77.6063936063936,6861.66181120678
"ESPN",79.1798201798202,2836.08291042735
"SPTAN1",80.9024309024309,424.858898152702
"CDC6",83.1771561771562,1057.82336872543
"CALM3",84.4818514818515,1797.19179244029
"RBX1",84.8847818847819,18874.6922500107
"KIF3A",85.7365967365967,6603.42260093892
"AURKA",88.1921411921412,703.552343281857
"KIF13B",89.6460206460206,4925.05020651123
"SQSTM1",91.034965034965,6693.84987630624
"KIF20B",91.2294372294372,5198.16153156193
"STX1A",91.9204129204129,1205.2025245463
"SKP1",92.4019314019314,922.902687807418
"KIF1C",93.2550782550783,5865.22405398288
"CDKN1A",93.4445554445554,3146.73801415107
"MYO3A",94.1375291375291,2029.94810142112
"KIF27",96.7302697302697,7038.65606878132
"MYH9",96.7522477522478,338.574840881969
"RAC3",98.2947052947053,675.319182483073
"KIF3C",98.5161505161505,8119.71417944702
"H3C1",99.4462204462205,664.718875616944
"KIF9",99.8448218448219,7146.26438606918
"KIFC2",99.98667998668,6676.83126822101
"SHC1",100.324009324009,7744.23708825041
"KIF13A",101.087246087246,6488.50271203369
"AURKB",103.302031302031,473.196221721871
"KIF7",104.673326673327,8309.25467470571
"MCM10",104.95004995005,2357.67105512742
"CDT1",105.307692307692,1579.00589350689
"MCM2",106.095571095571,7468.83996372271
"MCM3",106.214119214119,2089.0477419538
"CASK",107.491175491175,1647.31329651916
"YWHAE",107.55377955378,1254.72687028716
"RAC1",107.725274725275,9557.66967076894
"KIFAP3",109.014319014319,17435.6910007603
"MCM4",109.040293040293,3310.20523802203
"KIF5C",109.54045954046,11890.9986123137
"MCM6",111.815517815518,1751.01725412052
"KIF25",113.015318015318,8276.32688053674
"KIFC3",113.124542124542,17137.0377818939
"RELA",113.710955710956,1613.80183529551
"MAPK1",113.82683982684,1468.5309649267
"CFTR",114.356643356643,4000.56796634412
"RPA2",115.259074259074,2849.2006796224
"RANBP2",116.781884781885,1011.76620071024
"KIF6",117.649017649018,8969.17457181947
"VAMP2",118.42957042957,3037.4529827268
"CD2AP",118.454878454878,2458.1687661661
"HIF1A",118.710955710956,1178.02035628152
"NDE1",119.968697968698,20810.6072810157
"KIF2B",120.580752580753,16085.6386300797
"MCM5",121.851814851815,2724.68656149536
"GSN",121.9666999667,596.06551299023
"ATP1A1",122.296703296703,7226.29468266577
"APC",122.682983682984,2925.11798816329
"KIF19",122.973026973027,9715.82838613751
"SLC9A1",123.651015651016,3115.7649115264
"CDC45",124.282384282384,3197.81097206147
"DVL2",124.402597402597,2040.70295127923
"ACTG1",128.917748917749,1214.70775615679
"PPP2R1A",129,2605.01998667555
"CDK5",129.981351981352,4699.58326306161
"CCND1",130.381285381285,1699.35257436323
"KIF3B",130.966366966367,15461.8799477227
"ELOB",132.833166833167,1069.92718740287
"KIF21B",133.105228105228,11600.9975842501
"CUL1",133.736596736597,11230.9815616318
"POLE",134.163503163503,885.894310441945
"RPA3",134.955044955045,3808.03295505294
"ELOC",135.036963036963,1031.19683447798
"BSG",135.435564435564,5163.46911449643
"CDC27",136.919413919414,855.524483067454
"KIF14",138.60705960706,35042.0014424838
"FOXO3",144.428571428571,1740.00580565337
"RPA1",148.685980685981,17222.402691468
"CLIC5",150.626040626041,4089.71520440474
"GINS4",151.134532134532,5344.5988171278
"PDLIM7",151.674658674659,17466.0829918471
