"","external_gene_name","logFC"
"1","DBNDD1",1.1163937157451
"2","TMEM132A",1.41391040685645
"3","CX3CL1",1.67218379400425
"4","DNAH9",3.10971793258756
"5","CEACAM7",2.93946230489543
"6","BAIAP3",1.79381757286474
"7","E2F2",1.71630949554964
"8","CELSR3",1.54996321240991
"9","IL32",1.53999190076225
"10","MLXIPL",2.74712866351605
"11","CD9",1.19763020928596
"12","SYT7",2.30636121002245
"13","ANLN",1.59791723094277
"14","BRCA1",1.27161931363305
"15","ALOX5",1.47734230653605
"16","TACC3",1.25561596096484
"17","CLCA1",-2.78855253928112
"18","RUNX3",1.96682328289111
"19","ABCC2",1.50530666465772
"20","DEPDC1",1.83227674169336
"21","HMGB3",1.13679287131696
"22","DEPDC1B",2.44818717844634
"23","RTN4R",2.20499457651546
"24","CP",3.71585264600511
"25","PPP1R3F",1.20654592515073
"26","RAD51",1.16949931143739
"27","POLQ",1.68932933893685
"28","CYBA",1.27298668433821
"29","RELT",1.52437499517708
"30","KCNH2",2.19155047746088
"31","IL17RB",1.53675436457678
"32","SPAG4",1.51783508097878
"33","CDH3",1.55720215250689
"34","POLD1",1.34505557448799
"35","GPC1",2.01545520415191
"36","BCAS1",-1.39316443986691
"37","WDR18",1.12220320958827
"38","MCM10",1.9873593054655
"39","ASPM",1.47551523673316
"40","FGFR3",1.5034011988877
"41","PRR11",1.6080123357197
"42","PITX1",1.88638206103624
"43","ADGRF5",-1.2146201174632
"44","ATP1B3",1.75243068346046
"45","RAB27A",-1.22954783780055
"46","GUCY2C",4.03025589108223
"47","TRIP13",1.90975809842277
"48","HMMR",1.77891351591794
"49","TRHDE",3.30661611146742
"50","MCM2",1.72637982949085
"51","PTGS2",2.32862698059374
"52","ENO1",1.25016989293436
"53","GTSE1",1.67575851140953
"54","WDR62",1.68576113213249
"55","MCM6",1.03851952235895
"56","SPAG5",1.53243066388186
"57","CTTNBP2",1.6075567991908
"58","UBE2T",1.19705374509492
"59","FBLN1",5.28639840674976
"60","FAP",1.8215429710078
"61","PAFAH1B3",1.24482961026813
"62","RIMS1",-1.81448288820427
"63","NDC80",1.64682848036424
"64","APOB",3.87762850511907
"65","ORC1",1.79992644564815
"66","RAD54L",1.50906684387165
"67","FOLH1",2.72234728375226
"68","SNX10",1.73030671455354
"69","ACHE",2.49348043195594
"70","NID2",-1.11981252673345
"71","AURKA",1.27161705336434
"72","AAMDC",-1.14391950993666
"73","TPX2",1.65668492992491
"74","SLC15A1",2.40001444739636
"75","GRAMD1A",1.58884092510586
"76","HEPH",1.6746848975766
"77","CMTM1",1.03410230396398
"78","BIRC5",1.72378239368362
"79","ARHGAP4",1.66582688059274
"80","ICAM1",1.78732117360263
"81","SI",5.15105403707945
"82","P3H2",-1.03537289017668
"83","RAB11FIP3",1.38733163803305
"84","CERS4",2.02068988713079
"85","KIF4A",1.62389861451544
"86","PLEKHG2",1.20126511876638
"87","NAT14",1.72313344640053
"88","PITPNM2",1.57011615352873
"89","NRCAM",3.48525950713361
"90","NLRP1",-1.1263529519946
"91","ORC6",1.14439532453139
"92","SLC7A8",-1.04278545736099
"93","SEMA6A",2.53357206524157
"94","WDR76",1.08467031367691
"95","CLSPN",1.26797098805591
"96","CDC45",1.48084265049745
"97","CDC6",3.35463621839279
"98","PTGS1",1.69000702753312
"99","BAMBI",1.51534838006127
"100","PGC",-3.83782672648685
"101","ACOT7",1.33495483048548
"102","CDC7",1.01020765209483
"103","FBXL19",1.26165489788979
"104","MMP11",1.76554020943558
"105","SUSD2",3.2365100320279
"106","GGT1",1.79283216278017
"107","CENPM",1.64095604985057
"108","RHBDD3",1.03531084539426
"109","PYGL",1.55826699917492
"110","CDKN3",1.5870940206308
"111","GINS1",1.66438652516817
"112","MYBL2",2.29687247401837
"113","TRIB3",1.92649009984119
"114","E2F1",1.33336268834401
"115","FAM83D",1.17393384309184
"116","LIPG",1.91750586421451
"117","VSIG1",-2.03607768845682
"118","ABCD1",1.25865756658411
"119","GABRE",2.12325684325006
"120","CENPI",1.17371338473514
"121","GLA",1.11732181474387
"122","SEC14L5",-1.55317804312276
"123","SLC7A5",2.70727974781003
"124","CRYM",2.12713079490181
"125","QPRT",2.27577716680343
"126","PYCARD",1.12713832921825
"127","CEMIP",3.09902122875795
"128","OIP5",1.5893829856754
"129","CA2",-1.91360659913731
"130","ANXA13",3.18515501040137
"131","MCM4",1.16647268524583
"132","ASF1B",1.54058444923228
"133","CCNE1",1.82148638781985
"134","GPI",1.54521509289398
"135","SLC1A5",1.28684740858986
"136","ISYNA1",1.46277447318941
"137","ERF",1.19313695135823
"138","CADM4",1.38771897686689
"139","PON2",1.02535217422746
"140","ITGB8",1.64761928058
"141","DNAH11",4.8676968124716
"142","BRAT1",1.09620118872138
"143","CPVL",1.34693442357452
"144","HSPB1",1.39715320770816
"145","NUDT1",1.32344511479761
"146","CLDN15",1.94458258288143
"147","MEST",1.05186092888965
"148","SLC1A1",1.39435719759012
