"","node_1","node_2","score"
"600","KRT23","KRT15",0.4
"91","RTN4R","ANPEP",0.982
"577","RTN4R","TNFRSF19",0.982
"484","TRIP13","CDC20",0.95
"87","TRIP13","MAD2L1",0.961
"68","TRIP13","BUB1B",0.457
"1084","CENPM","H4C1",0.8
"266","CDC6","E2F1",0.636
"785","CDC6","MCM10",0.948
"1220","CDC6","CCNA2",0.974
"14","CDC6","MCM4",0.929
"675","CDC6","CCNF",0.422
"450","CDC6","ORC1",0.993
"744","CDC6","CDC45",0.904
"647","CDC6","CDK1",0.54
"709","CDC6","CDC7",0.818
"1","CDC6","ORC6",0.997
"111","CDC6","CDT1",0.999
"149","CDC6","CLSPN",0.499
"74","CDC6","CCNB2",0.453
"239","CENPM","CENPA",0.974
"59","CENPM","CENPH",0.999
"1118","CENPM","H4C4",0.8
"399","CENPM","CENPW",0.972
"506","CENPM","CENPI",0.999
"922","CENPM","H2BC8",0.8
"1435","CENPM","H2BC6",0.8
"1200","CENPM","H4C13",0.8
"774","CENPM","HJURP",0.499
"28","CDC6","MCM6",0.909
"4","NID2","LAMA5",0.599
"181","CENPM","H2BC4",0.8
"229","CENPM","KNL1",0.499
"685","NID2","FBLN2",0.65
"561","CENPM","H2BC10",0.8
"288","CENPM","H2BC7",0.8
"36","CDC6","MCM2",0.979
"115","AURKA","BIRC5",0.875
"2","CENPM","OIP5",0.499
"671","CENPM","CENPK",0.999
"43","AURKA","PHLDA1",0.9
"514","AURKA","CDCA8",0.599
"859","AURKA","CCNE2",0.616
"196","AURKA","TACC3",0.984
"105","AURKA","TPX2",0.999
"1237","AURKA","FAM83D",0.457
"82","AURKA","CCNB2",0.769
"821","AURKA","BRCA1",0.815
"648","AURKA","CDK1",0.654
"283","AURKA","UBE2C",0.778
"349","AURKA","RRM2",0.512
"30","AURKA","UBE2S",0.499
"387","AURKA","ASPM",0.414
"491","AURKA","CDC20",0.49
"6","AURKA","CCNB1",0.445
"167","AURKA","AURKB",0.742
"96","AURKA","PLK1",0.879
"261","MYBL2","FOXM1",0.99
"596","AURKA","PTTG1",0.459
"44","ABCD1","SLC27A2",0.52
"1225","MYBL2","CCNA2",0.647
"397","OIP5","CENPW",0.499
"690","GLA","A4GALT",0.9
"154","ORC6","CLSPN",0.499
"13","ORC6","MCM4",0.893
"114","ORC6","CDT1",0.986
"789","ORC6","MCM10",0.499
"459","ORC6","ORC1",0.978
"5","ORC6","CCNB1",0.499
"192","ORC6","SPAG5",0.453
"753","ORC6","CDC45",0.891
"58","OIP5","CENPH",0.499
"712","ORC6","CDC7",0.834
"498","OIP5","CENPI",0.499
"233","OIP5","KNL1",0.499
"35","ORC6","MCM2",0.886
"243","OIP5","CENPA",0.745
"1478","OIP5","UBE2T",0.476
"780","OIP5","HJURP",0.716
"660","ORC6","CDK1",0.499
"29","ORC6","MCM6",0.861
"952","ITGB8","TLN2",0.762
"687","ITGB8","PARVB",0.65
"946","ITGB8","ITGA7",0.563
"663","OIP5","CENPK",0.499
"701","RPL19","RPL39L",0.499
"1460","RAD51AP1","RAD51",0.896
"1248","RPL19","RECQL4",0.457
"955","RPL19","BOP1",0.502
"107","RPL19","MED1",0.495
