"","external_gene_name","logFC"
"1","CFH",-3.08353069326797
"2","SEMA3F",3.71798322755797
"3","KRIT1",-2.59697013865327
"4","HS3ST1",-3.60165617736593
"5","AOC1",8.25922113534359
"6","ICA1",2.7282317778046
"7","DBNDD1",3.01117870335786
"8","TFPI",-2.65337938565818
"9","RBM5",-2.38303395954619
"10","SLC7A2",-3.67284654748963
"11","CD38",2.60360528293125
"12","RBM6",-2.76851242401106
"13","HSPB6",-3.2318250744431
"14","PDK4",-4.66587016789597
"15","ZMYND10",2.89999008894568
"16","ARX",-5.66358291422969
"17","PRSS22",6.4565326071487
"18","MEOX1",3.19962702991864
"19","ACSM3",-4.03106542670108
"20","PRKAR2B",-2.14388385860845
"21","TSPOAP1",-2.27219693671402
"22","ITGA3",2.09043295576671
"23","YBX2",4.14728510131238
"24","CACNA1G",-3.07701460776978
"25","TNFRSF12A",3.64003288250169
"26","BAIAP2L1",4.06293720790699
"27","ETV1",2.0985416037843
"28","ALDH3B1",2.74979151816434
"29","TTC22",4.79570958028309
"30","IFRD1",-3.19133257729439
"31","PRSS21",8.06225310656916
"32","PROM1",5.86853856446829
"33","MATK",2.48256675827421
"34","BAIAP3",2.1716090913779
"35","CRAMP1",-2.26271393721408
"36","E2F2",5.44644735326835
"37","CAMK1G",-3.4060040005291
"38","CDK11A",-5.04276254325865
"39","ADAM22",-2.31360651126534
"40","CYB561",2.00423703598451
"41","SPAG9",-2.11292136713657
"42","AASS",-4.15278817715517
"43","PLEKHG6",5.49390793518864
"44","MGST1",3.3652943843308
"45","IL32",3.00285090124071
"46","PKD1",-2.36331888192352
"47","RHOBTB2",-2.44048193844508
"48","MASP2",-2.29414457457537
"49","ETV7",2.05512132803013
"50","CD9",3.61936108263237
"51","NCAPD2",2.56056227291063
"52","IFFO1",-3.13340914369095
"53","IDS",-4.77071202186521
"54","CD4",2.28195039278632
"55","ANOS1",3.01702090778699
"56","DPF1",2.93341448428551
"57","ANLN",3.45595843877537
"58","DCN",-3.33299526342969
"59","TYROBP",3.69186262065037
"60","CD22",-3.73439851689696
"61","PRICKLE3",2.18116574680936
"62","LTF",5.5601564034537
"63","ALOX5",2.08838095367569
"64","CLDN11",-3.97619194464817
