"","gene_id","logFC","logCPM","LR","PValue","FDR"
"ENSG00000146205","ENSG00000146205",-4.48544092167563,5.38332859328233,84.5842399381939,3.68188420143992e-20,5.37555093410229e-16
"ENSG00000197635","ENSG00000197635",4.41872263135952,6.97752040226361,79.6826524854093,4.3964384438319e-19,3.20940006399729e-15
"ENSG00000277224","ENSG00000277224",2.60102389117764,5.01690193033645,74.7174014913772,5.43152572693275e-18,2.6433425204406e-14
"ENSG00000134057","ENSG00000134057",2.98598784503149,5.81906222092889,71.1717639428728,3.27440784637365e-17,1.19515886392638e-13
"ENSG00000121621","ENSG00000121621",3.18561686414788,4.52714302325616,67.3185929475598,2.30992651102869e-16,6.13107138170109e-13
"ENSG00000142945","ENSG00000142945",2.90398255310707,4.54289128136282,67.1472867140596,2.51961837604154e-16,6.13107138170109e-13
"ENSG00000184661","ENSG00000184661",2.87805003034866,4.39540726190717,66.0551964159544,4.38470334598825e-16,9.14523840734691e-13
"ENSG00000131747","ENSG00000131747",3.04743751420142,8.14741265189711,64.534603033842,9.48518523639688e-16,1.70461165980914e-12
"ENSG00000274267","ENSG00000274267",3.02574074172279,6.18598336223058,64.3328550687965,1.05078800947139e-15,1.70461165980914e-12
"ENSG00000024526","ENSG00000024526",2.99656450907574,4.42583881969251,63.7459129827706,1.4154691513837e-15,2.0665849610202e-12
"ENSG00000171848","ENSG00000171848",2.66718609836379,5.79526359020069,63.3894494477194,1.69624101662683e-15,2.25137444025016e-12
"ENSG00000169679","ENSG00000169679",2.967592697328,5.23203466194697,62.9768605128975,2.09149292652203e-15,2.43754423808223e-12
"ENSG00000088325","ENSG00000088325",2.81338945678884,5.86365700723281,62.8046808387973,2.28255726197294e-15,2.43754423808223e-12
"ENSG00000011426","ENSG00000011426",2.76047476275606,6.59089715124221,62.7579423760921,2.33737118720214e-15,2.43754423808223e-12
"ENSG00000196787","ENSG00000196787",2.89434869281187,5.6749094683936,62.2007400486665,3.1017133852525e-15,3.01900102831244e-12
"ENSG00000274641","ENSG00000274641",3.04946028102464,4.47910266057673,62.0439255466385,3.358808693301e-15,3.06491293263716e-12
"ENSG00000156802","ENSG00000156802",2.43898566583697,6.53226333334475,61.7937815738798,3.81376829706352e-15,3.27535394924279e-12
"ENSG00000071539","ENSG00000071539",2.88303395973441,3.46297705138979,61.096956322981,5.43320719062065e-15,4.24235822684094e-12
"ENSG00000069849","ENSG00000069849",2.31988379145009,5.74630213723058,60.988396136138,5.74122104082491e-15,4.24235822684094e-12
"ENSG00000165304","ENSG00000165304",2.83570104866638,4.49479284570236,60.8942246918966,6.0225260421076e-15,4.24235822684094e-12
"ENSG00000157456","ENSG00000157456",2.77165044291197,4.30348430975095,60.8684089599759,6.10202210709998e-15,4.24235822684094e-12
