"gene_id","cluster","betweenness","degree_centrality"
"LCK","2",54987,19
"LYN","2",49848,19
"CCNB1","2",76783,14
"PLK1","2",53880,14
"PPP1CA","2",17077,14
"AP1M2","2",7501,13
"AP1S3","2",11076,13
"CDK1","2",17675,13
"KIF12","2",4472,13
"KIF20A","2",24557,13
"KIF26B","2",7640,13
"KIF9","2",7104,13
"H2BC4","2",38282,12
"KIF6","2",0,12
"CD3E","2",14667,11
"H2BC12","2",24896,11
"H2BC9","2",24695,11
"KIF18B","2",764,11
"KIF1A","2",0,11
"RAC3","2",18877,11
"H2AX","2",8754,10
"KIF14","2",5312,10
"KIF18A","2",2337,10
"STAT1","2",28968,10
"SYK","2",13379,10
"BRCA2","2",32217,9
"CCND1","2",30015,9
"CDH1","2",23050,9
"CLDN10","2",8628,9
"GATA3","2",29626,9
"H2BC11","2",72,9
"KIF11","2",1046,9
"MCM4","2",9512,9
"UBE2S","2",77901,9
"APOA1","2",9356,8
"CXCR4","2",10567,8
"GRIK3","2",17866,8
"H2AC8","2",12365,8
"KNL1","2",4993,8
"NDUFA4L2","2",9789,8
"POU5F1","2",14481,8
"RBBP8","2",4708,8
"TPM3","2",8572,8
"TUBB4B","2",4864,8
"VAV3","2",68848,8
"CLDN6","2",4049,7
"CLSPN","2",7028,7
"CXCL17","2",11398,7
"E2F1","2",10918,7
"ERBB3","2",19657,7
"H4C8","2",5828,7
"H4C9","2",13910,7
"HJURP","2",38,7
"HLA-DQB2","2",4331,7
"KIF15","2",2175,7
"KIF2C","2",8668,7
"KIFC1","2",2554,7
"OCLN","2",4018,7
"PCNA","2",4677,7
"POLR2F","2",3038,7
"RAC2","2",1171,7
"RIBC2","2",2064,7
"RMI2","2",2582,7
"TOP2A","2",22036,7
"TRAC","2",3795,7
"ZNF217","2",6359,7
"AGRN","2",5008,6
"AURKB","2",7020,6
"BUB1B","2",3360,6
"CCNA1","2",11799,6
"CDCA8","2",6045,6
"CENPA","2",17610,6
"CLDN1","2",15884,6
"CLDN16","2",23,6
"CLDN4","2",2764,6
"CLDN7","2",1242,6
"CLDN9","2",0,6
"COX5A","2",14138,6
"CX3CR1","2",1960,6
"FAM166B","2",0,6
"GNGT1","2",9443,6
"HDAC9","2",8,6
"HLA-DQA1","2",0,6
"HLA-DQA2","2",761,6
"HLA-DQB1","2",13782,6
"HLA-DRB5","2",206,6
"ISG15","2",10014,6
"ITGB4","2",8018,6
"KIF23","2",5487,6
"KRT23","2",1409,6
"KRT8","2",4632,6
"MSR1","2",2506,6
"NEIL3","2",1223,6
"NRAS","2",8745,6
"PERP","2",31898,6
"PIERCE1","2",0,6
"PTPN6","2",2507,6
"SDC1","2",4415,6
"SERPINA1","2",20309,6
"SFN","2",73299,6
"SMC4","2",4021,6
"SORT1","2",2539,6
"TEKT2","2",0,6
"TIMELESS","2",2280,6
"TNF","2",6688,6
"UBE2C","2",23230,6
"UHRF1","2",16747,6
"VANGL1","2",4805,6
"WDR93","2",3795,6
"COL26A1","1",8,5
"AGR2","2",5272,5
"ANLN","2",10469,5
"APOBR","2",0,5
"BCL2L1","2",2177,5
"BLM","2",1899,5
"CASP8","2",5020,5
"CCNB2","2",21505,5
"CCNE1","2",4140,5
"CD74","2",3917,5
"CDH2","2",2326,5
"CDK5","2",4541,5
"CEBPA","2",18094,5
"CFAP45","2",1552,5
"CLDN3","2",669,5
"CLU","2",1521,5
"CNIH2","2",19080,5
"CXCL14","2",2123,5
"ENKUR","2",0,5
"ESPN","2",3036,5
"FCGR1A","2",26802,5
"GAPDH","2",8828,5
"HLA-DPA1","2",40869,5
"IL1B","2",9795,5
"ITGA3","2",2794,5
"KPNA2","2",2308,5
"KRT16","2",2509,5
"KRT6A","2",969,5
"KRT80","2",0,5
"KRT86","2",13,5
"LEF1","2",4131,5
"LSR","2",4740,5
"MARVELD2","2",3133,5
"MCM10","2",0,5
"PKM","2",3037,5
"PRKCZ","2",4419,5
"RACGAP1","2",1421,5
"RAD51","2",4984,5
"RAD51AP1","2",333,5
"RHOV","2",6094,5
"RUNX3","2",9057,5
"S100A9","2",2897,5
"SAA1","2",6466,5
"TGFA","2",3905,5
"TPD52","2",761,5
"VAMP8","2",3785,5
"XRCC2","2",761,5
"COL10A1","1",5,4
"ASPM","2",8922,4
"BAIAP2L1","2",3579,4
"BLNK","2",80581,4
"CCL28","2",7221,4
"CD2","2",97,4
"CD4","2",3035,4
"CD86","2",4201,4
"CDC20","2",13778,4
"CENPE","2",1501,4
"CENPL","2",4202,4
"CENPM","2",439,4
"CENPW","2",0,4
"CXCL1","2",1755,4
"DLGAP5","2",4794,4
"EPHA1","2",4697,4
"FCER1G","2",1521,4
"FGFR3","2",2641,4
"FOLH1","2",2288,4
"FOLR1","2",608,4
"FOXM1","2",1527,4
"GINS3","2",2215,4
"HLA-DOA","2",7,4
"HLA-DPB1","2",0,4
"HLA-DRA","2",0,4
"HLA-DRB1","2",4530,4
"HOXB5","2",3032,4
"HOXB7","2",761,4
"IL2RG","2",2925,4
"JUP","2",14648,4
"KRT14","2",0,4
"KRT15","2",4,4
"KRT19","2",1083,4
"KRT5","2",0,4
"KRT7","2",0,4
"L1CAM","2",5550,4
"LAMA5","2",3467,4
"MKI67","2",12734,4
"MLF1","2",799,4
"MMP9","2",4920,4
"MRPL13","2",2181,4
"MRPL14","2",231,4
"MUC1","2",6031,4
"MYCN","2",6049,4
"NRCAM","2",1726,4
"ORC1","2",2071,4
"ORC6","2",4900,4
"PIK3CG","2",9360,4
"PTK6","2",5745,4
"RET","2",3789,4
"RYR1","2",1899,4
"S100A4","2",7702,4
"SKA3","2",4414,4
"SPTBN2","2",4273,4
"SYTL1","2",3037,4
"TEC","2",2277,4
"TJP3","2",0,4
"TNFRSF12A","2",1609,4
"TNFSF13B","2",761,4
"TUBB4A","2",2031,4
"TYROBP","2",4887,4
"UNC5B","2",6797,4
"VCAN","2",6657,4
"RSPO1","37",8,4
