"","uniprotswissprot","logFC"
"1","Q9NSG2",-3.18114896628433
"2","P08603",3.61823478494832
"3","Q6P499",-2.11608084348462
"4","Q9Y4W2",1.10269403495659
"5","Q13275",-1.8346855423842
"6","Q9P2G1",-1.77890967389807
"7","Q92934",1.86404965227367
"8","P28838",-2.59261835885755
"9","P14209",2.16234078196203
"10","O14792",2.67049664083551
"11","Q96HP8",4.52461279117081
"12","P20645",-1.57623113448499
"13","Q9P2N7",-3.16295575743068
"14","Q05084",-4.20366171714849
"15","Q96Q42",-1.43173946172999
"16","Q92851",-2.34500695592647
"17","P10646",-1.58298412578029
"18","P52756",1.03705530151862
"19","P84085",1.45988163863502
"20","O60341",-1.15904989305556
"21","P78332",1.63247501390699
"22","Q8N5S9",1.85627923975892
"23","P46063",-2.46234727896599
"24","Q96JG6",-1.08541369371551
"25","O14559",6.23222259946454
"26","Q16654",5.71495965498111
"27","Q96QS3",16.0270453980751
"28","Q9UJS0",-1.47783627359398
"29","P30260",-1.68303658121876
"30","P53701",-1.62724475129172
"31","O14641",2.71193963512648
"32","Q92900",1.16543094784899
"33","O75563",-1.51090533743139
"34","Q9NWR8",-1.84966386616933
"35","P52435",2.34085060020782
"36","Q9UPZ6",2.9667463440429
"37","Q9H6T3",-1.28229285990701
"38","Q53FZ2",3.33290141121052
"39","Q8TCT7",4.4430974189937
"40","Q7L5A3",1.28154710787924
"41","Q9P299",2.92392574974724
"42","P31323",5.56652044402847
"43","O95153",6.12228014528382
"44","Q6NTF9",2.07936047072548
"45","Q9P2D0",-1.17660520554111
"46","O14628",-2.61864162238926
"47","O75592",-1.51174425773952
"48","Q15119",3.75489644595033
"49","P17010",-1.47973288929516
"50","P13473",-1.43569290818021
"51","Q9NZC3",-1.86690515012993
"52","Q96EN9",2.84046049823804
"53","Q9BZF2",2.91932969294586
"54","Q9Y2Y6",4.8897415980432
"55","Q99558",1.08596823601368
"56","Q8TB22",2.38591173250343
"57","Q9NP84",-3.73691006149845
"58","P80192",-2.93644716020898
"59","P11233",-2.27686478363262
"60","Q9UHR4",-3.95758012449634
"61","Q6ZMT4",-1.51378630636058
"62","Q8N3S3",-1.21062147136749
"63","O94887",-2.56714697649987
"64","Q9UBU7",-1.15035746942907
"65","Q8N7H5",1.46882010308973
"66","P49754",-2.12668618860651
"67","Q17R89",1.40172047999647
"68","Q9Y6U3",-3.767590040535
"69","Q96L34",2.84850604874537
"70","Q96CT7",3.33031615583014
"71","Q9NYC9",4.23325455250172
"72","Q14667",-1.45761022033643
"73","O60861",3.22701083750206
"74","O75865",2.68896138095023
"75","Q96CC6",2.06802443770991
"76","Q9NQ29",1.06384984287475
"77","Q9BRB3",2.14015678011488
"78","Q96RY5",1.97287501641978
"79","Q99594",2.88719075340071
"80","Q8WY64",1.66047432684866
"81","O76039",-1.36919617847216
"82","Q9UQ88",4.92521777246759
"83","Q9Y238",2.85358156234893
"84","O43739",1.05682313508272
"85","P49447",-1.46459385162641
"86","Q9NYQ7",-2.76089268382875
"87","Q9UDR5",3.07517876057846
"88","Q8N594",1.20727288684582
"89","P10620",-3.2308677774949
"90","Q14938",5.06778877349142
"91","Q11201",1.30821623090815
"92","P24001",-3.66620047616612
"93","P98161",4.94264463291278
"94","Q9BYZ6",3.02921046697872
"95","Q9P2D3",-1.09957991935682
"96","P60866",3.47573536368742
"97","Q15386",-1.35584889903154
"98","O60673",-1.20156160099416
"99","Q9NP79",-1.49875903417104
"100","Q9NP71",5.03218369033649
"101","Q9Y603",-3.04574071023003
"102","Q9H040",-2.87324207211964
"103","Q15021",-2.11591966377824
"104","Q0D2I5",4.25756356183649
"105","Q9BWX1",1.93596493929798
"106","Q9Y2I1",3.28412509144782
"107","Q9NY15",2.86969765140103
"108","Q9BT04",1.49436649878222
"109","P98182",-1.2292758131795
"110","Q06187",-1.86432056942147
"111","Q96GD3",1.64808785685524
"112","P06241",2.8091122595121
"113","Q01740",4.52361991474264
"114","P51797",2.33524450111857
"115","Q9UBG0",3.63993568020286
"116","O75954",4.30240663258744
"117","Q9P203",-1.4807413816612
"118","O96018",2.45450668305988
"119","Q9NXB0",1.04167444218822
"120","Q8WTS1",-2.43214028970853
"121","P23352",-2.4324700940363
"122","Q9ULX6",1.99951852446951
"123","Q15031",-1.16253468089412
