GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	62920	15097945	7850	0.1122
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	15098200	15169338	55	0.5533
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	15169409	16018760	510	0.1091
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	16037445	16042482	4	-2.2834
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	16047835	16617327	221	0.1739
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	16627347	16636818	4	-0.7949
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	16637050	16864367	43	0.0382
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	16868660	16935752	53	0.5864
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	16949746	21712494	3193	0.1162
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	21715388	21991690	143	0.3111
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	21992508	22011632	7	-1.061
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	22015896	47866873	14261	0.2807
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	47868818	47933067	66	-0.1878
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	47938217	59558083	7559	0.2865
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	59558269	59851595	182	0.515
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	59862941	70248074	7306	0.2728
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	70250201	70379972	51	0.581
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	70380708	72302815	1206	0.2593
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	72303233	72336821	31	-0.7557
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	72338895	72339814	4	0.3282
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	72340125	72345450	10	-0.6646
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	72345465	72673241	233	0.2186
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	72676364	72676494	2	-1.2745
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	72678675	81832471	5870	0.2794
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	81833094	81891553	27	-0.2782
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	81902256	84550876	1744	0.2691
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	84551489	84552369	3	-1.0154
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	84555594	88534992	2741	0.2669
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	88537166	88603482	38	0.6043
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	88604250	91727707	2022	0.2513
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	91728105	91730095	2	-1.4426
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	91730496	93761529	1029	0.2716
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	93761597	96911900	2167	0.3084
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	96912505	97785211	511	0.2277
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	97785360	97787849	2	-1.2081
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	97789337	103524623	3567	0.2511
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	103524832	103616762	33	0.6959
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	103620877	105476583	924	0.2726
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	105476614	105479753	16	-2.1354
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	105481433	109690705	2640	0.2858
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	109690949	109697556	8	-1.0191
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	109702376	110834943	833	0.2699
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	110834946	110858875	56	0.5333
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	110859070	112147704	1053	0.2386
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	112153343	112154754	24	-0.4395
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	112154768	121705338	5155	0.2823
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	143459641	152096107	2133	0.9513
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	152106505	152583051	305	0.675
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	152583230	152613641	30	1.7583
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	152613762	152789532	174	0.633
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	152789570	152795783	28	1.4559
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	152795805	155440466	1465	0.6713
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	155440554	156643140	531	0.95
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	156645402	158518070	1244	0.6653
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	158519669	158519843	4	1.5106
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	158519857	158544724	35	0.6371
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	158544739	158545119	5	-0.141
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	158545154	158896783	326	0.6376
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	158898711	158899969	2	2.4982
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	158905028	158989785	62	0.6138
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	158992249	158993006	2	-1.4444
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	158997074	160587114	1053	0.6221
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	160598816	160820621	173	1.1217
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	160820758	161871226	517	0.6447
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	161872158	161872417	3	-1.464
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	161874316	162278042	364	0.6351
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	162278234	165818794	2863	0.6888
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	165819084	168602593	2021	0.6126
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	168604317	168605460	3	-1.3927
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	168610854	168868156	237	0.5784
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	168868439	168868607	3	-0.6066
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	168871779	169247699	344	0.5799
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	169264736	169273163	8	-2.1121
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	169285639	170245171	739	0.6034
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	170253127	171152129	575	0.2857
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	171152198	174826096	2191	0.6203
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	174826737	174833313	28	0.8411
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	174833703	181303202	4315	0.2829
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	181306624	196745743	10292	-0.2834
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	196758720	196862194	73	0.0422
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	196865976	199803351	1784	-0.326
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	199808092	206478334	4311	-0.232
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	206478382	206879321	297	-0.3327
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	206884601	207189541	207	0.2282
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	207192627	224507119	12033	-0.2724
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	224507175	243690894	13713	0.2635
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	243697622	243697759	5	-1.5798
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	243699806	244573850	583	0.2338
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	244574087	244631942	52	0.5103
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	244633828	245118121	261	0.3012
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	245118474	246859425	1282	0.6153
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	246863902	248123690	789	0.254
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	248124486	248364767	143	0.4484
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	248365679	248429940	40	0.2218
7d0cc9f7-b9ad-4338-a6ea-2d815502dbfe	1	248436996	248471839	13	0.9869
