GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	62920	1263725	134	-0.23
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	1263994	1972273	194	0.0159
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	1977223	9502520	4476	-0.227
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	9505224	10992767	733	-0.4224
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	11000018	12779433	949	-0.2403
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	12792599	12799250	3	-2.5946
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	12799264	12807715	12	-0.1462
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	12807778	12823233	6	-1.6686
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	12832455	15822793	1821	-0.224
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	15822848	15841285	14	0.5074
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	15841304	16718963	332	-0.2544
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	16719082	16721984	5	-1.6546
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	16766762	21295676	3001	-0.2325
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	21298294	21304987	2	-2.9159
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	21307474	25256850	2325	-0.2567
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	25266637	25320253	23	0.2989
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	25320455	31148580	2997	-0.2543
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	31150820	31152499	2	-2.6194
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	31152542	35622183	2434	-0.247
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	35624289	35650442	16	-1.0161
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	35651142	36355326	284	-0.2498
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	36360577	36418345	39	0.3524
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	36422937	38121792	1018	-0.2358
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	38124341	38215407	75	1.6541
504eb58f-bb8f-4171-b8e2-41f3d6dd8f88	1	38218841	38856233	437	2.2592
