GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	62920	668210	21	-0.4154
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	771719	1696979	191	0.7266
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	1710664	1741164	14	1.6331
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	1756148	12779433	6258	0.6574
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	12792599	12822696	23	0.0202
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	12823233	13883446	333	0.6153
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	13887468	15568112	1350	0.4712
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	15569033	15823420	138	0.2999
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	15827002	15827430	6	-2.1202
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	15827706	15839166	5	-0.4991
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	15841285	15940652	40	0.3523
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	15947500	16041908	46	0.5339
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	16042482	16477846	195	0.3136
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	16480031	17018588	158	0.4921
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	17022352	26728291	5881	0.3027
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	26728338	30251780	1740	0.2412
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	30253727	30266949	17	-0.4849
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	30268649	38670221	4780	0.2797
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	38670245	45543864	3880	0.4289
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	45544146	46408231	387	0.5568
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	46410470	46951346	307	0.4579
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	46951721	49934370	1780	0.2503
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	49942995	51286288	627	0.5152
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	51289472	67768135	11764	-0.1146
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	67768867	71338652	2184	-0.496
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	71338789	71578224	135	-0.7532
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	71579309	71913030	205	-0.5406
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	71915913	72139699	138	-0.868
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	72145028	86307363	9246	-0.5033
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	86311139	86312583	2	-2.3872
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	86314399	95399548	5853	-0.5127
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	95399977	105470754	5930	-0.3718
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	105476583	105487979	27	0.0944
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	105491310	105491593	2	-2.421
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	105492316	108223733	1941	-0.3781
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	108226680	108274557	2	-3.5446
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	108310648	109690352	675	-0.3325
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	109690415	109697533	11	-0.9422
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	109697556	109718120	19	-0.2387
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	109721990	120414592	7004	0.3714
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	120885464	120885477	2	2.0539
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	120954128	143591524	127	0.4169
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	143591902	151449329	1726	0.608
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	151451456	152582700	680	0.5306
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	152583051	152613641	31	1.1156
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	152613762	155210675	1546	0.5493
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	155219369	155526176	147	0.9106
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	155526548	158519769	1751	0.5273
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	158519811	158524903	7	-0.2909
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	158526239	158544724	30	0.5259
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	158544739	158547388	12	0.0921
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	158547524	158896783	319	0.5639
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	158898711	158899969	2	3.1464
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	158905028	169247699	7642	0.5228
ce80ec8f-3643-4ca1-9907-05aead9e9eab	1	169264736	169272528	7	1.5923
