GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	62920	14774976	7600	0.2113
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	14777788	14830240	53	1.1221
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	14831024	14978272	113	1.5998
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	14978363	15051975	71	1.0354
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	15052689	15104885	33	0.6788
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	15105161	15822042	458	0.1952
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	15822508	15827338	9	-1.0602
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	15827362	15925405	43	-0.4739
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	15926038	16609512	267	0.1919
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	16617118	16949746	105	0.6222
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	16951445	27243796	6081	0.1983
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	27244697	28038794	343	0.6359
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	28045064	28240694	99	0.272
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	28240731	28733592	167	0.0829
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	28734075	30253880	968	0.2237
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	30254028	30261189	6	-0.7926
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	30264526	30667100	342	0.2531
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	30670188	30816574	98	0.008
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	30817300	33399467	1179	0.1783
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	33406992	35242049	1260	0.2462
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	35249883	45776660	5886	0.1854
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	45777137	45796457	13	0.4904
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	45796509	45905111	60	0.1884
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	45908378	45937431	15	0.4595
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	45942227	45942929	7	1.0234
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	45942995	51268091	2911	0.2428
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	51272930	53166752	935	0.1896
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	53167364	53523133	234	1.0092
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	53535053	53874999	250	0.2053
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	53875178	54389385	316	0.6728
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	54395516	61648509	5540	0.2211
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	61649279	61652515	2	-1.6297
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	61654137	72303233	7297	0.2221
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	72303253	72345465	45	-1.426
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	72346221	105470754	20951	0.2245
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	105476583	105481433	18	0.8784
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	105481448	109684893	2635	0.2286
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	109690352	109697556	13	-1.4123
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	109702376	110789023	801	0.165
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	110789384	110869613	104	0.4789
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	110869657	112147704	1044	0.1784
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	112153343	112154591	22	-2.0742
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	112154619	112154768	3	-0.8396
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	112163334	112163583	11	0.6771
72c6537f-1ae7-47d8-8b7c-43d393dffd3c	1	112163591	112414741	216	0.2304
