GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	3301765	5954503	1898	0.6191
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	5996669	7780842	986	-0.7127
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	7786423	8823459	526	0.0615
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	8830735	9244672	241	-0.7552
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	9247978	9446945	73	0.5814
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	9448896	9596513	50	-0.7177
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	9606629	13536255	1616	0.1034
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	13545447	14949734	1091	-0.784
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	14949988	14951214	4	-5.5961
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	14952700	22926769	4420	-0.7221
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	22933134	22945011	14	2.1508
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	22951395	47972387	12938	0.5759
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	47973670	53066185	2424	0.5284
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	53066295	56509144	2396	0.5702
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	56511470	68704942	8824	0.5148
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	68705681	81543739	7157	0.4592
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	81549458	81656251	87	-0.902
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	81657800	82036465	234	-0.0606
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	82040319	82403332	213	-0.8929
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	82405517	82534899	72	0.0088
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	82535043	108701306	15339	-0.8839
a57d2d29-cd47-4048-9c06-8b8cd2456f9b	1	108702572	109423024	342	0.5242
