GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	1	3301765	32719710	15705	0.4177
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	1	32721948	33330628	259	0.6712
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	1	33334283	47561807	7769	0.4021
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	1	47562035	247650984	106098	0.3754
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	2	480597	45481360	27102	0.3512
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	2	45481609	45860734	318	0.5733
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	2	45860766	58107061	6807	0.3559
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	2	58108546	58983935	516	0.5507
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	2	58984703	117757390	27372	0.3464
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	2	117757823	117765750	13	-0.3952
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	2	117771663	241537572	70162	0.3299
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	2170634	4708946	1455	0.0571
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	4708990	6105882	428	0.3961
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	6107327	15109290	6047	0.1013
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	15110061	46565765	18681	0.0734
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	46571732	49563969	1126	0.1461
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	49567056	94897449	23962	0.09
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	94897580	96806947	1003	0.131
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	96807370	97823227	485	-0.3394
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	97828233	114789194	9499	0.0626
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	114790577	115490291	358	0.3659
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	115490607	116021773	356	0.6278
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	116021872	116339635	206	0.3863
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	116342566	165172941	26766	0.0667
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	165173111	165579837	167	-0.3313
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	165579861	176328870	5361	0.0751
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	176329198	176331984	2	-2.2041
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	3	176333264	197812401	11314	0.0833
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	4	1059384	41576939	25084	-0.3397
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	4	41578506	90376936	25356	-0.3645
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	4	90377770	102343914	6557	-0.3478
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	4	102347842	102600166	150	0.0538
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	4	102609320	145785754	23555	-0.3587
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	4	145788260	145894515	80	0.0142
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	4	145897063	187842528	22662	-0.3514
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	5	913983	14991175	9784	0.0879
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	5	14991432	30899672	8050	0.1196
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	5	30900455	59002533	13519	0.0797
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	5	59005784	59318863	219	-0.3327
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	5	59319104	180934240	69590	0.0702
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	6	1011760	29763146	18907	-0.3569
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	6	29765192	43834440	7102	-0.322
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	6	43836834	154907891	62530	-0.362
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	6	154913334	155160401	134	0.1395
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	6	155160442	170596889	8432	-0.3579
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	7	664936	6737427	2310	0.1373
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	7	6739639	52427117	28601	0.0725
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	7	52427697	76424254	7693	0.1183
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	7	76424968	158592540	43373	0.0769
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	8	667625	47896684	25635	0.0932
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	8	47897841	47980162	47	0.4636
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	8	47983064	49049438	529	0.0694
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	8	49053179	49872966	428	0.3779
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	8	49878483	89348056	22755	0.0809
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	8	89348844	90402844	609	0.3923
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	8	90406632	144182542	32270	0.0815
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	9	789794	78577903	30674	-0.3386
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	9	78581785	78991495	311	0.585
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	9	78992972	127370113	32237	-0.3382
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	9	127371579	131805145	2384	-0.2705
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	9	131806329	132160756	240	-0.3567
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	9	132166229	132451455	162	0.1212
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	9	132454850	138044505	2441	-0.2857
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	10	366509	133411599	81325	0.0892
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	11	456012	57289600	31325	0.0843
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	11	57301448	57701700	192	0.4122
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	11	57707448	121064660	36946	0.0787
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	11	121066198	121650631	446	0.3691
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	11	121650661	134272740	8704	0.0807
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	12	780472	3805246	1494	0.4092
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	12	3808872	116252303	64572	0.3847
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	12	116255631	132605822	8331	0.4149
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	13	18874255	114226675	56977	-0.3343
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	14	20033191	56710452	19966	0.0729
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	14	56714061	56714222	3	-1.6773
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	14	56714285	56714498	3	-5.2651
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	14	56714781	56731228	19	-0.9757
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	14	56733676	105533894	29815	0.0633
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	15	23437561	44116062	10250	0.1076
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	15	44122257	44478309	130	0.4319
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	15	44479209	89186907	26972	0.1036
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	15	89188545	89587637	247	0.4134
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	15	89590556	101344124	7203	0.0935
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	603333	2434858	496	-0.9805
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	2438692	2986550	147	0.1447
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	3005638	4060850	502	-1.009
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	4063579	4170378	93	0.1129
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	4170461	4839070	283	-0.9135
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	4844279	7398562	1318	0.1318
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	7398989	7401801	9	-1.1824
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	7405754	7421293	28	0.185
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	7421605	9523175	1448	-1.0912
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	9525587	24004780	6040	0.1217
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	24005199	25462790	906	0.4354
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	25464236	26368584	739	0.8212
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	26372030	26381543	8	0.3909
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	26386294	60690372	11252	-0.3169
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	60690720	64918757	2643	-1.0536
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	16	64920876	89317317	15211	-0.3211
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	17	1074619	39036728	15050	-0.3193
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	17	39039783	39041244	2	-2.8528
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	17	39041413	82959812	22207	-0.3199
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	18	326691	79349796	42947	-0.3346
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	19	283868	14684089	5258	-0.2512
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	19	14686072	14687741	3	-2.4225
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	19	14688216	23866591	3787	-0.2667
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	19	23866957	32828730	3696	-0.3308
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	19	32841007	48771611	7492	-0.2787
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	19	48775044	48776883	3	-1.9664
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	19	48781610	58370362	3903	-0.2719
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	20	472817	63588502	37572	0.096
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	21	13974127	23920793	5994	0.1042
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	21	23923855	23927374	4	-1.4144
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	21	23927443	46262057	14606	0.0945
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	22	16934932	48940621	16913	-1.0165
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	X	3236359	87900051	33707	0.0006
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	X	87900315	87903808	11	-1.8522
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	X	87907182	94341096	2054	0.01
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	X	94347044	94347076	2	-5.5613
92fcc5c5-9d98-49f8-ada9-b4a663d7f2bf	X	94347099	155677414	27568	-0.0045
