GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
217579ca-cc7a-4c54-a669-1b511735f20e	1	3301765	6493407	2088	-0.7798
217579ca-cc7a-4c54-a669-1b511735f20e	1	6507189	6519694	8	0.5177
217579ca-cc7a-4c54-a669-1b511735f20e	1	6520190	9030934	1450	-0.7575
217579ca-cc7a-4c54-a669-1b511735f20e	1	9033750	9344634	123	0.2064
217579ca-cc7a-4c54-a669-1b511735f20e	1	9344921	9362918	20	0.8623
217579ca-cc7a-4c54-a669-1b511735f20e	1	9365481	9590359	94	1.2671
217579ca-cc7a-4c54-a669-1b511735f20e	1	9590513	9682927	39	0.8231
217579ca-cc7a-4c54-a669-1b511735f20e	1	9690399	19117458	5018	0.1992
217579ca-cc7a-4c54-a669-1b511735f20e	1	19124655	20148073	667	1.0815
217579ca-cc7a-4c54-a669-1b511735f20e	1	20154347	21905221	957	0.1763
217579ca-cc7a-4c54-a669-1b511735f20e	1	21909254	21971792	38	0.8456
217579ca-cc7a-4c54-a669-1b511735f20e	1	22108654	23208875	684	0.1706
217579ca-cc7a-4c54-a669-1b511735f20e	1	23209608	24815097	819	0.7533
217579ca-cc7a-4c54-a669-1b511735f20e	1	24815562	27540626	1064	0.1721
217579ca-cc7a-4c54-a669-1b511735f20e	1	27545109	27659062	53	0.7659
217579ca-cc7a-4c54-a669-1b511735f20e	1	27665943	51898624	12731	0.171
217579ca-cc7a-4c54-a669-1b511735f20e	1	51908222	52345909	194	0.7171
217579ca-cc7a-4c54-a669-1b511735f20e	1	52354176	63707813	7987	0.1723
217579ca-cc7a-4c54-a669-1b511735f20e	1	63708472	63708774	4	-0.9594
217579ca-cc7a-4c54-a669-1b511735f20e	1	63711074	64271273	400	0.1566
217579ca-cc7a-4c54-a669-1b511735f20e	1	64279307	64279933	7	1.3443
217579ca-cc7a-4c54-a669-1b511735f20e	1	64280768	77510226	8175	0.1449
217579ca-cc7a-4c54-a669-1b511735f20e	1	77513302	77956679	184	0.7703
217579ca-cc7a-4c54-a669-1b511735f20e	1	77960599	83802461	3462	0.1545
217579ca-cc7a-4c54-a669-1b511735f20e	1	83802503	84266448	297	0.3565
217579ca-cc7a-4c54-a669-1b511735f20e	1	84266774	99904217	9743	0.1586
217579ca-cc7a-4c54-a669-1b511735f20e	1	99906499	99906514	2	-1.6455
217579ca-cc7a-4c54-a669-1b511735f20e	1	99906686	113625158	7798	0.152
217579ca-cc7a-4c54-a669-1b511735f20e	1	113630788	113631057	2	-2.2655
217579ca-cc7a-4c54-a669-1b511735f20e	1	113632670	114819322	683	0.1314
217579ca-cc7a-4c54-a669-1b511735f20e	1	114820973	115916839	813	0.7192
217579ca-cc7a-4c54-a669-1b511735f20e	1	115920990	116686520	475	1.4366
217579ca-cc7a-4c54-a669-1b511735f20e	1	116686919	116810484	102	1.1504
217579ca-cc7a-4c54-a669-1b511735f20e	1	116817513	117133321	212	2.1284
217579ca-cc7a-4c54-a669-1b511735f20e	1	117134106	117136337	2	-0.0169
217579ca-cc7a-4c54-a669-1b511735f20e	1	117140094	117336444	146	2.2089
217579ca-cc7a-4c54-a669-1b511735f20e	1	117340625	117613702	130	2.6797
217579ca-cc7a-4c54-a669-1b511735f20e	1	117614654	117709343	98	2.3667
217579ca-cc7a-4c54-a669-1b511735f20e	1	117709635	117711587	5	1.3595
217579ca-cc7a-4c54-a669-1b511735f20e	1	117715704	150317577	1464	0.15
217579ca-cc7a-4c54-a669-1b511735f20e	1	150322682	150377292	21	1.4232
217579ca-cc7a-4c54-a669-1b511735f20e	1	150494291	150598626	23	1.7939
217579ca-cc7a-4c54-a669-1b511735f20e	1	150601435	150768299	101	2.2992
217579ca-cc7a-4c54-a669-1b511735f20e	1	150798513	151341716	191	1.668
217579ca-cc7a-4c54-a669-1b511735f20e	1	151341903	151349632	14	1.088
217579ca-cc7a-4c54-a669-1b511735f20e	1	151355351	151486314	47	1.5648
217579ca-cc7a-4c54-a669-1b511735f20e	1	151487113	151952073	262	1.1272
217579ca-cc7a-4c54-a669-1b511735f20e	1	151955338	179805030	17617	0.1435
217579ca-cc7a-4c54-a669-1b511735f20e	1	179805173	180310575	317	0.2891
217579ca-cc7a-4c54-a669-1b511735f20e	1	180310767	196706731	10115	0.1277
217579ca-cc7a-4c54-a669-1b511735f20e	1	196707805	197116980	85	0.4155
217579ca-cc7a-4c54-a669-1b511735f20e	1	197117000	201304328	2593	0.124
217579ca-cc7a-4c54-a669-1b511735f20e	1	201306570	201307433	2	-1.7111
