GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	62920	2928921	568	0.1961
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	2929709	3282920	162	0.0883
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	3283773	9104074	3849	-0.0072
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	9106285	9524383	238	0.0995
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	9528050	9543723	6	0.9114
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	9544815	25256850	9203	0.0113
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	25266637	25320455	24	-2.1962
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	25336819	28915942	1486	0.0458
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	28916260	37386112	4948	-0.0191
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	37387369	37457798	46	0.289
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	37462846	39648952	1194	0.0034
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	39650439	39688962	25	0.3686
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	39689516	60681211	12993	-0.0024
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	60684195	103616762	28138	0.0227
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	103620877	103621165	2	-2.4192
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	103697067	104497098	417	0.0168
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	104503262	104508392	4	-1.3192
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	104512295	105476614	503	0.0425
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	105476688	105479753	15	-0.5177
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	105481433	105591623	90	0.0019
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	105593022	105594291	6	-1.2293
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	105596841	109684893	2542	0.0107
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	109690352	109697556	13	-1.4985
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	109702376	143494500	7140	0.0176
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	143541857	143890323	120	-0.6475
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	143893019	152582700	2321	0.0288
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	152583051	152618486	41	0.3601
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	152618548	152790180	174	-0.0423
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	152790191	152796224	25	0.4344
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	152801429	169264736	11288	0.0095
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	169265291	169272528	6	-2.6086
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	169273163	174828088	3524	0.0101
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	174828177	174832716	12	0.7367
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	174832734	187746723	8671	0.0236
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	187748429	187752238	2	-1.7698
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	187755479	196745743	5970	0.0229
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	196758720	196846661	61	-1.755
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	196847600	207082309	6576	0.0257
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	207082860	207083958	4	-1.1488
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	207087261	225474616	12790	0.0169
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	225474976	225496430	33	0.3506
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	225496494	225786509	155	0.0489
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	225786784	225868878	51	0.3073
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	225869213	231794210	3758	0.0112
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	231800457	231807819	5	1.1001
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	231812573	241958718	7959	0.0219
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	241964690	241969270	2	2.1379
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	241969474	242024534	22	0.2546
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	242027428	247527498	3678	0.0249
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	247528174	248473963	598	-0.0871
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	248475325	248781336	106	0.0757
79e0a013-144c-4ac4-a4f6-d0f78780fe44	1	248783608	248930189	84	0.2885
