GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	62920	599171	20	-0.0216
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	668210	869076	29	-0.9471
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	874393	1195347	61	-0.1194
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	1220663	1318170	61	0.4761
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	1318197	1731897	48	-0.0306
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	1731957	5840046	2399	-0.787
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	5841228	5843898	8	-7.2834
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	5844509	15806855	5489	-0.6804
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	15807251	16864367	388	0.1915
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	16868660	16935302	50	0.5282
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	16935393	20717297	2656	0.159
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	20720911	22651390	1070	-0.6383
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	22654121	22654193	2	-6.1385
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	22654271	23901021	698	-0.5746
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	23903508	25256850	800	0.1615
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	25266637	25320253	23	-2.0428
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	25320455	46264726	11328	0.1206
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	46267433	46315970	19	0.7824
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	46316520	54733339	4662	0.1414
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	54741821	72280884	12595	0.0792
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	72280898	72302735	13	0.5077
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	72302815	72345450	46	-1.3935
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	72345465	75585159	1932	0.0534
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	75589078	75589169	2	-2.8365
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	75593824	78333933	1834	0.0993
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	78337228	90816777	8309	0.053
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	90817583	94104662	1881	0.098
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	94106714	94111337	9	-1.0196
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	94111867	103616762	6012	0.0608
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	103620877	103717410	5	1.4443
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	103717617	105470132	914	0.0733
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	105470754	105481433	19	0.6354
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	105481448	108187137	1928	0.063
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	108191613	108192255	2	-1.6176
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	108194874	108318626	35	0.1412
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	108323391	108328497	5	0.8137
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	108330131	108795050	206	0.0727
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	108799378	109616158	426	0.6166
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	109629083	109690431	27	-0.0375
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	109690640	109697533	9	-1.9751
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	109697556	112631375	2314	0.1122
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	112631693	113377123	418	0.276
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	113377271	119984738	4259	0.0996
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	119984772	121431111	48	0.4601
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	121433808	121581632	66	0.0762
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	121593055	143734438	103	0.9124
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	143748012	143754062	16	1.6683
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	143754077	152583051	2324	0.7068
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	152583230	152614100	34	-2.0917
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	152614118	168487717	10793	0.7013
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	168487873	169247699	684	0.64
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	169264736	169272528	7	1.6047
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	169273163	173040692	2577	0.6408
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	1	173041634	174827418	941	0.6976
