GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	3301765	3854784	295	-0.2433
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	3854839	4018674	81	0.1533
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	4018716	24275083	11333	-0.2173
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	24276136	24332945	44	-1.5713
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	24336179	26762777	1088	-0.24
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	26763075	27014714	80	0.3629
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	27020298	27194374	48	0.6354
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	27195013	28045064	347	0.3765
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	28045835	48767122	11236	-0.2138
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	48767703	51037672	973	-0.1521
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	51038046	55457366	2491	-0.2068
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	55457741	55749404	268	0.1595
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	55752409	62952562	5232	-0.1779
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	62952679	64986988	1603	-0.2326
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	64989592	89862703	15146	-0.1714
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	89868621	89987275	68	0.1637
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	89990538	92098101	1305	-0.1761
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	92099117	92120522	14	-1.123
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	92128997	94881103	1593	-0.186
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	94881274	94882113	3	-1.1398
b8ee56ee-5cac-45d1-af7d-d89eb8fa3360	1	94883114	101072873	3747	-0.1661
