GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	3301765	8328511	3205	-0.225
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	8333158	10572525	1023	0.1122
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	10573188	27277554	8765	-0.237
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	27281494	29071253	694	0.0854
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	29071793	40622905	6290	0.1319
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	40623004	41958013	844	0.1924
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	41958232	48540984	3528	0.1308
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	48541114	119979137	43762	0.0911
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	119979978	154930571	2434	0.3265
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	154932364	157028499	922	0.1177
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	157030924	157158914	77	0.3448
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	157160928	164911877	5229	0.114
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	164913496	165244585	295	0.4011
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	165245068	175088986	6695	0.1174
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	175089326	177869987	1554	-0.2056
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	177872550	178036532	131	0.1201
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	178037255	193917489	10004	-0.1926
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	193921001	201496711	4400	0.1268
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	201496816	206522745	3070	0.0877
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	206527106	231465611	16288	0.325
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	231466456	231564755	48	0.2111
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	231566201	243535410	8526	0.0637
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	243535432	245548419	1167	0.3193
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	245550404	245570306	22	0.6455
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	245570397	246917586	378	0.3265
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	246921569	247279527	175	0.0413
7145e63d-79f8-4a72-8571-9065d51c8f8e	1	247284237	247650984	237	0.3263
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	480597	20237864	13043	-0.2334
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	20239048	24372459	2473	0.1065
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	24407230	25275687	388	0.3473
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	25276318	60310055	19794	0.0998
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	60310606	70581015	5999	0.3549
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	70589775	85105322	7810	0.0924
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	85105337	85106283	2	-1.2211
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	85106853	100130180	3269	0.0904
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	100130395	101014677	675	0.2771
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	101014723	118993929	9458	0.0911
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	118994068	132887954	6549	0.3652
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	132888024	132991971	66	0.594
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	132992327	133257389	184	0.3604
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	133258207	133716927	245	0.5545
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	133717066	156317440	13023	0.3486
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	156319922	176455341	12018	0.0976
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	176455799	176456501	2	-1.3769
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	176456858	203937257	14182	0.0962
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	203937382	221234758	10757	-0.2226
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	221235063	230701876	5929	-0.1908
7145e63d-79f8-4a72-8571-9065d51c8f8e	2	230702556	241537572	6359	-0.2087
