GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	1	3301765	247650984	129833	0.0281
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	2	480597	241537572	132282	0.0262
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	3	2170634	117180939	64337	0.0266
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	3	117181002	117181015	2	-1.2132
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	3	117183341	197812401	42908	0.027
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	4	1059384	187842528	103561	0.0301
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	5	913983	180934240	101173	0.0292
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	6	1011760	111706482	62156	0.0283
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	6	111708401	111708953	3	-0.9208
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	6	111709365	134375877	13339	0.0325
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	6	134376239	134376302	2	-1.0712
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	6	134376858	170596889	21721	0.0311
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	664936	8506496	3223	0.5528
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	8507415	21388219	7290	0.5771
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	21391423	44428965	14871	0.5568
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	44430481	44504414	43	1.1193
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	44506453	46453114	1189	0.5495
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	46454420	46454435	2	-0.8117
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	46454448	55593810	6534	0.5649
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	55593813	55594494	3	-0.5972
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	55594793	63690237	459	0.5427
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	63856364	64044797	93	0.0063
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	64045459	64060367	9	0.95
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	64330045	64363059	22	0.2694
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	64363664	64413771	46	0.9982
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	64414288	64571153	68	0.2554
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	64573929	64654185	44	-0.03
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	64654302	65052476	190	0.2465
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	65714988	65918463	63	-0.1137
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	65936561	67681876	607	0.2556
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	67682245	67788243	79	0.955
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	67788489	67842968	34	0.2679
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	67846547	68184860	191	0.6673
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	68186333	68189093	2	-0.5407
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	68189285	69006829	579	0.7231
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	69010754	69437913	274	0.4868
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	69439260	69532403	46	0.7661
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	69535729	70383306	438	0.947
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	70385071	71054178	421	0.7176
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	71055560	72411961	797	0.2817
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	72413805	72523231	74	0.4877
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	72523346	72931874	22	0.2745
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	73312738	73460539	50	0.0608
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	73461351	73637727	67	-0.1487
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	73643220	73862465	69	0.0746
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	73864150	75115775	325	0.5069
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	75415352	75431737	6	-0.1035
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	75433973	75462627	9	0.6216
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	75466500	75637381	70	0.0549
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	75641856	76426530	306	0.4095
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	77130464	78293641	761	-0.4554
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	78296901	78855655	444	-0.9012
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	78855738	80281806	872	-0.4494
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	80282184	80778485	316	-0.046
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	80779409	82151440	899	0.3094
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	82151453	82181386	35	0.5249
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	82194712	82279409	54	-0.8371
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	82285397	82317988	14	0.448
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	82320284	86434253	2274	-0.9106
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	86442246	86543912	60	0.526
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	86555535	86735411	102	-0.887
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	86737189	87357655	374	0.5628
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	7	87361430	158592540	37095	-0.9088
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	8	667625	15092659	7181	0.0332
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	8	15093268	15093734	3	-1.0753
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	8	15097041	144182542	75098	0.0298
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	9	789794	101519144	45878	0.0324
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	9	101527333	101528539	3	0.9849
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	9	101537011	117498609	10922	0.03
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	9	117498842	117501625	3	-1.2865
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	9	117501627	138044505	11714	0.0264
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	10	366509	11827637	8192	0.0253
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	10	11830210	11833717	7	-0.8346
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	10	11837616	133411599	73135	0.0316
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	11	456012	134272740	77618	0.0288
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	12	780472	74785641	40305	0.0272
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	12	74792132	74792534	3	-1.5264
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	12	74793920	132605822	34086	0.0268
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	13	18874255	25397343	3243	0.0381
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	13	25398342	25398358	2	-1.1392
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	13	25398673	110680077	52141	0.0305
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	13	110680728	110691955	2	-1.1561
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	13	110695101	114226675	1647	0.031
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	14	20033191	105533894	49821	0.03
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	15	23437561	101344124	44813	0.0297
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	16	603333	31841585	14047	0.5365
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	16	46470502	89317317	27122	-0.9021
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	17	1074619	82959812	37303	0.0258
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	18	326691	78116256	42346	0.03
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	18	78116649	78171939	5	-0.6989
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	18	78173549	79349796	642	0.0359
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	19	283868	58370362	24171	0.0194
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	20	472817	63588502	37578	0.0265
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	21	13974127	46262057	20611	0.0288
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	22	16934932	48940621	17098	0.0236
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	X	3236359	63609099	24150	0.0054
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	X	63617616	63618775	2	1.321
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	X	63624567	89719208	10700	0.0015
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	X	89721825	89726410	2	-1.1552
3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92	X	89728272	155677414	29150	0.0053
