GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
236d5b82-7332-40a1-aadc-158e8302b923	1	3301765	18961288	8760	0.2516
236d5b82-7332-40a1-aadc-158e8302b923	1	18968929	29428196	5128	0.5511
236d5b82-7332-40a1-aadc-158e8302b923	1	29428653	31083394	1097	0.6145
236d5b82-7332-40a1-aadc-158e8302b923	1	31084095	33565241	1118	0.5372
236d5b82-7332-40a1-aadc-158e8302b923	1	33565974	35484539	1214	0.6298
236d5b82-7332-40a1-aadc-158e8302b923	1	35485273	37277286	978	0.5723
236d5b82-7332-40a1-aadc-158e8302b923	1	37278885	37873469	276	0.8258
236d5b82-7332-40a1-aadc-158e8302b923	1	37877214	47525077	5124	0.5686
236d5b82-7332-40a1-aadc-158e8302b923	1	47525175	48846742	939	0.6513
236d5b82-7332-40a1-aadc-158e8302b923	1	48849517	48854855	9	0.4307
236d5b82-7332-40a1-aadc-158e8302b923	1	48855160	50300818	646	0.2903
236d5b82-7332-40a1-aadc-158e8302b923	1	50304013	54942785	2371	0.2312
236d5b82-7332-40a1-aadc-158e8302b923	1	54946507	61555271	4952	0.3116
236d5b82-7332-40a1-aadc-158e8302b923	1	61556241	66488848	3509	0.2678
236d5b82-7332-40a1-aadc-158e8302b923	1	66489816	67835556	1003	0.2975
236d5b82-7332-40a1-aadc-158e8302b923	1	67840960	69161489	819	-0.1664
236d5b82-7332-40a1-aadc-158e8302b923	1	69161775	74902812	3012	-0.1214
236d5b82-7332-40a1-aadc-158e8302b923	1	74903931	78498639	2178	-0.1782
236d5b82-7332-40a1-aadc-158e8302b923	1	78500420	83072387	2762	-0.0871
236d5b82-7332-40a1-aadc-158e8302b923	1	83072448	95273963	7610	-0.1554
236d5b82-7332-40a1-aadc-158e8302b923	1	95274694	96513070	808	-0.0778
236d5b82-7332-40a1-aadc-158e8302b923	1	96513405	101864595	3280	-0.1567
236d5b82-7332-40a1-aadc-158e8302b923	1	101865128	105290591	1527	-0.0768
236d5b82-7332-40a1-aadc-158e8302b923	1	105293108	105297490	5	-1.0313
236d5b82-7332-40a1-aadc-158e8302b923	1	105303872	107487752	1342	-0.0698
236d5b82-7332-40a1-aadc-158e8302b923	1	107488846	114138722	3955	-0.17
236d5b82-7332-40a1-aadc-158e8302b923	1	114139310	118377869	2744	-0.1201
236d5b82-7332-40a1-aadc-158e8302b923	1	118386961	119974504	944	0.3282
236d5b82-7332-40a1-aadc-158e8302b923	1	119975323	152094689	915	0.225
236d5b82-7332-40a1-aadc-158e8302b923	1	152096107	153630385	895	0.2966
236d5b82-7332-40a1-aadc-158e8302b923	1	153634756	156788135	1414	0.2122
236d5b82-7332-40a1-aadc-158e8302b923	1	156788631	159610664	1841	0.3059
236d5b82-7332-40a1-aadc-158e8302b923	1	159611083	162793454	2033	0.2539
236d5b82-7332-40a1-aadc-158e8302b923	1	162800857	181600632	12534	0.3155
236d5b82-7332-40a1-aadc-158e8302b923	1	181600755	186209793	3027	-0.1699
236d5b82-7332-40a1-aadc-158e8302b923	1	186212514	197003420	6273	-0.0963
236d5b82-7332-40a1-aadc-158e8302b923	1	197004053	199825822	1654	-0.1486
236d5b82-7332-40a1-aadc-158e8302b923	1	199828508	205222001	3613	-0.2052
236d5b82-7332-40a1-aadc-158e8302b923	1	205222539	205351494	86	0.2131
236d5b82-7332-40a1-aadc-158e8302b923	1	205355501	207184177	957	-0.2285
236d5b82-7332-40a1-aadc-158e8302b923	1	207186580	211464806	3109	-0.1499
236d5b82-7332-40a1-aadc-158e8302b923	1	211468256	212867176	908	-0.2312
236d5b82-7332-40a1-aadc-158e8302b923	1	212867587	214759658	1309	-0.1325
236d5b82-7332-40a1-aadc-158e8302b923	1	214763232	218921277	2847	-0.0862
236d5b82-7332-40a1-aadc-158e8302b923	1	218921601	222530139	2402	-0.1418
236d5b82-7332-40a1-aadc-158e8302b923	1	222534050	228312480	3238	0.2853
236d5b82-7332-40a1-aadc-158e8302b923	1	228656037	234969611	4619	-0.17
236d5b82-7332-40a1-aadc-158e8302b923	1	234971143	235153395	40	0.2527
236d5b82-7332-40a1-aadc-158e8302b923	1	235163265	237220826	1407	-0.191
236d5b82-7332-40a1-aadc-158e8302b923	1	237222600	240498586	2585	-0.0783
236d5b82-7332-40a1-aadc-158e8302b923	1	240502585	240513628	14	-1.0864
236d5b82-7332-40a1-aadc-158e8302b923	1	240516326	241047168	353	-0.1031
236d5b82-7332-40a1-aadc-158e8302b923	1	241051973	241082506	24	0.3765
236d5b82-7332-40a1-aadc-158e8302b923	1	241084204	242835284	1286	-0.1052
236d5b82-7332-40a1-aadc-158e8302b923	1	242836029	247649129	2226	-0.1695
236d5b82-7332-40a1-aadc-158e8302b923	1	247650404	247650984	2	0.7673
236d5b82-7332-40a1-aadc-158e8302b923	2	480597	7056826	3988	-0.1412
236d5b82-7332-40a1-aadc-158e8302b923	2	7057068	9248257	1404	-0.2192
236d5b82-7332-40a1-aadc-158e8302b923	2	9249110	9249683	2	-1.9177
236d5b82-7332-40a1-aadc-158e8302b923	2	9250187	11784368	1718	-0.2254
236d5b82-7332-40a1-aadc-158e8302b923	2	11785209	11789202	2	-1.4886
236d5b82-7332-40a1-aadc-158e8302b923	2	11789863	12162273	328	-0.2101
236d5b82-7332-40a1-aadc-158e8302b923	2	12162667	23303409	7426	-0.1589
236d5b82-7332-40a1-aadc-158e8302b923	2	23304823	29145157	2766	-0.2492
236d5b82-7332-40a1-aadc-158e8302b923	2	29145631	36130836	3847	-0.1704
236d5b82-7332-40a1-aadc-158e8302b923	2	36131425	42214371	3542	0.2856
236d5b82-7332-40a1-aadc-158e8302b923	2	42214478	42269387	34	-0.1813
236d5b82-7332-40a1-aadc-158e8302b923	2	42273491	44286983	1198	0.2403
236d5b82-7332-40a1-aadc-158e8302b923	2	44318877	44344346	30	0.5797
236d5b82-7332-40a1-aadc-158e8302b923	2	44354337	45727185	926	0.3119
236d5b82-7332-40a1-aadc-158e8302b923	2	45727606	48699981	1959	0.2637
236d5b82-7332-40a1-aadc-158e8302b923	2	48700107	53286258	2417	0.3628
236d5b82-7332-40a1-aadc-158e8302b923	2	53286505	53481405	167	0.6736
236d5b82-7332-40a1-aadc-158e8302b923	2	53482653	55922340	1191	0.2802
236d5b82-7332-40a1-aadc-158e8302b923	2	55923267	60366499	2759	0.3306
236d5b82-7332-40a1-aadc-158e8302b923	2	60410521	60493111	62	0.6366
236d5b82-7332-40a1-aadc-158e8302b923	2	60493622	60624214	70	0.3068
236d5b82-7332-40a1-aadc-158e8302b923	2	60624285	62126078	683	0.214
236d5b82-7332-40a1-aadc-158e8302b923	2	62131284	65680457	1840	-0.2017
236d5b82-7332-40a1-aadc-158e8302b923	2	65680538	68115346	1797	-0.1441
236d5b82-7332-40a1-aadc-158e8302b923	2	68115898	70813220	1670	-0.2251
236d5b82-7332-40a1-aadc-158e8302b923	2	70815889	70839147	22	0.2594
236d5b82-7332-40a1-aadc-158e8302b923	2	70849342	75044669	2141	-0.2078
236d5b82-7332-40a1-aadc-158e8302b923	2	75047104	75488217	324	-0.141
236d5b82-7332-40a1-aadc-158e8302b923	2	75489181	75557535	67	0.2993
236d5b82-7332-40a1-aadc-158e8302b923	2	75562973	84000699	4431	-0.1211
236d5b82-7332-40a1-aadc-158e8302b923	2	84001083	86859047	1475	-0.2368
236d5b82-7332-40a1-aadc-158e8302b923	2	86862560	94675975	436	0.2415
236d5b82-7332-40a1-aadc-158e8302b923	2	94680914	101024937	2665	0.584
236d5b82-7332-40a1-aadc-158e8302b923	2	101026381	102261971	700	0.2381
236d5b82-7332-40a1-aadc-158e8302b923	2	102262431	104988413	1682	0.3333
236d5b82-7332-40a1-aadc-158e8302b923	2	104990225	108274640	2096	0.2806
236d5b82-7332-40a1-aadc-158e8302b923	2	108274847	113874642	2320	0.2369
236d5b82-7332-40a1-aadc-158e8302b923	2	113875845	117191667	1568	0.3482
236d5b82-7332-40a1-aadc-158e8302b923	2	117191750	122235529	2985	0.2796
236d5b82-7332-40a1-aadc-158e8302b923	2	122235623	124265167	1269	0.3512
236d5b82-7332-40a1-aadc-158e8302b923	2	124265289	125319206	2	-0.601
236d5b82-7332-40a1-aadc-158e8302b923	2	125319688	125754853	146	0.3441
236d5b82-7332-40a1-aadc-158e8302b923	2	125755429	138879954	6554	0.2907
236d5b82-7332-40a1-aadc-158e8302b923	2	138880603	139270695	247	0.4024
236d5b82-7332-40a1-aadc-158e8302b923	2	139271056	139271440	2	-0.6267
236d5b82-7332-40a1-aadc-158e8302b923	2	139278529	139319706	22	0.3546
236d5b82-7332-40a1-aadc-158e8302b923	2	139319785	139320732	3	-0.574
236d5b82-7332-40a1-aadc-158e8302b923	2	139321441	142772903	2135	0.372
236d5b82-7332-40a1-aadc-158e8302b923	2	142776794	154161045	6608	0.3053
