GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
666c158e-0a58-493a-8f2d-39f81778957f	1	3301765	119984738	67818	-0.0227
666c158e-0a58-493a-8f2d-39f81778957f	1	119984772	150057713	75	2.3797
666c158e-0a58-493a-8f2d-39f81778957f	1	150057994	150058787	2	5.4316
666c158e-0a58-493a-8f2d-39f81778957f	1	150061347	150941402	286	2.1787
666c158e-0a58-493a-8f2d-39f81778957f	1	150943117	150968759	17	1.0055
666c158e-0a58-493a-8f2d-39f81778957f	1	150970183	151920867	420	-0.0464
666c158e-0a58-493a-8f2d-39f81778957f	1	151921741	152019898	68	0.7197
666c158e-0a58-493a-8f2d-39f81778957f	1	152020589	152288336	127	1.0214
666c158e-0a58-493a-8f2d-39f81778957f	1	152295561	152424116	57	1.3843
666c158e-0a58-493a-8f2d-39f81778957f	1	152425732	152666718	129	0.9713
666c158e-0a58-493a-8f2d-39f81778957f	1	152667725	152752479	55	1.4281
666c158e-0a58-493a-8f2d-39f81778957f	1	152753153	152807663	27	1.2119
666c158e-0a58-493a-8f2d-39f81778957f	1	152807801	153030819	164	1.5971
666c158e-0a58-493a-8f2d-39f81778957f	1	153031440	153322177	230	1.8839
666c158e-0a58-493a-8f2d-39f81778957f	1	153329051	153412880	39	1.321
666c158e-0a58-493a-8f2d-39f81778957f	1	153414604	153864145	173	0.9761
666c158e-0a58-493a-8f2d-39f81778957f	1	153874357	154336165	184	-0.0699
666c158e-0a58-493a-8f2d-39f81778957f	1	154336204	154369831	20	1.279
666c158e-0a58-493a-8f2d-39f81778957f	1	154372448	154731249	196	0.39
666c158e-0a58-493a-8f2d-39f81778957f	1	154732585	155353390	317	1.305
666c158e-0a58-493a-8f2d-39f81778957f	1	155356825	155897591	216	0.0038
666c158e-0a58-493a-8f2d-39f81778957f	1	155898208	156622710	335	0.4151
666c158e-0a58-493a-8f2d-39f81778957f	1	156626307	156899922	117	1.0336
666c158e-0a58-493a-8f2d-39f81778957f	1	156903355	156969023	33	0.4268
666c158e-0a58-493a-8f2d-39f81778957f	1	156971603	157693148	491	-0.0168
666c158e-0a58-493a-8f2d-39f81778957f	1	157693770	158023519	212	1.2618
666c158e-0a58-493a-8f2d-39f81778957f	1	158025115	158250501	180	1.5674
666c158e-0a58-493a-8f2d-39f81778957f	1	158250622	158280527	18	2.0575
666c158e-0a58-493a-8f2d-39f81778957f	1	158281426	158545233	189	1.1091
666c158e-0a58-493a-8f2d-39f81778957f	1	158545295	159178511	376	1.4666
666c158e-0a58-493a-8f2d-39f81778957f	1	159183347	159212406	26	0.7361
666c158e-0a58-493a-8f2d-39f81778957f	1	159212646	160749785	1015	1.0275
666c158e-0a58-493a-8f2d-39f81778957f	1	160752274	160901404	101	0.7389
666c158e-0a58-493a-8f2d-39f81778957f	1	160904210	161963258	446	1.5397
666c158e-0a58-493a-8f2d-39f81778957f	1	161966331	161978337	13	0.771
666c158e-0a58-493a-8f2d-39f81778957f	1	161981287	162003620	23	1.2569
666c158e-0a58-493a-8f2d-39f81778957f	1	162005491	162359781	346	0.7939
666c158e-0a58-493a-8f2d-39f81778957f	1	162361110	162878965	372	1.3067
666c158e-0a58-493a-8f2d-39f81778957f	1	162879112	162920251	61	1.7878
666c158e-0a58-493a-8f2d-39f81778957f	1	162924511	162925222	13	2.368
666c158e-0a58-493a-8f2d-39f81778957f	1	162925725	163370719	337	1.6741
666c158e-0a58-493a-8f2d-39f81778957f	1	163371709	163838889	301	1.3904
666c158e-0a58-493a-8f2d-39f81778957f	1	163841022	164192512	232	1.0277
666c158e-0a58-493a-8f2d-39f81778957f	1	164193257	164519220	247	0.4161
666c158e-0a58-493a-8f2d-39f81778957f	1	164519263	164723108	160	1.0211
666c158e-0a58-493a-8f2d-39f81778957f	1	164726957	164974783	214	1.4182
666c158e-0a58-493a-8f2d-39f81778957f	1	164976279	164990099	22	0.8937
666c158e-0a58-493a-8f2d-39f81778957f	1	164993226	165076297	58	1.4736
666c158e-0a58-493a-8f2d-39f81778957f	1	165076317	165260658	171	1.1732
666c158e-0a58-493a-8f2d-39f81778957f	1	165267208	165277120	13	0.3984
666c158e-0a58-493a-8f2d-39f81778957f	1	165280582	165305654	28	1.1206
666c158e-0a58-493a-8f2d-39f81778957f	1	165306476	166659023	1090	0.4149
666c158e-0a58-493a-8f2d-39f81778957f	1	166660877	166808854	129	1.2834
666c158e-0a58-493a-8f2d-39f81778957f	1	166809517	167080453	170	0.8686
666c158e-0a58-493a-8f2d-39f81778957f	1	167081642	167226691	147	1.4902
666c158e-0a58-493a-8f2d-39f81778957f	1	167228695	167746599	365	1.2173
666c158e-0a58-493a-8f2d-39f81778957f	1	167749262	168435043	425	0.405
666c158e-0a58-493a-8f2d-39f81778957f	1	168435535	169145229	612	0.9826
666c158e-0a58-493a-8f2d-39f81778957f	1	169148401	169370592	142	0.3702
666c158e-0a58-493a-8f2d-39f81778957f	1	169374630	169442321	38	1.074
666c158e-0a58-493a-8f2d-39f81778957f	1	169447081	169957371	438	0.3842
666c158e-0a58-493a-8f2d-39f81778957f	1	169958435	170017511	44	0.9125
666c158e-0a58-493a-8f2d-39f81778957f	1	170022535	170072811	24	1.4351
666c158e-0a58-493a-8f2d-39f81778957f	1	170075022	170208342	89	0.9022
666c158e-0a58-493a-8f2d-39f81778957f	1	170209451	170241672	37	1.2861
666c158e-0a58-493a-8f2d-39f81778957f	1	170243636	170343533	86	0.9684
666c158e-0a58-493a-8f2d-39f81778957f	1	170345940	176329992	3301	0.4121
666c158e-0a58-493a-8f2d-39f81778957f	1	176341361	176745487	225	1.374
666c158e-0a58-493a-8f2d-39f81778957f	1	176746870	176817542	48	1.7978
666c158e-0a58-493a-8f2d-39f81778957f	1	176818931	177649485	567	1.3733
666c158e-0a58-493a-8f2d-39f81778957f	1	177651455	179637319	1308	0.4297
666c158e-0a58-493a-8f2d-39f81778957f	1	179640923	180834410	737	1.7126
