GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6c4b0c89-f834-41a8-84d0-53947a8429cd	1	3301765	175056522	83721	0.0202
6c4b0c89-f834-41a8-84d0-53947a8429cd	1	175058848	175060796	4	-1.8312
6c4b0c89-f834-41a8-84d0-53947a8429cd	1	175061984	212180338	23153	0.0198
6c4b0c89-f834-41a8-84d0-53947a8429cd	1	212180476	212182969	4	-2.7264
6c4b0c89-f834-41a8-84d0-53947a8429cd	1	212183659	247650984	22817	0.0225
6c4b0c89-f834-41a8-84d0-53947a8429cd	2	480597	31920821	19683	0.0272
6c4b0c89-f834-41a8-84d0-53947a8429cd	2	31922810	31925981	2	-1.915
6c4b0c89-f834-41a8-84d0-53947a8429cd	2	31926252	49104801	9735	0.0204
6c4b0c89-f834-41a8-84d0-53947a8429cd	2	49105758	49106085	2	-2.2864
6c4b0c89-f834-41a8-84d0-53947a8429cd	2	49110837	241537572	102762	0.0234
6c4b0c89-f834-41a8-84d0-53947a8429cd	3	2170634	10590621	4892	0.0148
6c4b0c89-f834-41a8-84d0-53947a8429cd	3	10590627	10591147	3	-2.9989
6c4b0c89-f834-41a8-84d0-53947a8429cd	3	10591407	197812401	102269	0.0191
6c4b0c89-f834-41a8-84d0-53947a8429cd	4	1059384	187842528	103493	0.0225
6c4b0c89-f834-41a8-84d0-53947a8429cd	5	913983	148152213	80602	0.0223
6c4b0c89-f834-41a8-84d0-53947a8429cd	5	148160741	148162719	2	-1.9578
6c4b0c89-f834-41a8-84d0-53947a8429cd	5	148168354	180934240	20513	0.0186
6c4b0c89-f834-41a8-84d0-53947a8429cd	6	1011760	170596889	97171	0.0211
6c4b0c89-f834-41a8-84d0-53947a8429cd	7	664936	158592540	81923	0.0195
6c4b0c89-f834-41a8-84d0-53947a8429cd	8	667625	144182542	82202	0.0219
6c4b0c89-f834-41a8-84d0-53947a8429cd	9	789794	106889858	48993	0.0219
6c4b0c89-f834-41a8-84d0-53947a8429cd	9	106890702	106890940	3	-1.7369
6c4b0c89-f834-41a8-84d0-53947a8429cd	9	106892243	138044505	19440	0.0199
6c4b0c89-f834-41a8-84d0-53947a8429cd	10	366509	133411599	81268	0.0206
6c4b0c89-f834-41a8-84d0-53947a8429cd	11	456012	134272740	77558	0.0207
6c4b0c89-f834-41a8-84d0-53947a8429cd	12	780472	55404021	28694	0.0248
6c4b0c89-f834-41a8-84d0-53947a8429cd	12	55409338	55409884	2	-2.0382
6c4b0c89-f834-41a8-84d0-53947a8429cd	12	55416184	85470227	18203	0.0205
6c4b0c89-f834-41a8-84d0-53947a8429cd	12	85477049	85499538	17	-0.9189
6c4b0c89-f834-41a8-84d0-53947a8429cd	12	85503365	132605822	27417	0.0205
6c4b0c89-f834-41a8-84d0-53947a8429cd	13	18874255	114226675	56987	0.0219
6c4b0c89-f834-41a8-84d0-53947a8429cd	14	20033191	105533894	49784	0.0212
6c4b0c89-f834-41a8-84d0-53947a8429cd	15	23437561	27326584	2312	0.0258
6c4b0c89-f834-41a8-84d0-53947a8429cd	15	27326696	27327182	3	-3.0885
6c4b0c89-f834-41a8-84d0-53947a8429cd	15	27328880	101344124	42453	0.0235
6c4b0c89-f834-41a8-84d0-53947a8429cd	16	603333	89317317	41180	0.0202
6c4b0c89-f834-41a8-84d0-53947a8429cd	17	1074619	57560777	24401	0.0228
6c4b0c89-f834-41a8-84d0-53947a8429cd	17	57561162	57562511	2	-2.1701
6c4b0c89-f834-41a8-84d0-53947a8429cd	17	57562749	82959812	12868	0.0178
6c4b0c89-f834-41a8-84d0-53947a8429cd	18	326691	74933763	40001	0.0194
6c4b0c89-f834-41a8-84d0-53947a8429cd	18	74934112	74936477	2	-1.8534
6c4b0c89-f834-41a8-84d0-53947a8429cd	18	74937966	79349796	2962	0.0177
6c4b0c89-f834-41a8-84d0-53947a8429cd	19	283868	58370362	24154	0.0214
6c4b0c89-f834-41a8-84d0-53947a8429cd	20	472817	56592329	32856	0.0199
6c4b0c89-f834-41a8-84d0-53947a8429cd	20	56592351	56596559	2	-2.1643
6c4b0c89-f834-41a8-84d0-53947a8429cd	20	56596638	63588502	4670	0.0189
6c4b0c89-f834-41a8-84d0-53947a8429cd	21	13974127	46262057	20595	0.0225
6c4b0c89-f834-41a8-84d0-53947a8429cd	22	16934932	48940621	17079	0.0288
6c4b0c89-f834-41a8-84d0-53947a8429cd	X	3236359	155677414	63972	0.0231
