GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cd740bf9-be7d-4e49-9bfe-8dd925018726	1	3301765	247650984	129822	0.0149
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	480597	36426307	21743	0.0172
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	36426362	36429129	9	-0.6665
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	36430162	103626637	33259	0.0093
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	103629675	103633778	3	-1.675
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	103636492	117989550	7195	0.0105
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	117992029	117992074	2	-1.4826
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	117994731	186367508	38213	0.0137
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	186372833	186372894	2	-1.4422
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	186376812	206735479	10610	0.0118
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	206738750	206738811	2	-1.5281
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	206739240	230393900	14668	0.0159
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	230400636	230401563	2	-1.4805
cd740bf9-be7d-4e49-9bfe-8dd925018726	2	230402928	241537572	6529	0.0098
cd740bf9-be7d-4e49-9bfe-8dd925018726	3	2170634	197812401	107237	0.0169
cd740bf9-be7d-4e49-9bfe-8dd925018726	4	1059384	53200838	29137	0.0213
cd740bf9-be7d-4e49-9bfe-8dd925018726	4	53204794	53214075	6	-1.0225
cd740bf9-be7d-4e49-9bfe-8dd925018726	4	53220572	187842528	74416	0.0206
cd740bf9-be7d-4e49-9bfe-8dd925018726	5	913983	180934240	101170	0.0216
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	1011760	2210500	911	0.0203
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	2210781	2211456	2	-1.2101
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	2211935	7985316	4264	0.016
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	7987650	7988588	3	-1.0286
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	7991923	21135138	9097	0.0151
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	21135889	21136048	2	-1.3884
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	21137159	40580505	9866	0.0092
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	40581613	40582367	2	-1.321
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	40584130	84564980	22816	0.0189
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	84567340	84567648	2	-1.4534
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	84571734	159650812	44662	0.0172
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	159653386	159654671	3	-1.1792
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	159656141	161872312	1618	0.0119
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	161873481	161877319	4	-0.9719
cd740bf9-be7d-4e49-9bfe-8dd925018726	6	161879249	170596889	3965	0.0215
cd740bf9-be7d-4e49-9bfe-8dd925018726	7	664936	158592540	81985	0.0201
cd740bf9-be7d-4e49-9bfe-8dd925018726	8	667625	29608586	17467	0.0232
cd740bf9-be7d-4e49-9bfe-8dd925018726	8	29611875	29615468	8	-1.0677
cd740bf9-be7d-4e49-9bfe-8dd925018726	8	29617893	144182542	64803	0.0212
cd740bf9-be7d-4e49-9bfe-8dd925018726	9	789794	18484272	11008	0.0175
cd740bf9-be7d-4e49-9bfe-8dd925018726	9	18486763	18490677	9	-1.2246
cd740bf9-be7d-4e49-9bfe-8dd925018726	9	18496848	108417925	39321	0.0186
cd740bf9-be7d-4e49-9bfe-8dd925018726	9	108421260	108497828	38	-1.0628
cd740bf9-be7d-4e49-9bfe-8dd925018726	9	108510696	138044505	18150	0.0124
cd740bf9-be7d-4e49-9bfe-8dd925018726	10	366509	133411599	81333	0.018
cd740bf9-be7d-4e49-9bfe-8dd925018726	11	456012	134272740	77614	0.0197
cd740bf9-be7d-4e49-9bfe-8dd925018726	12	780472	132605822	74392	0.0151
cd740bf9-be7d-4e49-9bfe-8dd925018726	13	18874255	114226675	57026	0.0241
cd740bf9-be7d-4e49-9bfe-8dd925018726	14	20033191	37889001	9852	0.0151
cd740bf9-be7d-4e49-9bfe-8dd925018726	14	37893225	37895647	4	-1.0542
cd740bf9-be7d-4e49-9bfe-8dd925018726	14	37898025	72265264	19483	0.0158
cd740bf9-be7d-4e49-9bfe-8dd925018726	14	72265533	72265610	2	-1.6047
cd740bf9-be7d-4e49-9bfe-8dd925018726	14	72267634	86636251	9250	0.0177
cd740bf9-be7d-4e49-9bfe-8dd925018726	14	86637327	86637353	2	-1.8127
cd740bf9-be7d-4e49-9bfe-8dd925018726	14	86643224	105533894	11226	0.0174
cd740bf9-be7d-4e49-9bfe-8dd925018726	15	23437561	101344124	44807	0.0176
cd740bf9-be7d-4e49-9bfe-8dd925018726	16	603333	89317317	41236	0.0223
cd740bf9-be7d-4e49-9bfe-8dd925018726	17	1074619	82959812	37297	0.014
cd740bf9-be7d-4e49-9bfe-8dd925018726	18	326691	79349796	42993	0.0176
cd740bf9-be7d-4e49-9bfe-8dd925018726	19	283868	23628330	8892	0.0063
cd740bf9-be7d-4e49-9bfe-8dd925018726	19	23631285	23643980	9	-1.1533
cd740bf9-be7d-4e49-9bfe-8dd925018726	19	23644945	29370975	1447	0.0307
cd740bf9-be7d-4e49-9bfe-8dd925018726	19	29373674	29373793	2	-1.3751
cd740bf9-be7d-4e49-9bfe-8dd925018726	19	29374174	30793899	1003	0.0084
cd740bf9-be7d-4e49-9bfe-8dd925018726	19	30797211	30797633	2	-1.4097
cd740bf9-be7d-4e49-9bfe-8dd925018726	19	30799692	54528567	10873	0.0144
cd740bf9-be7d-4e49-9bfe-8dd925018726	19	54531275	54535358	6	-0.7449
cd740bf9-be7d-4e49-9bfe-8dd925018726	19	54535837	58370362	1935	0.0198
cd740bf9-be7d-4e49-9bfe-8dd925018726	20	472817	63588502	37576	0.0188
cd740bf9-be7d-4e49-9bfe-8dd925018726	21	13974127	46262057	20607	0.0181
cd740bf9-be7d-4e49-9bfe-8dd925018726	22	16934932	30863475	5569	0.016
cd740bf9-be7d-4e49-9bfe-8dd925018726	22	30863515	30863671	2	1.4113
cd740bf9-be7d-4e49-9bfe-8dd925018726	22	30864293	48940621	11527	0.0211
cd740bf9-be7d-4e49-9bfe-8dd925018726	X	3236359	91766052	35117	0.0165
cd740bf9-be7d-4e49-9bfe-8dd925018726	X	91768485	91770715	2	-1.6139
cd740bf9-be7d-4e49-9bfe-8dd925018726	X	91775017	129832267	17537	0.0161
cd740bf9-be7d-4e49-9bfe-8dd925018726	X	129833262	129833504	2	-1.4808
cd740bf9-be7d-4e49-9bfe-8dd925018726	X	129834727	155677414	11345	0.0236
