GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	1	3301765	209000691	104739	0.0056
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	1	209003241	209010108	2	-1.4127
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	1	209010173	220695102	8007	0.0096
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	1	220695166	220705910	2	-1.2128
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	1	220706275	232129515	6799	0.0026
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	1	232129864	232130532	5	-0.8316
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	1	232130552	247650984	10225	0.008
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	2	480597	241537572	132250	0.0053
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	3	2170634	158613262	87202	0.0048
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	3	158619976	158621752	2	-1.4798
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	3	158623833	197812401	20008	0.0039
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	4	1059384	187842528	103518	0.0082
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	5	913983	24367150	14313	0.0154
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	5	24370240	24374608	3	0.9889
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	5	24377970	59378898	17306	0.0088
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	5	59380502	59381190	2	-1.5261
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	5	59381673	165048963	59929	0.007
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	5	165052247	165055176	4	-1.0471
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	5	165055604	180934240	9585	0.0087
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	6	1011760	12718145	8442	0.003
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	6	12718269	12718894	2	-1.2218
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	6	12719160	24946443	8525	0.0054
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	6	24947544	24947577	2	1.9753
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	6	24950971	170596889	80216	0.0042
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	7	664936	24076737	12367	0.0018
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	7	24081171	24083721	3	-1.1783
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	7	24086699	158592540	69589	0.0076
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	8	667625	19179038	10232	0.0066
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	8	19182132	19182256	3	-1.4178
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	8	19183960	57850330	21090	0.0094
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	8	57850434	57850495	3	-1.1611
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	8	57858719	144182542	50933	0.0058
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	9	789794	138044505	68491	0.0038
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	10	366509	133411599	81318	0.0067
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	11	456012	134272740	77601	0.0061
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	12	780472	42622162	22057	0.0019
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	12	42623447	42631037	2	-1.6146
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	12	42636698	113731358	42259	0.0048
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	12	113735664	113737040	3	-1.0869
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	12	113737397	132605822	10052	0.0122
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	13	18874255	31605122	7735	0.0049
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	13	31605550	31606091	2	-1.6977
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	13	31606107	114226675	49275	0.0068
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	14	20033191	73953773	30353	0.0055
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	14	73957074	73957079	2	-1.4666
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	14	73958353	105533894	19448	0.0036
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	15	23437561	53469029	15815	0.0035
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	15	53471764	53478201	10	-1.0558
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	15	53478357	76728065	14396	0.0053
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	15	76730086	76731611	2	-1.6128
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	15	76732126	101344124	14585	0.0022
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	16	603333	86737318	40201	0.0081
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	16	86737463	86738239	3	1.0865
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	16	86740718	88025969	840	0.0189
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	16	88026406	88036274	9	0.4563
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	16	88038617	89317317	170	0.0081
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	17	1074619	33260612	12723	0.0096
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	17	33260889	33261468	4	-1.3028
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	17	33263815	82382648	24257	0.0079
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	17	82399121	82403173	2	-1.3259
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	17	82403670	82959812	309	0.0088
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	18	326691	64139400	35417	0.0049
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	18	64142171	64142688	2	-2.0411
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	18	64142778	79349796	7566	0.0049
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	19	283868	47974234	19839	0.0157
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	19	47974686	47974792	2	-1.5186
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	19	47974810	58370362	4320	0.0106
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	20	472817	16392530	10198	0.0056
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	20	16394005	16394316	2	-1.5366
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	20	16395828	32964686	7603	0.0075
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	20	32969140	45613342	7627	-0.0656
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	20	45613926	63588502	12148	0.0059
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	21	13974127	46262057	20608	0.0067
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	22	16934932	48940621	17097	0.0107
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	X	3236359	100429422	38660	0.0057
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	X	100431240	100431693	2	-1.472
f3c43c54-be09-44f6-9f64-6a72c8bdb80e	X	100432574	155677414	25326	0.0076
