GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	3301765	11195374	4528	0.2983
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	11198979	23719200	6963	0.4005
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	23726341	35638423	5888	0.2464
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	35641909	35662445	17	-0.2333
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	35663464	45479802	5399	0.2489
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	45488313	46810570	537	0.5771
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	46814878	47706434	488	0.2626
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	47714221	53693089	3121	0.0801
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	53702963	87540738	21811	-0.3269
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	87544498	111829091	14245	0.0708
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	111832277	112051823	212	0.1946
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	112053291	112068765	26	0.0805
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	112070406	149948986	4924	0.2509
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	149949415	151817072	723	0.1302
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	151818476	153676326	1088	0.1888
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	153677583	163926986	6095	0.1318
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	163930424	164560854	449	0.2118
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	164562863	168574993	3084	0.1392
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	168575490	177049349	5180	0.1154
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	177049574	185956703	5852	0.1475
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	185957588	186278792	214	0.4372
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	186286162	198513078	7081	0.1202
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	198513094	198513107	2	-1.383
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	198513226	201972821	2263	0.1227
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	201974223	202227569	142	0.4387
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	202227803	206432728	2539	0.126
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	206435265	214321644	5503	0.0893
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	214321796	216163593	1248	0.1713
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	216163696	222589431	4382	0.1171
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	222589873	222590319	2	-1.1411
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	222591411	226156594	1944	0.1258
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	226156675	226970636	509	0.0532
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	226971721	229786621	1550	0.1296
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	229786849	229789777	2	-0.8902
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	229791098	233245609	2431	0.1267
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	233246658	233285306	47	0.2153
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	233288318	235794138	1709	0.4005
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	235800258	237499270	1304	0.5332
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	237500117	243398914	4185	0.4348
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	243402164	243761726	290	0.2727
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	1	243767147	247650984	1804	0.4376
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	480597	4886230	2293	0.3409
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	4887124	8710687	2813	0.2952
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	8710879	11408505	1775	0.3249
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	11412764	21641845	7016	0.2125
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	21642918	32330777	5946	0.2573
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	32342270	34567585	1035	0.1103
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	34567850	35158327	293	0.2459
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	35166985	37352828	1267	0.3335
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	37352968	39185932	711	0.6124
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	39186365	44274820	3160	0.2018
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	44275649	44332416	23	0.5484
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	44335494	65568687	12013	0.1961
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	65579893	66438014	701	0.3637
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	66438031	66450749	8	0.1482
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	66450769	67367291	604	0.4335
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	67367705	69217109	1221	0.3745
6a4eb92b-ed80-40ce-8275-922cfcd1b1f2	2	69217389	81719529	6805	0.1913
