GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4cd8277c-8a70-44e6-b491-cd35c63408db	1	3301765	28926692	13607	-0.2623
4cd8277c-8a70-44e6-b491-cd35c63408db	1	28935501	39912235	5995	-0.0604
4cd8277c-8a70-44e6-b491-cd35c63408db	1	39915619	44647654	2758	0.0961
4cd8277c-8a70-44e6-b491-cd35c63408db	1	44650765	46674003	833	0.2989
4cd8277c-8a70-44e6-b491-cd35c63408db	1	46680736	54539340	4164	0.0857
4cd8277c-8a70-44e6-b491-cd35c63408db	1	54546686	62766211	5991	0.2541
4cd8277c-8a70-44e6-b491-cd35c63408db	1	62766642	64768802	1441	0.1172
4cd8277c-8a70-44e6-b491-cd35c63408db	1	64769779	65387966	543	0.3772
4cd8277c-8a70-44e6-b491-cd35c63408db	1	65491255	96017836	18618	0.1016
4cd8277c-8a70-44e6-b491-cd35c63408db	1	96017921	102924358	4127	0.0639
4cd8277c-8a70-44e6-b491-cd35c63408db	1	102924771	104271247	518	0.0899
4cd8277c-8a70-44e6-b491-cd35c63408db	1	104271920	104850859	248	0.277
4cd8277c-8a70-44e6-b491-cd35c63408db	1	104851593	119240600	8733	-0.131
4cd8277c-8a70-44e6-b491-cd35c63408db	1	119241480	119984772	501	0.1119
4cd8277c-8a70-44e6-b491-cd35c63408db	1	146716041	151344117	506	0.6736
4cd8277c-8a70-44e6-b491-cd35c63408db	1	151344772	151349632	8	0.152
4cd8277c-8a70-44e6-b491-cd35c63408db	1	151355351	151808252	218	0.6684
4cd8277c-8a70-44e6-b491-cd35c63408db	1	151811260	151837380	13	1.328
4cd8277c-8a70-44e6-b491-cd35c63408db	1	151841297	157300721	2758	0.7027
4cd8277c-8a70-44e6-b491-cd35c63408db	1	157302724	158544421	887	0.8186
4cd8277c-8a70-44e6-b491-cd35c63408db	1	158544436	158545233	10	0.2501
4cd8277c-8a70-44e6-b491-cd35c63408db	1	158545295	161306153	1717	0.8238
4cd8277c-8a70-44e6-b491-cd35c63408db	1	161307385	163403671	1482	0.7513
4cd8277c-8a70-44e6-b491-cd35c63408db	1	163404919	164817008	963	0.3088
4cd8277c-8a70-44e6-b491-cd35c63408db	1	164817915	164819401	3	-0.6725
4cd8277c-8a70-44e6-b491-cd35c63408db	1	164820246	168602593	2907	0.3072
4cd8277c-8a70-44e6-b491-cd35c63408db	1	168603936	168605460	4	-0.7705
4cd8277c-8a70-44e6-b491-cd35c63408db	1	168610854	170906273	1699	0.3151
4cd8277c-8a70-44e6-b491-cd35c63408db	1	170906290	176806542	3270	0.22
4cd8277c-8a70-44e6-b491-cd35c63408db	1	176808612	181062725	2763	-0.0607
4cd8277c-8a70-44e6-b491-cd35c63408db	1	181062798	184609993	2526	0.3493
4cd8277c-8a70-44e6-b491-cd35c63408db	1	184614083	200888646	9498	0.3219
4cd8277c-8a70-44e6-b491-cd35c63408db	1	200894147	201943780	782	0.372
4cd8277c-8a70-44e6-b491-cd35c63408db	1	201945136	203025246	617	0.4314
4cd8277c-8a70-44e6-b491-cd35c63408db	1	203025607	203113177	48	0.6307
4cd8277c-8a70-44e6-b491-cd35c63408db	1	203114023	204080714	595	0.418
4cd8277c-8a70-44e6-b491-cd35c63408db	1	204086290	204800092	580	0.5188
4cd8277c-8a70-44e6-b491-cd35c63408db	1	204800684	204940522	111	0.6646
