GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	3301765	56710571	28915	0.0093
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	56711715	56778959	64	-0.387
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	56779927	60191250	2592	0.0301
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	60191541	60194868	3	-4.4926
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	60195120	60202264	6	-1.0377
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	60202505	60508867	182	-0.0192
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	60509857	60519714	3	-1.9604
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	60521393	66003960	3896	0.0374
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	66004012	66004666	3	-1.6441
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	66004696	66039276	19	-0.022
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	66041018	66041300	2	-5.1733
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	66041404	72042787	3666	-0.0142
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	72043643	72066507	14	-1.4214
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	72066791	73639878	816	-0.0277
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	73640423	73641962	2	-3.5022
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	73642645	74602256	514	-0.027
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	74602377	74602951	2	-4.1899
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	74603362	83154701	5124	0.0072
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	83154854	83429214	70	-0.3943
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	83438185	86123475	1873	0.0354
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	86125265	86137156	11	-1.0819
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	86137208	87829145	1053	0.0674
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	87831579	88016965	179	-0.1904
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	88017880	90361059	1406	0.0392
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	90364793	90477354	95	-0.3516
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	90477969	97061611	3944	0.0366
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	97062326	107450371	5788	-0.0499
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	107450572	110986157	1966	0.0283
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	110986328	110996487	10	-0.8104
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	110999093	117494532	4245	0.0504
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	117495815	117510870	11	-0.9329
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	117512150	163941686	9356	0.025
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	163941946	164315862	254	-0.1946
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	164316734	169193340	3829	0.0405
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	169193365	169299505	48	-0.3681
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	169299574	169374785	53	-0.0059
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	169375690	169380527	5	-1.6135
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	169387110	173671442	2831	-0.0188
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	173672297	179609903	3344	0.0591
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	179610671	179624892	12	-0.91
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	179629044	184676723	3444	0.0525
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	184677059	187266801	1515	-0.0214
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	187269960	187270098	2	-4.6714
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	187270186	197507503	5844	0.0015
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	197508107	197517533	6	-2.8814
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	197518247	198923847	856	-0.026
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	198924910	198925600	2	-4.8271
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	198926482	199012112	52	-0.0387
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	199013189	199020427	9	-1.2521
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	199020831	199653885	395	-0.0363
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	199653960	199666386	15	-0.7893
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	199667752	207437705	4890	0.0236
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	207437817	207441733	2	-2.3694
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	207447229	210034483	1979	0.0547
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	210039079	210071204	24	-0.5037
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	210074471	213228305	2020	0.044
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	213228367	213247552	14	-0.677
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	213249883	215317891	1532	0.0341
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	215318153	215373539	36	-0.4724
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	215376706	215896556	269	0.0884
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	215901314	216852842	714	-0.1248
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	216853412	216859705	8	0.5
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	216859971	216867459	10	-0.0698
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	216867809	216888798	10	0.4685
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	216889123	217425988	431	-0.024
0fc0b4ae-a6a8-4a1a-aea3-4990a643a7b8	1	217427924	217815430	170	0.1819
