GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	3301765	23135050	11141	-0.0609
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	23136084	84105362	35304	0.0345
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	84108232	87303941	2070	-0.0591
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	87304287	87304568	2	-1.0778
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	87307398	89161336	1270	-0.0454
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	89166153	91439646	1390	-0.1449
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	91439838	116060112	14487	-0.0527
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	116060270	180779181	21383	0.0323
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	180781437	180784347	4	-0.8576
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	180786525	225417169	28398	0.0318
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	225417757	234431197	5817	0.1217
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	234431306	234904928	337	0.22
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	234905064	238936794	2886	0.1075
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	238938106	240095225	838	0.1673
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	1	240095432	247650984	4266	0.1104
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	480597	23983596	15295	0.0127
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	23992525	85582343	34395	0.0267
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	85582547	132950684	19685	-0.0582
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	132952030	199958258	37575	0.0317
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	199960386	200356589	249	0.1381
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	200356627	200357436	2	-0.5914
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	200357680	200473329	106	0.1265
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	200473347	205247720	2593	0.0337
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	205251064	205253760	5	-1.0338
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	205257470	222317104	10562	0.0284
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	222326277	229032316	4243	-0.0638
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	229032396	231478672	1316	0.0319
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	2	231488572	241537572	5961	-0.0671
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	3	2170634	3341337	623	0.0619
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	3	3341411	3341522	2	-1.1691
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	3	3343525	20414115	10312	0.075
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	3	20414390	22930165	1128	0.0453
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	3	22931621	61204720	21696	-0.0086
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	3	61220164	111924714	27140	0.0211
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	3	111926071	113372680	925	0.1214
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	3	113376316	156573066	24116	0.0295
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	3	156573413	182652125	13229	0.0926
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	3	182652688	190358395	4481	0.1202
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	3	190363812	197812401	3414	0.1001
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	4	1059384	3158061	817	-0.055
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	4	3158580	7268399	2609	0.0358
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	4	7269876	12915676	3370	-0.0035
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	4	12916007	17252827	3204	0.0286
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	4	17252915	18581979	883	-0.0278
29e8a47e-a20b-40c2-98dc-885a21dbf7a3	4	18583921	65798303	25603	0.0249
