GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	62920	82170	5	0.247
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	82315	86341	6	1.496
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	98588	3302046	728	0.171
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	3302359	16855942	7964	0.0107
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	16863509	16956580	59	0.8058
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	16958425	21443504	3021	0.002
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	21451767	21452015	2	-1.8951
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	21453405	22180930	425	0.0246
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	22182157	22182713	5	-0.9859
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	22187743	25244778	1799	0.0035
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	25247980	25320455	31	0.7689
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	25336819	30707867	2761	0.0096
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	30708524	30778851	51	0.3742
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	30789158	54769610	13312	0.0021
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	54769918	54808979	23	0.5473
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	54809137	56029448	987	-0.0046
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	56029695	56030972	3	-2.032
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	56033778	68891330	9592	-0.0037
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	68896746	68925377	13	-0.9414
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	68929265	109684893	25664	-0.0013
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	109690352	109697556	13	3.2691
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	109702376	152580550	9580	0.0112
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	152582700	152614118	37	0.5988
87e46ad0-1ecb-4c40-b7c9-6634bcd65527	1	152618018	152778761	159	-0.0187
