GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0ae9f973-4f93-48f0-a214-35d671d46fef	1	3301765	12774437	5379	0.5214
0ae9f973-4f93-48f0-a214-35d671d46fef	1	13468357	13483123	16	-0.3139
0ae9f973-4f93-48f0-a214-35d671d46fef	1	13484851	25396759	6877	0.5117
0ae9f973-4f93-48f0-a214-35d671d46fef	1	25407761	53261514	14347	-0.2394
0ae9f973-4f93-48f0-a214-35d671d46fef	1	53265677	69716907	11591	-1.0672
0ae9f973-4f93-48f0-a214-35d671d46fef	1	69724124	79236502	5195	0.2038
0ae9f973-4f93-48f0-a214-35d671d46fef	1	79236928	79248406	9	-1.0645
0ae9f973-4f93-48f0-a214-35d671d46fef	1	79249578	81859284	1643	0.1882
0ae9f973-4f93-48f0-a214-35d671d46fef	1	81864297	81868590	3	-1.6264
0ae9f973-4f93-48f0-a214-35d671d46fef	1	81872840	98117432	10080	0.1988
0ae9f973-4f93-48f0-a214-35d671d46fef	1	98121022	101908490	2450	-0.2867
0ae9f973-4f93-48f0-a214-35d671d46fef	1	101908554	101912076	2	1.4264
0ae9f973-4f93-48f0-a214-35d671d46fef	1	101912227	112041858	5542	-0.2893
0ae9f973-4f93-48f0-a214-35d671d46fef	1	112042157	112047204	13	-1.3919
0ae9f973-4f93-48f0-a214-35d671d46fef	1	112047477	113072139	651	-0.2856
0ae9f973-4f93-48f0-a214-35d671d46fef	1	113072737	113090172	11	-0.8818
0ae9f973-4f93-48f0-a214-35d671d46fef	1	113091939	114057929	514	-0.2826
0ae9f973-4f93-48f0-a214-35d671d46fef	1	114060675	151695242	4438	0.2287
0ae9f973-4f93-48f0-a214-35d671d46fef	1	151697079	153614081	1124	0.301
0ae9f973-4f93-48f0-a214-35d671d46fef	1	153616299	155164018	723	0.2379
0ae9f973-4f93-48f0-a214-35d671d46fef	1	155164043	164793231	6039	0.6043
0ae9f973-4f93-48f0-a214-35d671d46fef	1	164797044	193041506	18075	0.2686
0ae9f973-4f93-48f0-a214-35d671d46fef	1	193053902	193243941	235	-0.1834
0ae9f973-4f93-48f0-a214-35d671d46fef	1	193244017	213724872	12937	0.2713
0ae9f973-4f93-48f0-a214-35d671d46fef	1	213724986	216227476	1722	0.331
0ae9f973-4f93-48f0-a214-35d671d46fef	1	216230684	232341769	10096	0.2562
0ae9f973-4f93-48f0-a214-35d671d46fef	1	232346793	238451622	4515	0.5899
0ae9f973-4f93-48f0-a214-35d671d46fef	1	238451927	240044952	1215	0.2672
0ae9f973-4f93-48f0-a214-35d671d46fef	1	240045469	243554441	2333	0.2047
0ae9f973-4f93-48f0-a214-35d671d46fef	1	243554449	245570726	1179	0.2602
0ae9f973-4f93-48f0-a214-35d671d46fef	1	245574470	247650984	788	0.5925
0ae9f973-4f93-48f0-a214-35d671d46fef	2	480597	8089375	4619	0.5023
0ae9f973-4f93-48f0-a214-35d671d46fef	2	8089982	33672387	15660	0.5748
0ae9f973-4f93-48f0-a214-35d671d46fef	2	33672492	56802379	13282	0.5045
0ae9f973-4f93-48f0-a214-35d671d46fef	2	56807164	57603964	405	0.8632
0ae9f973-4f93-48f0-a214-35d671d46fef	2	57614768	58057616	242	0.457
0ae9f973-4f93-48f0-a214-35d671d46fef	2	58058431	58533034	233	0.7138
0ae9f973-4f93-48f0-a214-35d671d46fef	2	58536431	59332722	537	0.9118
0ae9f973-4f93-48f0-a214-35d671d46fef	2	59333279	60181473	647	0.7486
0ae9f973-4f93-48f0-a214-35d671d46fef	2	60182244	61487295	689	0.4814
0ae9f973-4f93-48f0-a214-35d671d46fef	2	61490249	61523114	20	-0.2971
0ae9f973-4f93-48f0-a214-35d671d46fef	2	61527820	66533006	2782	0.5039
0ae9f973-4f93-48f0-a214-35d671d46fef	2	66534835	67304381	520	0.1824
0ae9f973-4f93-48f0-a214-35d671d46fef	2	67304990	88830496	11180	0.4931
0ae9f973-4f93-48f0-a214-35d671d46fef	2	88831240	99157367	1463	0.2246
0ae9f973-4f93-48f0-a214-35d671d46fef	2	99161554	113714085	7902	0.1894
0ae9f973-4f93-48f0-a214-35d671d46fef	2	113714205	114658627	586	0.2638
0ae9f973-4f93-48f0-a214-35d671d46fef	2	114659570	147780342	17155	0.2201
0ae9f973-4f93-48f0-a214-35d671d46fef	2	147780580	165925059	10497	0.2482
0ae9f973-4f93-48f0-a214-35d671d46fef	2	165932110	165932814	3	-2.7893
0ae9f973-4f93-48f0-a214-35d671d46fef	2	165935129	184092439	11251	0.2403
0ae9f973-4f93-48f0-a214-35d671d46fef	2	184093244	208350724	12331	-0.2684
0ae9f973-4f93-48f0-a214-35d671d46fef	2	208351888	208376724	51	-0.9195
0ae9f973-4f93-48f0-a214-35d671d46fef	2	208376747	210709600	1317	-0.2537
0ae9f973-4f93-48f0-a214-35d671d46fef	2	210712233	210828158	68	-1.0727
0ae9f973-4f93-48f0-a214-35d671d46fef	2	210828274	219541184	5342	-0.2589
0ae9f973-4f93-48f0-a214-35d671d46fef	2	219541529	219945659	261	-0.322
0ae9f973-4f93-48f0-a214-35d671d46fef	2	219957995	219979718	17	-0.9194
0ae9f973-4f93-48f0-a214-35d671d46fef	2	219980085	241537572	13178	-0.301
0ae9f973-4f93-48f0-a214-35d671d46fef	3	2170634	73019957	42376	-0.4688
0ae9f973-4f93-48f0-a214-35d671d46fef	3	73026595	84342081	6012	-0.9286
0ae9f973-4f93-48f0-a214-35d671d46fef	3	84342241	88290660	1852	-0.8355
0ae9f973-4f93-48f0-a214-35d671d46fef	3	88293965	88933037	346	-0.2208
0ae9f973-4f93-48f0-a214-35d671d46fef	3	88936001	89922246	535	-0.8171
0ae9f973-4f93-48f0-a214-35d671d46fef	3	89925023	91462299	138	-0.2049
0ae9f973-4f93-48f0-a214-35d671d46fef	3	94015345	114473016	11194	0.2408
0ae9f973-4f93-48f0-a214-35d671d46fef	3	114479700	136618886	13036	-0.2292
0ae9f973-4f93-48f0-a214-35d671d46fef	3	136621295	136625279	6	-1.3888
0ae9f973-4f93-48f0-a214-35d671d46fef	3	136630304	140133425	1866	-0.2113
0ae9f973-4f93-48f0-a214-35d671d46fef	3	140133482	154947263	7799	0.2627
0ae9f973-4f93-48f0-a214-35d671d46fef	3	154954902	154973096	18	-0.3143
