GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
74bf052b-b0c1-4be9-86f0-c761a373db23	1	62920	16627800	8662	0.0266
74bf052b-b0c1-4be9-86f0-c761a373db23	1	16636774	16788139	42	-0.4553
74bf052b-b0c1-4be9-86f0-c761a373db23	1	16855942	25092208	5202	0.0218
74bf052b-b0c1-4be9-86f0-c761a373db23	1	25096910	25097831	2	-1.4121
74bf052b-b0c1-4be9-86f0-c761a373db23	1	25098398	25256800	117	-0.0096
74bf052b-b0c1-4be9-86f0-c761a373db23	1	25256850	25319167	21	0.5741
74bf052b-b0c1-4be9-86f0-c761a373db23	1	25319693	40552419	8157	0.0271
74bf052b-b0c1-4be9-86f0-c761a373db23	1	40555268	40562538	6	-0.8889
74bf052b-b0c1-4be9-86f0-c761a373db23	1	40563254	72303233	20589	0.0197
74bf052b-b0c1-4be9-86f0-c761a373db23	1	72303253	72345465	45	-1.6622
74bf052b-b0c1-4be9-86f0-c761a373db23	1	72346221	75584489	1930	0.0194
74bf052b-b0c1-4be9-86f0-c761a373db23	1	75585130	75589169	4	-1.8007
74bf052b-b0c1-4be9-86f0-c761a373db23	1	75593824	109679105	21682	0.0199
74bf052b-b0c1-4be9-86f0-c761a373db23	1	109684695	109697556	15	1.2088
74bf052b-b0c1-4be9-86f0-c761a373db23	1	109702376	112147589	1947	0.0083
74bf052b-b0c1-4be9-86f0-c761a373db23	1	112147626	112166431	41	-0.3183
74bf052b-b0c1-4be9-86f0-c761a373db23	1	112166451	143695668	5223	0.0179
74bf052b-b0c1-4be9-86f0-c761a373db23	1	143707906	143708096	3	1.1701
74bf052b-b0c1-4be9-86f0-c761a373db23	1	143708149	152583230	2369	0.0287
74bf052b-b0c1-4be9-86f0-c761a373db23	1	152583291	152614118	34	0.3576
74bf052b-b0c1-4be9-86f0-c761a373db23	1	152618018	152787202	167	0.0297
74bf052b-b0c1-4be9-86f0-c761a373db23	1	152789447	152801429	38	0.4812
74bf052b-b0c1-4be9-86f0-c761a373db23	1	152804279	158896783	3615	0.0246
74bf052b-b0c1-4be9-86f0-c761a373db23	1	158898711	158899969	2	-1.4733
74bf052b-b0c1-4be9-86f0-c761a373db23	1	158905028	169247699	7671	0.0239
74bf052b-b0c1-4be9-86f0-c761a373db23	1	169264736	169272528	7	-2.2052
74bf052b-b0c1-4be9-86f0-c761a373db23	1	169273163	179354603	6607	0.0285
74bf052b-b0c1-4be9-86f0-c761a373db23	1	179361393	179364180	4	-1.1223
74bf052b-b0c1-4be9-86f0-c761a373db23	1	179370071	196745743	11568	0.0167
74bf052b-b0c1-4be9-86f0-c761a373db23	1	196758720	196769493	5	-2.2007
74bf052b-b0c1-4be9-86f0-c761a373db23	1	196769506	196802150	38	-0.633
