GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
48becee8-1c71-4320-b0e8-72e345797daf	1	3301765	39560301	19483	0.0106
48becee8-1c71-4320-b0e8-72e345797daf	1	39561792	39562120	2	-1.752
48becee8-1c71-4320-b0e8-72e345797daf	1	39562508	49581069	5441	0.0081
48becee8-1c71-4320-b0e8-72e345797daf	1	49581939	240768739	100970	-0.0088
48becee8-1c71-4320-b0e8-72e345797daf	1	240769735	247650984	3734	0.0069
48becee8-1c71-4320-b0e8-72e345797daf	2	480597	241537572	132040	-0.0102
48becee8-1c71-4320-b0e8-72e345797daf	3	2170634	13181443	6654	-0.003
48becee8-1c71-4320-b0e8-72e345797daf	3	13182071	13202953	20	0.5591
48becee8-1c71-4320-b0e8-72e345797daf	3	13202983	13430769	147	0.0126
48becee8-1c71-4320-b0e8-72e345797daf	3	13434495	13445572	10	-0.8423
48becee8-1c71-4320-b0e8-72e345797daf	3	13452008	182308585	92120	-0.0114
48becee8-1c71-4320-b0e8-72e345797daf	3	182309852	182319794	3	-1.5724
48becee8-1c71-4320-b0e8-72e345797daf	3	182323769	197812401	8083	-0.0104
48becee8-1c71-4320-b0e8-72e345797daf	4	1059384	187842528	103328	-0.013
48becee8-1c71-4320-b0e8-72e345797daf	5	914118	19408382	11815	-0.0004
48becee8-1c71-4320-b0e8-72e345797daf	5	19408978	19419700	11	-1.2592
48becee8-1c71-4320-b0e8-72e345797daf	5	19419717	180934240	89157	-0.0118
48becee8-1c71-4320-b0e8-72e345797daf	6	1011760	170596889	97020	-0.0114
48becee8-1c71-4320-b0e8-72e345797daf	7	664936	26541684	14182	-0.0074
48becee8-1c71-4320-b0e8-72e345797daf	7	26542156	26542177	2	-1.8379
48becee8-1c71-4320-b0e8-72e345797daf	7	26543210	158592540	67654	-0.0065
48becee8-1c71-4320-b0e8-72e345797daf	8	667625	42835571	24928	-0.6824
48becee8-1c71-4320-b0e8-72e345797daf	8	42846171	119005464	41241	0.7515
48becee8-1c71-4320-b0e8-72e345797daf	8	119008798	119008925	3	-0.8514
48becee8-1c71-4320-b0e8-72e345797daf	8	119009021	144182542	15935	0.7518
48becee8-1c71-4320-b0e8-72e345797daf	9	789794	138044505	68415	-0.002
48becee8-1c71-4320-b0e8-72e345797daf	10	366509	19240205	13716	-0.0017
48becee8-1c71-4320-b0e8-72e345797daf	10	19241724	19242162	2	-2.1993
48becee8-1c71-4320-b0e8-72e345797daf	10	19243426	24302445	3337	-0.0085
48becee8-1c71-4320-b0e8-72e345797daf	10	24304720	24304734	2	-2.0152
48becee8-1c71-4320-b0e8-72e345797daf	10	24306092	126542827	60457	-0.002
48becee8-1c71-4320-b0e8-72e345797daf	10	126543104	126543283	2	-1.6829
48becee8-1c71-4320-b0e8-72e345797daf	10	126543690	129510308	2337	-0.001
48becee8-1c71-4320-b0e8-72e345797daf	10	129513799	129515477	2	-1.5399
48becee8-1c71-4320-b0e8-72e345797daf	10	129519126	133411599	1346	0.002
48becee8-1c71-4320-b0e8-72e345797daf	11	456012	134272740	77503	-0.0068
48becee8-1c71-4320-b0e8-72e345797daf	12	780472	132605822	74241	-0.0068
48becee8-1c71-4320-b0e8-72e345797daf	13	18874255	114226675	56892	-0.0091
48becee8-1c71-4320-b0e8-72e345797daf	14	20033191	105533894	49721	-0.0042
48becee8-1c71-4320-b0e8-72e345797daf	15	23437561	101344124	44736	0.0042
48becee8-1c71-4320-b0e8-72e345797daf	16	603333	46470502	14032	0.7604
48becee8-1c71-4320-b0e8-72e345797daf	16	46473753	54680574	5374	-0.6445
48becee8-1c71-4320-b0e8-72e345797daf	16	54684470	56871520	1542	0.7707
48becee8-1c71-4320-b0e8-72e345797daf	16	56877103	62193730	3236	-0.6611
48becee8-1c71-4320-b0e8-72e345797daf	16	62195044	62195765	2	-3.0821
48becee8-1c71-4320-b0e8-72e345797daf	16	62197459	89317317	16955	-0.6654
48becee8-1c71-4320-b0e8-72e345797daf	17	1074619	82959812	37269	0.0059
48becee8-1c71-4320-b0e8-72e345797daf	18	326691	70308550	38510	-0.0042
48becee8-1c71-4320-b0e8-72e345797daf	18	70308764	70309101	2	-1.8251
48becee8-1c71-4320-b0e8-72e345797daf	18	70309306	79349796	4381	-0.0109
48becee8-1c71-4320-b0e8-72e345797daf	19	283868	58370362	24138	0.0098
48becee8-1c71-4320-b0e8-72e345797daf	20	472817	63588502	37532	0.0018
48becee8-1c71-4320-b0e8-72e345797daf	21	13974127	46262057	20574	-0.0008
48becee8-1c71-4320-b0e8-72e345797daf	22	16934932	48940621	17075	-0.0358
48becee8-1c71-4320-b0e8-72e345797daf	X	3236359	155677414	63913	0.007
