"","uniprot_gn_id","external_gene_name","cluster","betweenness","degree_centrality","logFC","file_id","ID","pocket","druggability","num_drug_pockets","struct_score"
"1","A0AVK6","E2F8","3",0,1,3.0361967768201,"AF-A0AVK6-F1-model_v4","A0AVK6-F1",0.14,0.562,1,53.6931614756577
"2","A0MZ66","SHTN1","3",543,2,1.02926135277469,"AF-A0MZ66-F1-model_v4","A0MZ66-F1",0.312,0.763,1,72.9323872255489
"3","A4GXA9","EME2","3",1626,7,1.26021942944889,"AF-A4GXA9-F1-model_v4","A4GXA9-F1",0.37,0.937,1,80.9574421815671
"4","A4QMS7","CFAP90","3",6886,3,1.7595838044897,"AF-A4QMS7-F1-model_v4","A4QMS7-F1",0.256,0.204,0,75.3620233139051
"5","A8MQ03","CYSRT1","14",0,1,1.56014230217386,"AF-A8MQ03-F1-model_v4","A8MQ03-F1",0.213,0.308,0,55.8977620396601
"6","A8MT69","CENPX","3",289,9,1.30254832846018,"AF-A8MT69-F1-model_v4","A8MT69-F1",0.337,0.313,0,93.9695873015873
"7","B1AK53","ESPN","3",609,3,1.07644042587078,"AF-B1AK53-F1-model_v4","B1AK53-F1",0.114,0.144,0,68.309967416602
"8","B4DS77","SHISA9","10",0,1,2.02445505473581,"AF-B4DS77-F1-model_v4","B4DS77-F1",0.277,0.654,1,56.9548785670917
"9","K7EJ46","SMIM22","36",0,1,2.06990703339338,"AF-K7EJ46-F1-model_v4","K7EJ46-F1",0.255,0.386,0,75.8180834621329
"10","M0R2J8","DCDC1","3",0,1,1.70197776985893,"AF-M0R2J8-F1-model_v4","M0R2J8-F1",0.21,0.737,1,68.5659063497694
"11","O00148","DDX39A","3",4288,2,1.1475841051756,"AF-O00148-F1-model_v4","O00148-F1",0.263,0.142,0,85.2259489262914
"12","O00180","KCNK1","24",0,2,1.35862318496562,"AF-O00180-F1-model_v4","O00180-F1",0.38,0.943,2,83.7794213649852
"13","O00232","PSMD12","3",0,1,1.15143866660086,"AF-O00232-F1-model_v4","O00232-F1",0.32,0.135,0,79.0830677828787
"14","O00238","BMPR1B","3",1084,2,4.18041937392007,"AF-O00238-F1-model_v4","O00238-F1",0.206,0.225,0,85.1282622868606
