GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f5222559-bf86-457c-af8d-b14e676ae34c	1	3301765	18428852	8371	-0.4907
f5222559-bf86-457c-af8d-b14e676ae34c	1	18429810	18430086	2	-2.3474
f5222559-bf86-457c-af8d-b14e676ae34c	1	18431692	21342974	1821	-0.4791
f5222559-bf86-457c-af8d-b14e676ae34c	1	21343308	21349351	4	-1.597
f5222559-bf86-457c-af8d-b14e676ae34c	1	21349460	30379166	4367	-0.4916
f5222559-bf86-457c-af8d-b14e676ae34c	1	30379250	33347337	1369	0.6196
f5222559-bf86-457c-af8d-b14e676ae34c	1	33354213	35567522	1391	-0.4992
f5222559-bf86-457c-af8d-b14e676ae34c	1	35575795	48805477	7242	0.6183
f5222559-bf86-457c-af8d-b14e676ae34c	1	48805639	49141329	219	0.9505
f5222559-bf86-457c-af8d-b14e676ae34c	1	49141481	49443468	129	0.6208
f5222559-bf86-457c-af8d-b14e676ae34c	1	49448451	54975403	2742	0.9103
f5222559-bf86-457c-af8d-b14e676ae34c	1	54977932	55341828	261	0.658
f5222559-bf86-457c-af8d-b14e676ae34c	1	55342559	59526987	3336	0.9189
f5222559-bf86-457c-af8d-b14e676ae34c	1	59592607	69869999	7073	0.6059
f5222559-bf86-457c-af8d-b14e676ae34c	1	69870256	69879252	4	2.1271
f5222559-bf86-457c-af8d-b14e676ae34c	1	69881194	78761341	4959	0.6131
f5222559-bf86-457c-af8d-b14e676ae34c	1	78761699	84125319	3216	-0.54
f5222559-bf86-457c-af8d-b14e676ae34c	1	84128716	84352910	141	0.1661
f5222559-bf86-457c-af8d-b14e676ae34c	1	84357167	119984738	21456	-0.5348
f5222559-bf86-457c-af8d-b14e676ae34c	1	119984772	151758805	699	0.556
f5222559-bf86-457c-af8d-b14e676ae34c	1	151759607	165067758	8103	0.595
f5222559-bf86-457c-af8d-b14e676ae34c	1	165076228	165076317	3	-0.9499
f5222559-bf86-457c-af8d-b14e676ae34c	1	165077278	219701688	35207	0.5819
f5222559-bf86-457c-af8d-b14e676ae34c	1	219702239	243894192	15934	0.5522
f5222559-bf86-457c-af8d-b14e676ae34c	1	243895822	244296459	272	1.074
f5222559-bf86-457c-af8d-b14e676ae34c	1	244296481	247650984	1440	0.5762
f5222559-bf86-457c-af8d-b14e676ae34c	2	480597	142270494	74909	-0.122
f5222559-bf86-457c-af8d-b14e676ae34c	2	142270917	232272608	51672	-0.1485
f5222559-bf86-457c-af8d-b14e676ae34c	2	232276555	241537572	5662	-0.1228
f5222559-bf86-457c-af8d-b14e676ae34c	3	2170634	15280316	8031	-0.1438
f5222559-bf86-457c-af8d-b14e676ae34c	3	15280994	20446862	2938	-0.1913
f5222559-bf86-457c-af8d-b14e676ae34c	3	20447594	75879414	32968	-0.1502
f5222559-bf86-457c-af8d-b14e676ae34c	3	75881208	75881781	2	-2.7171
f5222559-bf86-457c-af8d-b14e676ae34c	3	75883312	77444853	888	-0.1548
f5222559-bf86-457c-af8d-b14e676ae34c	3	77445016	87167801	4956	0.4283
f5222559-bf86-457c-af8d-b14e676ae34c	3	87169497	167721419	41626	0.1889
f5222559-bf86-457c-af8d-b14e676ae34c	3	167723197	179169203	5988	0.6229
f5222559-bf86-457c-af8d-b14e676ae34c	3	179169416	179234447	107	0.4232
f5222559-bf86-457c-af8d-b14e676ae34c	3	179235965	197812401	9704	0.6175
f5222559-bf86-457c-af8d-b14e676ae34c	4	1059384	7186622	3360	-0.3842
f5222559-bf86-457c-af8d-b14e676ae34c	4	7187455	9914226	1126	0.1062
f5222559-bf86-457c-af8d-b14e676ae34c	4	9914556	30017276	13791	0.0287
f5222559-bf86-457c-af8d-b14e676ae34c	4	30023464	30593935	330	0.0688
f5222559-bf86-457c-af8d-b14e676ae34c	4	30595511	44506005	7919	-0.4061
f5222559-bf86-457c-af8d-b14e676ae34c	4	44506093	51833610	1847	-0.3212
f5222559-bf86-457c-af8d-b14e676ae34c	4	51834605	77764202	14554	0.0834
f5222559-bf86-457c-af8d-b14e676ae34c	4	77764718	88746440	6578	0.0543
f5222559-bf86-457c-af8d-b14e676ae34c	4	88750289	143790458	30425	-0.117
f5222559-bf86-457c-af8d-b14e676ae34c	4	143790744	143791356	3	1.735
f5222559-bf86-457c-af8d-b14e676ae34c	4	143794196	187842528	23609	-0.1232
f5222559-bf86-457c-af8d-b14e676ae34c	5	914118	36195853	21004	0.1866
f5222559-bf86-457c-af8d-b14e676ae34c	5	36196194	167098052	71950	0.1586
f5222559-bf86-457c-af8d-b14e676ae34c	5	167100060	180934240	8216	0.1907
f5222559-bf86-457c-af8d-b14e676ae34c	6	1011760	24212035	16513	0.1785
f5222559-bf86-457c-af8d-b14e676ae34c	6	24268525	26033600	1051	0.5906
f5222559-bf86-457c-af8d-b14e676ae34c	6	26072168	31058071	1730	0.1365
f5222559-bf86-457c-af8d-b14e676ae34c	6	31062345	81397258	25868	0.1803
f5222559-bf86-457c-af8d-b14e676ae34c	6	81397536	87502652	3397	0.1549
f5222559-bf86-457c-af8d-b14e676ae34c	6	87504551	87505835	3	-1.08
f5222559-bf86-457c-af8d-b14e676ae34c	6	87510482	93272973	3636	0.1475
f5222559-bf86-457c-af8d-b14e676ae34c	6	93275311	93318764	24	0.6261
f5222559-bf86-457c-af8d-b14e676ae34c	6	93319279	170596889	44993	0.1466
f5222559-bf86-457c-af8d-b14e676ae34c	7	664936	3086607	834	0.1
f5222559-bf86-457c-af8d-b14e676ae34c	7	3088150	20497561	9036	0.0501
f5222559-bf86-457c-af8d-b14e676ae34c	7	20497795	20603743	79	0.4143
f5222559-bf86-457c-af8d-b14e676ae34c	7	20604187	27466037	4874	0.0359
f5222559-bf86-457c-af8d-b14e676ae34c	7	27466930	27473588	3	-1.564
f5222559-bf86-457c-af8d-b14e676ae34c	7	27474269	27532614	47	-0.0003
f5222559-bf86-457c-af8d-b14e676ae34c	7	27534412	27534969	2	2.5514
f5222559-bf86-457c-af8d-b14e676ae34c	7	27538548	50795954	14860	0.0564
f5222559-bf86-457c-af8d-b14e676ae34c	7	50803654	54988421	2855	0.0917
f5222559-bf86-457c-af8d-b14e676ae34c	7	54989269	56257539	832	0.1565
f5222559-bf86-457c-af8d-b14e676ae34c	7	56257550	56343876	25	0.5462
f5222559-bf86-457c-af8d-b14e676ae34c	7	56356123	71592303	3693	0.1447
f5222559-bf86-457c-af8d-b14e676ae34c	7	71594978	79815754	3279	0.1049
f5222559-bf86-457c-af8d-b14e676ae34c	7	79815891	99184727	10149	-0.5058
f5222559-bf86-457c-af8d-b14e676ae34c	7	99185127	114575865	7521	0.1967
f5222559-bf86-457c-af8d-b14e676ae34c	7	114577133	119326879	2715	0.153
f5222559-bf86-457c-af8d-b14e676ae34c	7	119327903	119363631	23	0.6135
f5222559-bf86-457c-af8d-b14e676ae34c	7	119366808	155719030	19571	0.151
f5222559-bf86-457c-af8d-b14e676ae34c	7	155719508	158592540	1577	0.1954
f5222559-bf86-457c-af8d-b14e676ae34c	8	667625	8651440	3455	-0.9208
f5222559-bf86-457c-af8d-b14e676ae34c	8	8655655	8656425	3	-3.4425
f5222559-bf86-457c-af8d-b14e676ae34c	8	8656549	29782147	14055	-0.9087
f5222559-bf86-457c-af8d-b14e676ae34c	8	29787145	42304485	7134	-0.5278
f5222559-bf86-457c-af8d-b14e676ae34c	8	42304806	70040504	13857	0.6041
f5222559-bf86-457c-af8d-b14e676ae34c	8	70041692	70048926	8	-0.2005
f5222559-bf86-457c-af8d-b14e676ae34c	8	70048989	82049144	6980	0.5993
f5222559-bf86-457c-af8d-b14e676ae34c	8	82050478	82055355	3	-0.7854
f5222559-bf86-457c-af8d-b14e676ae34c	8	82061379	115803992	18526	0.5918
f5222559-bf86-457c-af8d-b14e676ae34c	8	115804214	116304741	292	0.9512
f5222559-bf86-457c-af8d-b14e676ae34c	8	116305578	119204591	2086	0.6032
f5222559-bf86-457c-af8d-b14e676ae34c	8	119204718	138650508	13716	0.5723
f5222559-bf86-457c-af8d-b14e676ae34c	8	138652901	144182542	2076	0.6222
f5222559-bf86-457c-af8d-b14e676ae34c	9	789794	36721189	22139	0.1457
f5222559-bf86-457c-af8d-b14e676ae34c	9	36722007	115751202	33300	0.1815
f5222559-bf86-457c-af8d-b14e676ae34c	9	115752861	116960428	879	0.5462
f5222559-bf86-457c-af8d-b14e676ae34c	9	116963772	132942840	10165	0.1875
f5222559-bf86-457c-af8d-b14e676ae34c	9	132942894	132942909	2	4.0896
f5222559-bf86-457c-af8d-b14e676ae34c	9	132943023	138044505	2030	0.2388
f5222559-bf86-457c-af8d-b14e676ae34c	10	366509	14530645	10393	0.3178
f5222559-bf86-457c-af8d-b14e676ae34c	10	14530962	17600126	2286	0.2669
f5222559-bf86-457c-af8d-b14e676ae34c	10	17600435	18191019	267	0.3154
f5222559-bf86-457c-af8d-b14e676ae34c	10	18191298	29216195	7356	0.1494
f5222559-bf86-457c-af8d-b14e676ae34c	10	29216559	29217639	2	2.1909
f5222559-bf86-457c-af8d-b14e676ae34c	10	29220027	36050590	4498	0.1442
f5222559-bf86-457c-af8d-b14e676ae34c	10	36050888	43092904	1827	0.1878
f5222559-bf86-457c-af8d-b14e676ae34c	10	43093174	43093484	5	-0.6106
f5222559-bf86-457c-af8d-b14e676ae34c	10	43093495	44946855	1276	0.1956
f5222559-bf86-457c-af8d-b14e676ae34c	10	44946866	45349943	232	0.6231
f5222559-bf86-457c-af8d-b14e676ae34c	10	45353397	48446360	503	0.1831
f5222559-bf86-457c-af8d-b14e676ae34c	10	48452253	72387174	14369	-0.5522
f5222559-bf86-457c-af8d-b14e676ae34c	10	72387642	72956409	240	0.1344
f5222559-bf86-457c-af8d-b14e676ae34c	10	72960204	73298599	138	-0.567
f5222559-bf86-457c-af8d-b14e676ae34c	10	73298843	74088706	300	0.1452
f5222559-bf86-457c-af8d-b14e676ae34c	10	74096922	74908959	369	0.5781
f5222559-bf86-457c-af8d-b14e676ae34c	10	74910553	74924294	11	-0.5381
f5222559-bf86-457c-af8d-b14e676ae34c	10	74926566	81848752	4476	0.2036
f5222559-bf86-457c-af8d-b14e676ae34c	10	81848985	100653854	11777	0.1554
f5222559-bf86-457c-af8d-b14e676ae34c	10	100654647	100660705	2	-1.6081
f5222559-bf86-457c-af8d-b14e676ae34c	10	100662289	110751184	6038	0.1717
f5222559-bf86-457c-af8d-b14e676ae34c	10	110751397	133411599	14950	0.1884
f5222559-bf86-457c-af8d-b14e676ae34c	11	456012	18577085	11238	0.174
f5222559-bf86-457c-af8d-b14e676ae34c	11	18577581	18584005	2	-1.5595
f5222559-bf86-457c-af8d-b14e676ae34c	11	18584091	30665463	8186	0.1618
f5222559-bf86-457c-af8d-b14e676ae34c	11	30667556	32617646	1315	0.6002
f5222559-bf86-457c-af8d-b14e676ae34c	11	32618299	33819347	584	0.1322
f5222559-bf86-457c-af8d-b14e676ae34c	11	33820193	45908971	7850	0.1894
f5222559-bf86-457c-af8d-b14e676ae34c	11	45909468	56244856	1504	0.1372
f5222559-bf86-457c-af8d-b14e676ae34c	11	56246322	61458926	2941	0.5916
f5222559-bf86-457c-af8d-b14e676ae34c	11	61459029	68032264	2173	0.096
f5222559-bf86-457c-af8d-b14e676ae34c	11	68032282	70880532	1551	0.3471
f5222559-bf86-457c-af8d-b14e676ae34c	11	70884341	82208307	6608	-0.3758
f5222559-bf86-457c-af8d-b14e676ae34c	11	82209008	82916988	360	-1.7315
f5222559-bf86-457c-af8d-b14e676ae34c	11	82922274	101020350	11152	-0.5355
f5222559-bf86-457c-af8d-b14e676ae34c	11	101020514	101129818	237	-0.3671
f5222559-bf86-457c-af8d-b14e676ae34c	11	101129894	116558973	9669	-0.5469
f5222559-bf86-457c-af8d-b14e676ae34c	11	116560232	116563712	5	-2.9714
f5222559-bf86-457c-af8d-b14e676ae34c	11	116565423	134272740	12186	-0.5332
f5222559-bf86-457c-af8d-b14e676ae34c	12	780472	16056712	8686	-0.0138
f5222559-bf86-457c-af8d-b14e676ae34c	12	16066978	16723031	473	0.1481
f5222559-bf86-457c-af8d-b14e676ae34c	12	16725629	21542910	2874	0.2105
f5222559-bf86-457c-af8d-b14e676ae34c	12	21544904	56686565	17312	0.1361
f5222559-bf86-457c-af8d-b14e676ae34c	12	56706269	56707854	2	2.2681
f5222559-bf86-457c-af8d-b14e676ae34c	12	56711034	132605822	45042	0.1241
f5222559-bf86-457c-af8d-b14e676ae34c	13	18874255	36896537	11330	0.0414
f5222559-bf86-457c-af8d-b14e676ae34c	13	36899249	37312272	232	-0.1975
f5222559-bf86-457c-af8d-b14e676ae34c	13	37318822	44012976	4394	-0.6622
f5222559-bf86-457c-af8d-b14e676ae34c	13	44015093	48372144	2843	-1.0146
f5222559-bf86-457c-af8d-b14e676ae34c	13	48372214	54212650	2606	-0.5316
f5222559-bf86-457c-af8d-b14e676ae34c	13	54252735	54253678	3	-2.8107
f5222559-bf86-457c-af8d-b14e676ae34c	13	54254322	114226675	35567	-0.536
f5222559-bf86-457c-af8d-b14e676ae34c	14	20033191	44920463	13018	0.1363
f5222559-bf86-457c-af8d-b14e676ae34c	14	44921274	71153007	15592	0.0895
f5222559-bf86-457c-af8d-b14e676ae34c	14	71153360	71157091	2	1.8855
f5222559-bf86-457c-af8d-b14e676ae34c	14	71157573	83969567	8298	0.0999
f5222559-bf86-457c-af8d-b14e676ae34c	14	83970127	83970988	2	1.9849
f5222559-bf86-457c-af8d-b14e676ae34c	14	83971730	93767054	5808	0.0719
f5222559-bf86-457c-af8d-b14e676ae34c	14	93769977	105533894	7090	0.1164
f5222559-bf86-457c-af8d-b14e676ae34c	15	23437561	101344124	44775	-0.5158
f5222559-bf86-457c-af8d-b14e676ae34c	16	603333	20924928	9427	0.2195
f5222559-bf86-457c-af8d-b14e676ae34c	16	20925740	25576060	1968	0.1732
f5222559-bf86-457c-af8d-b14e676ae34c	16	25578518	25581385	2	1.7919
f5222559-bf86-457c-af8d-b14e676ae34c	16	25585316	31841585	2647	0.2011
f5222559-bf86-457c-af8d-b14e676ae34c	16	46470502	51566671	3011	-0.4839
f5222559-bf86-457c-af8d-b14e676ae34c	16	51568533	52084541	392	0.2214
f5222559-bf86-457c-af8d-b14e676ae34c	16	52086456	52153112	48	0.6555
f5222559-bf86-457c-af8d-b14e676ae34c	16	52154053	57624601	3918	0.2283
f5222559-bf86-457c-af8d-b14e676ae34c	16	57626434	89317317	19792	-0.4996
f5222559-bf86-457c-af8d-b14e676ae34c	17	1074619	5975089	2266	-0.2963
f5222559-bf86-457c-af8d-b14e676ae34c	17	5976225	21399695	7468	-0.4946
f5222559-bf86-457c-af8d-b14e676ae34c	17	21774057	82959812	27559	0.1978
f5222559-bf86-457c-af8d-b14e676ae34c	18	326691	14661644	8275	0.1711
f5222559-bf86-457c-af8d-b14e676ae34c	18	21109102	28450494	4450	0.6365
f5222559-bf86-457c-af8d-b14e676ae34c	18	28455117	79349796	30230	-0.5216
f5222559-bf86-457c-af8d-b14e676ae34c	19	283868	7742664	2232	-0.4993
f5222559-bf86-457c-af8d-b14e676ae34c	19	7742724	33341379	10799	0.1912
f5222559-bf86-457c-af8d-b14e676ae34c	19	33345289	40246423	3659	0.0302
f5222559-bf86-457c-af8d-b14e676ae34c	19	40249130	55233139	5838	-0.0619
f5222559-bf86-457c-af8d-b14e676ae34c	19	55242819	57989309	1412	0.2774
f5222559-bf86-457c-af8d-b14e676ae34c	19	58011102	58355805	210	-0.0859
f5222559-bf86-457c-af8d-b14e676ae34c	19	58361857	58370362	3	0.7497
f5222559-bf86-457c-af8d-b14e676ae34c	20	472817	14299785	8866	0.1582
f5222559-bf86-457c-af8d-b14e676ae34c	20	14300436	34357767	9630	0.1944
f5222559-bf86-457c-af8d-b14e676ae34c	20	34360338	37697445	1649	0.162
f5222559-bf86-457c-af8d-b14e676ae34c	20	37697600	47003083	6203	0.2256
f5222559-bf86-457c-af8d-b14e676ae34c	20	47003361	47004582	3	-1.1238
f5222559-bf86-457c-af8d-b14e676ae34c	20	47005631	48662063	1208	0.2441
f5222559-bf86-457c-af8d-b14e676ae34c	20	48662364	61196514	8883	0.2047
f5222559-bf86-457c-af8d-b14e676ae34c	20	61196917	63588502	1129	0.269
f5222559-bf86-457c-af8d-b14e676ae34c	21	13974127	46262057	20580	-0.5112
f5222559-bf86-457c-af8d-b14e676ae34c	22	16934932	48940621	17067	-0.4926
f5222559-bf86-457c-af8d-b14e676ae34c	X	3236359	92005804	35146	0.2036
f5222559-bf86-457c-af8d-b14e676ae34c	X	92015358	92497102	202	-0.9453
f5222559-bf86-457c-af8d-b14e676ae34c	X	92510811	155677414	28551	-0.2302
