GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d17bcbde-2313-4553-9017-297ef7900b81	1	3301765	31152499	14995	-0.2779
d17bcbde-2313-4553-9017-297ef7900b81	1	31152542	44376924	7216	0.3298
d17bcbde-2313-4553-9017-297ef7900b81	1	44377508	45009253	364	0.0801
d17bcbde-2313-4553-9017-297ef7900b81	1	45012003	45056022	14	-0.0234
d17bcbde-2313-4553-9017-297ef7900b81	1	45057900	56737553	6407	-0.2621
d17bcbde-2313-4553-9017-297ef7900b81	1	56739922	61597301	3632	0.0571
d17bcbde-2313-4553-9017-297ef7900b81	1	61597409	72820809	7210	0.3343
d17bcbde-2313-4553-9017-297ef7900b81	1	72820829	83518052	6209	0.0419
d17bcbde-2313-4553-9017-297ef7900b81	1	83519508	85151891	1189	0.3314
d17bcbde-2313-4553-9017-297ef7900b81	1	85152425	203025246	53525	0.304
d17bcbde-2313-4553-9017-297ef7900b81	1	203025607	203047959	15	0.3512
d17bcbde-2313-4553-9017-297ef7900b81	1	203050522	203881584	536	0.529
d17bcbde-2313-4553-9017-297ef7900b81	1	203882146	214145405	6901	0.3206
d17bcbde-2313-4553-9017-297ef7900b81	1	214147777	239900521	17115	0.3555
d17bcbde-2313-4553-9017-297ef7900b81	1	239900836	247650984	4434	0.3336
d17bcbde-2313-4553-9017-297ef7900b81	2	480597	17087759	10737	0.0096
d17bcbde-2313-4553-9017-297ef7900b81	2	17089866	17090728	5	-1.2908
d17bcbde-2313-4553-9017-297ef7900b81	2	17095740	77270778	34666	0.0232
d17bcbde-2313-4553-9017-297ef7900b81	2	77274135	77670984	242	-0.284
d17bcbde-2313-4553-9017-297ef7900b81	2	77690767	79470645	527	0.0212
d17bcbde-2313-4553-9017-297ef7900b81	2	79470856	83194886	2242	-0.3045
d17bcbde-2313-4553-9017-297ef7900b81	2	83196779	83206539	10	-0.9782
d17bcbde-2313-4553-9017-297ef7900b81	2	83207014	85193579	1133	-0.3157
d17bcbde-2313-4553-9017-297ef7900b81	2	85199340	85837762	373	-0.023
d17bcbde-2313-4553-9017-297ef7900b81	2	85842068	86601159	316	-0.344
d17bcbde-2313-4553-9017-297ef7900b81	2	86608681	123441165	15352	0.0316
d17bcbde-2313-4553-9017-297ef7900b81	2	123441273	148206257	12473	-0.0046
d17bcbde-2313-4553-9017-297ef7900b81	2	148208059	148658203	213	-0.2659
d17bcbde-2313-4553-9017-297ef7900b81	2	148661522	149077408	217	0.034
d17bcbde-2313-4553-9017-297ef7900b81	2	149077586	149077730	2	-2.7518
d17bcbde-2313-4553-9017-297ef7900b81	2	149077773	155023896	3786	-0.0121
d17bcbde-2313-4553-9017-297ef7900b81	2	155024423	157904108	1481	0.0113
d17bcbde-2313-4553-9017-297ef7900b81	2	157904287	158020288	90	0.2109
d17bcbde-2313-4553-9017-297ef7900b81	2	158020401	196386579	21298	0.0058
d17bcbde-2313-4553-9017-297ef7900b81	2	196387447	228668779	19580	-0.0259
d17bcbde-2313-4553-9017-297ef7900b81	2	228674060	233612283	2526	0.2243
d17bcbde-2313-4553-9017-297ef7900b81	2	233612490	233815023	141	0.4341
d17bcbde-2313-4553-9017-297ef7900b81	2	233817237	240135296	4107	0.2368
d17bcbde-2313-4553-9017-297ef7900b81	2	240135312	241537572	708	-0.3664
d17bcbde-2313-4553-9017-297ef7900b81	3	2170634	17297055	9370	-0.307
d17bcbde-2313-4553-9017-297ef7900b81	3	17297660	57321309	22854	0.0233
d17bcbde-2313-4553-9017-297ef7900b81	3	57331072	78155064	12961	0.314
d17bcbde-2313-4553-9017-297ef7900b81	3	78159063	78173953	8	-0.4734
d17bcbde-2313-4553-9017-297ef7900b81	3	78175657	83710271	2942	0.3003
d17bcbde-2313-4553-9017-297ef7900b81	3	83712804	84101322	143	0.492
d17bcbde-2313-4553-9017-297ef7900b81	3	84107954	115353841	14663	0.3067
d17bcbde-2313-4553-9017-297ef7900b81	3	115358873	117204170	1377	0.2547
d17bcbde-2313-4553-9017-297ef7900b81	3	117206154	117381324	110	0.4836
d17bcbde-2313-4553-9017-297ef7900b81	3	117381720	131204990	7761	0.2826
d17bcbde-2313-4553-9017-297ef7900b81	3	131205325	131207124	2	-1.2385
d17bcbde-2313-4553-9017-297ef7900b81	3	131211810	131580741	196	0.2663
d17bcbde-2313-4553-9017-297ef7900b81	3	131595616	133019472	999	0.3366
d17bcbde-2313-4553-9017-297ef7900b81	3	133020976	167723197	18012	0.3101
d17bcbde-2313-4553-9017-297ef7900b81	3	167727800	171622551	2384	0.3432
d17bcbde-2313-4553-9017-297ef7900b81	3	171972471	173243970	811	0.743
d17bcbde-2313-4553-9017-297ef7900b81	3	173244564	182331474	4521	0.5595
d17bcbde-2313-4553-9017-297ef7900b81	3	182331711	182363088	16	0.409
d17bcbde-2313-4553-9017-297ef7900b81	3	182364895	197812401	8068	0.0861
d17bcbde-2313-4553-9017-297ef7900b81	4	1059384	5957408	2513	-0.2743
d17bcbde-2313-4553-9017-297ef7900b81	4	5959611	5959653	2	-1.8852
d17bcbde-2313-4553-9017-297ef7900b81	4	5959931	6520911	440	-0.2671
d17bcbde-2313-4553-9017-297ef7900b81	4	6520951	21469945	9736	0.0665
d17bcbde-2313-4553-9017-297ef7900b81	4	21470591	23697094	1428	0.3265
