GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
09a7d8d3-0973-405b-96e0-01b579b331b4	1	3301765	48647950	24445	-0.3669
09a7d8d3-0973-405b-96e0-01b579b331b4	1	48650693	50639012	997	-0.4275
09a7d8d3-0973-405b-96e0-01b579b331b4	1	50639982	56194817	3154	-0.3702
09a7d8d3-0973-405b-96e0-01b579b331b4	1	56194968	83596502	17532	-0.4203
09a7d8d3-0973-405b-96e0-01b579b331b4	1	83596751	104300494	12532	0.0202
09a7d8d3-0973-405b-96e0-01b579b331b4	1	104302421	106391079	1057	-0.0397
09a7d8d3-0973-405b-96e0-01b579b331b4	1	106391157	107521875	779	0.0121
09a7d8d3-0973-405b-96e0-01b579b331b4	1	107522105	162862616	14768	0.0511
09a7d8d3-0973-405b-96e0-01b579b331b4	1	162865293	186683414	15776	0.0258
09a7d8d3-0973-405b-96e0-01b579b331b4	1	186686330	198731427	7037	-0.0219
09a7d8d3-0973-405b-96e0-01b579b331b4	1	198733489	200463000	1095	0.022
09a7d8d3-0973-405b-96e0-01b579b331b4	1	200466236	206741127	3914	0.0632
09a7d8d3-0973-405b-96e0-01b579b331b4	1	206741759	215017784	5835	0.0317
09a7d8d3-0973-405b-96e0-01b579b331b4	1	215024255	222787411	5180	0.0012
09a7d8d3-0973-405b-96e0-01b579b331b4	1	222788313	237571716	9470	0.0314
09a7d8d3-0973-405b-96e0-01b579b331b4	1	237571997	240926332	2598	-0.0167
09a7d8d3-0973-405b-96e0-01b579b331b4	1	240928350	245380056	2673	0.0224
09a7d8d3-0973-405b-96e0-01b579b331b4	1	245381707	245381842	2	-1.8401
09a7d8d3-0973-405b-96e0-01b579b331b4	1	245383096	245780693	313	0.0386
09a7d8d3-0973-405b-96e0-01b579b331b4	1	245781137	245829400	20	-0.2171
09a7d8d3-0973-405b-96e0-01b579b331b4	1	245830185	247650984	610	0.0263
09a7d8d3-0973-405b-96e0-01b579b331b4	2	480597	9160936	5343	-0.3943
09a7d8d3-0973-405b-96e0-01b579b331b4	2	9161496	10856486	1184	-0.3309
09a7d8d3-0973-405b-96e0-01b579b331b4	2	10859770	23640687	8646	-0.3929
09a7d8d3-0973-405b-96e0-01b579b331b4	2	23640943	23642306	4	-1.4696
09a7d8d3-0973-405b-96e0-01b579b331b4	2	23646777	29601381	2945	-0.3496
09a7d8d3-0973-405b-96e0-01b579b331b4	2	29602841	68996444	22556	-0.3807
09a7d8d3-0973-405b-96e0-01b579b331b4	2	68996488	75990181	3947	-0.3515
09a7d8d3-0973-405b-96e0-01b579b331b4	2	75992121	84745786	4712	-0.4128
09a7d8d3-0973-405b-96e0-01b579b331b4	2	84749569	102399458	4900	-0.3602
09a7d8d3-0973-405b-96e0-01b579b331b4	2	102399682	102399706	2	-2.4994
09a7d8d3-0973-405b-96e0-01b579b331b4	2	102401592	146327700	22905	-0.3916
09a7d8d3-0973-405b-96e0-01b579b331b4	2	146327930	147503472	556	-1.0122
09a7d8d3-0973-405b-96e0-01b579b331b4	2	147504479	147505823	2	-2.8707
09a7d8d3-0973-405b-96e0-01b579b331b4	2	147505832	149003226	737	-1.0858
09a7d8d3-0973-405b-96e0-01b579b331b4	2	149004155	219402077	40235	-0.398
09a7d8d3-0973-405b-96e0-01b579b331b4	2	219402605	219403015	2	-1.8991
09a7d8d3-0973-405b-96e0-01b579b331b4	2	219410503	230393735	6992	-0.3949
09a7d8d3-0973-405b-96e0-01b579b331b4	2	230393900	241537572	6536	-0.3604
09a7d8d3-0973-405b-96e0-01b579b331b4	3	2170634	8416527	3524	0.016
09a7d8d3-0973-405b-96e0-01b579b331b4	3	8419246	17416447	5920	0.0401
09a7d8d3-0973-405b-96e0-01b579b331b4	3	17416886	24867179	3867	0.0037
09a7d8d3-0973-405b-96e0-01b579b331b4	3	24867512	25373446	483	-0.4324
09a7d8d3-0973-405b-96e0-01b579b331b4	3	25376036	36581058	6893	0.0073
09a7d8d3-0973-405b-96e0-01b579b331b4	3	36646112	59680883	12889	0.0399
09a7d8d3-0973-405b-96e0-01b579b331b4	3	59683470	70553514	7091	0.0154
09a7d8d3-0973-405b-96e0-01b579b331b4	3	70556206	70730937	116	-0.3915
09a7d8d3-0973-405b-96e0-01b579b331b4	3	70732923	73946361	2346	0.0398
09a7d8d3-0973-405b-96e0-01b579b331b4	3	73947310	80661304	3481	-0.0152
09a7d8d3-0973-405b-96e0-01b579b331b4	3	80662198	80781697	56	-0.3787
09a7d8d3-0973-405b-96e0-01b579b331b4	3	80787252	80839091	28	-0.0644
09a7d8d3-0973-405b-96e0-01b579b331b4	3	80845861	80855254	10	-0.5443
09a7d8d3-0973-405b-96e0-01b579b331b4	3	80864820	81512279	374	-0.0182
09a7d8d3-0973-405b-96e0-01b579b331b4	3	81512617	81515559	2	-1.1874
