GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	62920	1959113	327	0.1444
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	1972273	5320542	1953	-0.1153
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	5323260	5323271	2	-2.3087
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	5323383	15822793	6034	-0.0739
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	15822848	15841285	14	0.8126
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	15841304	16883108	357	-0.0575
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	16884157	16956580	54	0.441
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	16958425	25278567	5258	-0.0698
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	25284629	25320455	12	0.7496
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	25336819	30155400	2279	-0.0707
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	30157729	30596919	382	0.5666
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	30597307	31487004	515	0.7866
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	31493478	32638492	483	0.5347
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	32641243	32773113	58	0.9544
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	32783791	41807775	5213	0.5199
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	41807982	45942372	2296	0.2389
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	45942796	46366862	194	0.433
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	46368295	49112634	1785	0.234
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	49115855	50513522	626	-0.1177
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	50514369	60196199	6527	0.2406
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	60202030	60202264	3	-1.5047
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	60202505	65462364	3846	0.2359
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	65466221	72302735	4471	-0.6618
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	72302815	72345465	47	0.1046
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	72346221	94837858	14522	-0.666
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	94838103	95311232	324	0.2007
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	95311244	105470754	6005	-0.662
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	105476583	105481433	18	-1.9364
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	105481448	107120873	1087	-0.6938
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	107122811	107122827	2	-3.512
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	107124968	120146498	8539	-0.6927
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	120370887	121598439	99	0.7139
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	121601998	144442098	134	-0.4496
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	144442342	144503864	11	0.1974
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	144932423	152582700	2293	0.705
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	152583051	152613242	30	1.6749
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	152613641	152787202	171	0.6452
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	152789447	152796224	37	-1.31
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	152801429	178692342	17303	0.6121
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	178692461	178715863	55	0.9493
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	178716168	179197422	358	0.6268
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	179197544	179201013	7	1.4908
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	179201082	180471906	824	0.6116
c5dc8961-d6a6-495f-a6c3-51b5ca3ff874	1	180471947	180602499	89	1.0076
