GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fd6c7c33-de06-4766-9e4f-6f40b761008e	1	3301765	119981332	67995	-0.0201
fd6c7c33-de06-4766-9e4f-6f40b761008e	1	119984738	247650984	61500	0.0916
fd6c7c33-de06-4766-9e4f-6f40b761008e	2	480597	97678259	51349	-0.0109
fd6c7c33-de06-4766-9e4f-6f40b761008e	2	97681208	241537572	80609	0.0224
fd6c7c33-de06-4766-9e4f-6f40b761008e	3	2170634	61958903	34169	-0.0155
fd6c7c33-de06-4766-9e4f-6f40b761008e	3	61961670	61962007	3	-1.5816
fd6c7c33-de06-4766-9e4f-6f40b761008e	3	61962087	197812401	72794	-0.0166
fd6c7c33-de06-4766-9e4f-6f40b761008e	4	1059384	7401649	3530	-0.0153
fd6c7c33-de06-4766-9e4f-6f40b761008e	4	7402400	7411540	2	-1.3282
fd6c7c33-de06-4766-9e4f-6f40b761008e	4	7411735	8319982	579	-0.023
fd6c7c33-de06-4766-9e4f-6f40b761008e	4	8320267	8337617	30	0.5177
fd6c7c33-de06-4766-9e4f-6f40b761008e	4	8347820	187842528	99145	-0.0161
fd6c7c33-de06-4766-9e4f-6f40b761008e	5	913983	39847227	23213	0.0181
fd6c7c33-de06-4766-9e4f-6f40b761008e	5	39848011	39848536	2	-1.517
fd6c7c33-de06-4766-9e4f-6f40b761008e	5	39853617	132504515	47860	0.0234
fd6c7c33-de06-4766-9e4f-6f40b761008e	5	132509510	134059300	1035	-0.061
fd6c7c33-de06-4766-9e4f-6f40b761008e	5	134059560	138641567	2803	0.0195
fd6c7c33-de06-4766-9e4f-6f40b761008e	5	138642175	140559698	797	-0.0628
fd6c7c33-de06-4766-9e4f-6f40b761008e	5	140561643	149564905	5654	0.024
fd6c7c33-de06-4766-9e4f-6f40b761008e	5	149567263	150358938	562	-0.0693
fd6c7c33-de06-4766-9e4f-6f40b761008e	5	150362983	180934240	18972	0.0204
fd6c7c33-de06-4766-9e4f-6f40b761008e	6	1011760	170596889	96969	-0.0158
fd6c7c33-de06-4766-9e4f-6f40b761008e	7	664936	158592540	81789	0.0024
fd6c7c33-de06-4766-9e4f-6f40b761008e	8	667625	144182542	82074	-0.0179
fd6c7c33-de06-4766-9e4f-6f40b761008e	9	789794	138044505	68340	0.0204
fd6c7c33-de06-4766-9e4f-6f40b761008e	10	366509	133411599	81138	0.0189
fd6c7c33-de06-4766-9e4f-6f40b761008e	11	456012	134272740	77422	-0.0133
fd6c7c33-de06-4766-9e4f-6f40b761008e	12	780472	55661007	28799	0.0216
fd6c7c33-de06-4766-9e4f-6f40b761008e	12	55661069	55663241	7	-1.0492
fd6c7c33-de06-4766-9e4f-6f40b761008e	12	55669871	132605822	45404	0.0226
fd6c7c33-de06-4766-9e4f-6f40b761008e	13	18874255	114226675	56877	0.0173
fd6c7c33-de06-4766-9e4f-6f40b761008e	14	20033191	37557550	9675	0.0151
fd6c7c33-de06-4766-9e4f-6f40b761008e	14	37558382	37562603	3	-1.3645
fd6c7c33-de06-4766-9e4f-6f40b761008e	14	37563308	47870315	4633	0.0239
fd6c7c33-de06-4766-9e4f-6f40b761008e	14	47870422	47876668	2	1.6694
fd6c7c33-de06-4766-9e4f-6f40b761008e	14	47879393	105533894	35377	0.0203
fd6c7c33-de06-4766-9e4f-6f40b761008e	15	23437561	62624473	22105	-0.016
fd6c7c33-de06-4766-9e4f-6f40b761008e	15	62624537	62625815	2	-2.4345
fd6c7c33-de06-4766-9e4f-6f40b761008e	15	62626236	101344124	22592	-0.0163
fd6c7c33-de06-4766-9e4f-6f40b761008e	16	603333	46616073	14055	0.056
fd6c7c33-de06-4766-9e4f-6f40b761008e	16	46616978	64291472	11446	-0.0569
fd6c7c33-de06-4766-9e4f-6f40b761008e	16	64291585	64293163	3	-1.7168
fd6c7c33-de06-4766-9e4f-6f40b761008e	16	64297219	89317317	15653	-0.0504
fd6c7c33-de06-4766-9e4f-6f40b761008e	17	1074619	82959812	37224	-0.0539
fd6c7c33-de06-4766-9e4f-6f40b761008e	18	326691	47571494	24199	-0.0526
fd6c7c33-de06-4766-9e4f-6f40b761008e	18	47574766	47576373	2	1.3161
fd6c7c33-de06-4766-9e4f-6f40b761008e	18	47576948	57521686	6703	-0.0468
fd6c7c33-de06-4766-9e4f-6f40b761008e	18	57522064	79349796	11977	-0.0929
fd6c7c33-de06-4766-9e4f-6f40b761008e	19	283868	58370362	24119	0.0185
fd6c7c33-de06-4766-9e4f-6f40b761008e	20	472817	63588502	37489	0.0178
fd6c7c33-de06-4766-9e4f-6f40b761008e	21	13974127	46262057	20560	0.0207
fd6c7c33-de06-4766-9e4f-6f40b761008e	22	16934932	48940621	17070	-0.019
fd6c7c33-de06-4766-9e4f-6f40b761008e	X	3236359	155677414	63880	0.0026
