GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3d12d22b-4400-4141-9ee8-111bd81681ab	1	3301765	5137947	1295	0.1917
3d12d22b-4400-4141-9ee8-111bd81681ab	1	5138729	5140449	2	-2.9552
3d12d22b-4400-4141-9ee8-111bd81681ab	1	5140672	23423100	10041	0.2074
3d12d22b-4400-4141-9ee8-111bd81681ab	1	23427739	31487004	3837	-0.4594
3d12d22b-4400-4141-9ee8-111bd81681ab	1	31493478	37202106	3051	0.1792
3d12d22b-4400-4141-9ee8-111bd81681ab	1	37214275	51831387	7607	0.6648
3d12d22b-4400-4141-9ee8-111bd81681ab	1	51836907	52556289	323	1.3798
3d12d22b-4400-4141-9ee8-111bd81681ab	1	52567046	59104384	4817	0.6492
3d12d22b-4400-4141-9ee8-111bd81681ab	1	59108029	61062438	1266	0.1496
3d12d22b-4400-4141-9ee8-111bd81681ab	1	61066272	61332627	179	-0.5831
3d12d22b-4400-4141-9ee8-111bd81681ab	1	61332952	169167595	47701	0.1872
3d12d22b-4400-4141-9ee8-111bd81681ab	1	169167781	170574564	1012	0.6938
3d12d22b-4400-4141-9ee8-111bd81681ab	1	170576879	178451085	4513	0.1776
3d12d22b-4400-4141-9ee8-111bd81681ab	1	178455997	178458117	2	-1.6917
3d12d22b-4400-4141-9ee8-111bd81681ab	1	178463010	189289682	7053	0.1957
3d12d22b-4400-4141-9ee8-111bd81681ab	1	189577840	189638168	44	-0.8364
3d12d22b-4400-4141-9ee8-111bd81681ab	1	189644983	192710567	1825	0.2211
3d12d22b-4400-4141-9ee8-111bd81681ab	1	192728282	192804950	56	1.1771
3d12d22b-4400-4141-9ee8-111bd81681ab	1	192806068	193402297	453	0.1889
3d12d22b-4400-4141-9ee8-111bd81681ab	1	193402980	194194919	585	1.1012
3d12d22b-4400-4141-9ee8-111bd81681ab	1	194196381	199386771	2791	0.2186
3d12d22b-4400-4141-9ee8-111bd81681ab	1	199386975	199494377	87	1.0243
3d12d22b-4400-4141-9ee8-111bd81681ab	1	199502267	199720768	122	0.2097
3d12d22b-4400-4141-9ee8-111bd81681ab	1	199721706	200328165	415	1.097
3d12d22b-4400-4141-9ee8-111bd81681ab	1	200330909	201252786	579	0.2136
3d12d22b-4400-4141-9ee8-111bd81681ab	1	201253206	201329224	77	0.927
3d12d22b-4400-4141-9ee8-111bd81681ab	1	201331714	202590828	753	-0.5613
3d12d22b-4400-4141-9ee8-111bd81681ab	1	202595093	202646979	32	0.4748
3d12d22b-4400-4141-9ee8-111bd81681ab	1	202649545	204153598	942	-0.5246
3d12d22b-4400-4141-9ee8-111bd81681ab	1	204153984	204554743	352	0.6841
3d12d22b-4400-4141-9ee8-111bd81681ab	1	204560590	205367444	604	-0.5849
3d12d22b-4400-4141-9ee8-111bd81681ab	1	205367747	205377688	12	0.8
3d12d22b-4400-4141-9ee8-111bd81681ab	1	205379003	206366301	401	-0.5273
3d12d22b-4400-4141-9ee8-111bd81681ab	1	206370728	206985344	423	0.1885
3d12d22b-4400-4141-9ee8-111bd81681ab	1	206985502	207043350	46	-0.6679
3d12d22b-4400-4141-9ee8-111bd81681ab	1	207049016	207241636	105	0.7199
3d12d22b-4400-4141-9ee8-111bd81681ab	1	207246572	207262016	13	-0.3344
3d12d22b-4400-4141-9ee8-111bd81681ab	1	207264458	207360609	72	0.7454
3d12d22b-4400-4141-9ee8-111bd81681ab	1	207362830	214523665	5032	-0.6036
3d12d22b-4400-4141-9ee8-111bd81681ab	1	214527328	214560888	26	0.7669
3d12d22b-4400-4141-9ee8-111bd81681ab	1	214562845	215660217	679	-0.5785
3d12d22b-4400-4141-9ee8-111bd81681ab	1	215665748	216072132	294	0.2051
3d12d22b-4400-4141-9ee8-111bd81681ab	1	216072702	216082915	8	-0.6499
3d12d22b-4400-4141-9ee8-111bd81681ab	1	216083527	216206038	73	0.7796
3d12d22b-4400-4141-9ee8-111bd81681ab	1	216211989	217457565	982	-0.5848
3d12d22b-4400-4141-9ee8-111bd81681ab	1	217464477	217487119	10	0.7638
3d12d22b-4400-4141-9ee8-111bd81681ab	1	217489301	218250518	473	-0.5777
3d12d22b-4400-4141-9ee8-111bd81681ab	1	218255568	218339869	58	0.2636
3d12d22b-4400-4141-9ee8-111bd81681ab	1	218348939	218628157	190	-0.6414
3d12d22b-4400-4141-9ee8-111bd81681ab	1	218632191	218647817	12	0.1897
3d12d22b-4400-4141-9ee8-111bd81681ab	1	218658915	219301872	424	-0.5789
3d12d22b-4400-4141-9ee8-111bd81681ab	1	219302901	219512124	174	0.2187
3d12d22b-4400-4141-9ee8-111bd81681ab	1	219512972	223654175	2572	-0.5941
3d12d22b-4400-4141-9ee8-111bd81681ab	1	223658862	223976024	176	0.6837
3d12d22b-4400-4141-9ee8-111bd81681ab	1	223979655	225016789	678	-0.5547
3d12d22b-4400-4141-9ee8-111bd81681ab	1	225017267	225020545	3	-2.4983
3d12d22b-4400-4141-9ee8-111bd81681ab	1	225020713	225195330	89	-0.5595
3d12d22b-4400-4141-9ee8-111bd81681ab	1	225201788	225545751	157	0.6056
3d12d22b-4400-4141-9ee8-111bd81681ab	1	225550318	226092285	242	-0.5149
3d12d22b-4400-4141-9ee8-111bd81681ab	1	226095465	226104022	6	0.7491
3d12d22b-4400-4141-9ee8-111bd81681ab	1	226104353	227420383	821	-0.5494
3d12d22b-4400-4141-9ee8-111bd81681ab	1	227422190	228222778	400	0.1555
3d12d22b-4400-4141-9ee8-111bd81681ab	1	228223554	231406910	2029	-0.5767
3d12d22b-4400-4141-9ee8-111bd81681ab	1	231414693	231697972	105	0.7047
3d12d22b-4400-4141-9ee8-111bd81681ab	1	231757426	233412585	1288	-0.5861
3d12d22b-4400-4141-9ee8-111bd81681ab	1	233415786	233500306	72	0.1754
3d12d22b-4400-4141-9ee8-111bd81681ab	1	233500403	234114558	502	-0.6309
3d12d22b-4400-4141-9ee8-111bd81681ab	1	234115115	234235777	123	0.6812
3d12d22b-4400-4141-9ee8-111bd81681ab	1	234235869	234477368	182	-0.5588
3d12d22b-4400-4141-9ee8-111bd81681ab	1	234480445	234539056	50	0.6777
3d12d22b-4400-4141-9ee8-111bd81681ab	1	234541805	235923174	724	-0.5222
3d12d22b-4400-4141-9ee8-111bd81681ab	1	235928641	235946982	17	0.5724
3d12d22b-4400-4141-9ee8-111bd81681ab	1	235947330	236319078	228	-0.5643
3d12d22b-4400-4141-9ee8-111bd81681ab	1	236321329	236363775	33	0.1743
3d12d22b-4400-4141-9ee8-111bd81681ab	1	236365773	236812843	386	-0.5296
3d12d22b-4400-4141-9ee8-111bd81681ab	1	236815934	236985413	157	0.642
3d12d22b-4400-4141-9ee8-111bd81681ab	1	236988881	237712988	603	-0.592
3d12d22b-4400-4141-9ee8-111bd81681ab	1	237714004	237791261	45	0.7266
3d12d22b-4400-4141-9ee8-111bd81681ab	1	237793291	247650984	6015	-0.5857
3d12d22b-4400-4141-9ee8-111bd81681ab	2	480597	518631	21	0.7385
3d12d22b-4400-4141-9ee8-111bd81681ab	2	519374	6779294	3748	0.1247
3d12d22b-4400-4141-9ee8-111bd81681ab	2	6781659	19587956	8762	0.6311
3d12d22b-4400-4141-9ee8-111bd81681ab	2	19588450	23672977	2666	0.1153
3d12d22b-4400-4141-9ee8-111bd81681ab	2	23675447	42898614	10251	0.1751
3d12d22b-4400-4141-9ee8-111bd81681ab	2	42900539	59030915	9257	-0.5992
3d12d22b-4400-4141-9ee8-111bd81681ab	2	59033172	107823682	22881	0.1889
3d12d22b-4400-4141-9ee8-111bd81681ab	2	107903920	107909583	2	2.3879
3d12d22b-4400-4141-9ee8-111bd81681ab	2	107910884	108446538	399	0.1536
3d12d22b-4400-4141-9ee8-111bd81681ab	2	108446838	136506069	13527	-0.5938
3d12d22b-4400-4141-9ee8-111bd81681ab	2	136508211	150695638	7886	0.1892
3d12d22b-4400-4141-9ee8-111bd81681ab	2	150704936	152301800	1119	1.0782
3d12d22b-4400-4141-9ee8-111bd81681ab	2	152303544	155026265	1612	0.2117
3d12d22b-4400-4141-9ee8-111bd81681ab	2	155081360	155487561	193	0.6817
3d12d22b-4400-4141-9ee8-111bd81681ab	2	155488392	197891107	23415	0.1982
3d12d22b-4400-4141-9ee8-111bd81681ab	2	197893977	197896617	2	-2.3443
3d12d22b-4400-4141-9ee8-111bd81681ab	2	197897818	205039099	4018	0.1894
3d12d22b-4400-4141-9ee8-111bd81681ab	2	205039410	211595239	3995	-0.6118
3d12d22b-4400-4141-9ee8-111bd81681ab	2	211596566	211621625	22	-2.144
3d12d22b-4400-4141-9ee8-111bd81681ab	2	211623497	226184705	9178	-0.6021
3d12d22b-4400-4141-9ee8-111bd81681ab	2	226184791	226188068	3	-3.4358
3d12d22b-4400-4141-9ee8-111bd81681ab	2	226197651	241518661	8967	-0.5834
3d12d22b-4400-4141-9ee8-111bd81681ab	2	241523854	241537572	10	-0.1518
3d12d22b-4400-4141-9ee8-111bd81681ab	3	2170634	8587529	3678	0.1854
3d12d22b-4400-4141-9ee8-111bd81681ab	3	8587937	9293976	550	0.6645
3d12d22b-4400-4141-9ee8-111bd81681ab	3	9294819	9308483	14	1.2631
3d12d22b-4400-4141-9ee8-111bd81681ab	3	9308603	9870098	244	0.7095
3d12d22b-4400-4141-9ee8-111bd81681ab	3	9871026	11103164	809	0.1429
3d12d22b-4400-4141-9ee8-111bd81681ab	3	11110819	11148704	22	-0.5836
3d12d22b-4400-4141-9ee8-111bd81681ab	3	11150906	27771175	9737	0.1703
3d12d22b-4400-4141-9ee8-111bd81681ab	3	27772179	35983728	5191	0.7034
3d12d22b-4400-4141-9ee8-111bd81681ab	3	35983747	44233834	4965	0.6549
3d12d22b-4400-4141-9ee8-111bd81681ab	3	44243092	44709875	191	0.7424
3d12d22b-4400-4141-9ee8-111bd81681ab	3	44713422	44826889	45	-0.4039
3d12d22b-4400-4141-9ee8-111bd81681ab	3	44836708	49157490	2151	0.6832
3d12d22b-4400-4141-9ee8-111bd81681ab	3	49160784	64552512	8723	0.1704
3d12d22b-4400-4141-9ee8-111bd81681ab	3	64554099	64554216	2	-2.0666
3d12d22b-4400-4141-9ee8-111bd81681ab	3	64555613	78941366	9338	0.1807
3d12d22b-4400-4141-9ee8-111bd81681ab	3	78941385	80352681	744	0.7143
3d12d22b-4400-4141-9ee8-111bd81681ab	3	80353273	80356676	6	-1.0283
3d12d22b-4400-4141-9ee8-111bd81681ab	3	80360336	82093924	963	0.722
3d12d22b-4400-4141-9ee8-111bd81681ab	3	82096036	82578816	263	0.2074
3d12d22b-4400-4141-9ee8-111bd81681ab	3	82589187	82607882	16	-0.6497
3d12d22b-4400-4141-9ee8-111bd81681ab	3	82610601	103629201	8603	0.2004
3d12d22b-4400-4141-9ee8-111bd81681ab	3	103629285	110723222	4012	0.705
3d12d22b-4400-4141-9ee8-111bd81681ab	3	110724168	110764230	30	0.2134
3d12d22b-4400-4141-9ee8-111bd81681ab	3	110771036	122858241	7147	0.6865
3d12d22b-4400-4141-9ee8-111bd81681ab	3	122859439	141426631	10836	0.6539
3d12d22b-4400-4141-9ee8-111bd81681ab	3	141427872	149356758	3739	0.7186
3d12d22b-4400-4141-9ee8-111bd81681ab	3	149357572	149389788	24	1.2653
3d12d22b-4400-4141-9ee8-111bd81681ab	3	149395023	155579701	3526	0.7023
3d12d22b-4400-4141-9ee8-111bd81681ab	3	155581147	157010919	747	1.0658
3d12d22b-4400-4141-9ee8-111bd81681ab	3	157011151	169885930	6402	0.7048
3d12d22b-4400-4141-9ee8-111bd81681ab	3	169886532	177899059	3989	0.207
3d12d22b-4400-4141-9ee8-111bd81681ab	3	177902570	179214262	728	0.7132
3d12d22b-4400-4141-9ee8-111bd81681ab	3	179214288	179255237	78	0.4583
3d12d22b-4400-4141-9ee8-111bd81681ab	3	179262147	179569166	157	0.6882
3d12d22b-4400-4141-9ee8-111bd81681ab	3	179569218	192043526	7202	0.1991
3d12d22b-4400-4141-9ee8-111bd81681ab	3	192044418	197812401	2328	-0.0994
3d12d22b-4400-4141-9ee8-111bd81681ab	4	1059384	6311705	2796	0.1751
3d12d22b-4400-4141-9ee8-111bd81681ab	4	6321204	6334400	10	-0.6302
3d12d22b-4400-4141-9ee8-111bd81681ab	4	6340632	7071594	477	0.2074
3d12d22b-4400-4141-9ee8-111bd81681ab	4	7077256	44592225	23213	-0.6008
3d12d22b-4400-4141-9ee8-111bd81681ab	4	44594774	53637833	2824	0.1805
3d12d22b-4400-4141-9ee8-111bd81681ab	4	53638589	57470578	2613	0.6663
3d12d22b-4400-4141-9ee8-111bd81681ab	4	57471738	66942276	5221	0.7252
3d12d22b-4400-4141-9ee8-111bd81681ab	4	66942460	74075975	3339	0.6704
3d12d22b-4400-4141-9ee8-111bd81681ab	4	74076919	74078917	3	-0.9056
3d12d22b-4400-4141-9ee8-111bd81681ab	4	74080155	80703061	4043	0.6746
3d12d22b-4400-4141-9ee8-111bd81681ab	4	80703647	82445999	1072	0.1734
3d12d22b-4400-4141-9ee8-111bd81681ab	4	82450740	85309805	1689	0.694
3d12d22b-4400-4141-9ee8-111bd81681ab	4	85311185	85373023	58	0.2253
3d12d22b-4400-4141-9ee8-111bd81681ab	4	85377936	122392500	20835	-0.5972
3d12d22b-4400-4141-9ee8-111bd81681ab	4	122404667	122408984	5	-2.6287
3d12d22b-4400-4141-9ee8-111bd81681ab	4	122412022	138963167	8483	-0.5918
3d12d22b-4400-4141-9ee8-111bd81681ab	4	138964879	138966801	2	-4.5169
3d12d22b-4400-4141-9ee8-111bd81681ab	4	138968149	178359216	22098	-0.5997
3d12d22b-4400-4141-9ee8-111bd81681ab	4	178780890	178983829	95	-2.2954
3d12d22b-4400-4141-9ee8-111bd81681ab	4	178986135	187842528	4285	-0.5973
3d12d22b-4400-4141-9ee8-111bd81681ab	5	913983	4012189	1953	0.7305
3d12d22b-4400-4141-9ee8-111bd81681ab	5	4012580	4012586	2	-0.9591
3d12d22b-4400-4141-9ee8-111bd81681ab	5	4013527	8474433	3508	0.7441
3d12d22b-4400-4141-9ee8-111bd81681ab	5	8474788	9680678	945	0.299
3d12d22b-4400-4141-9ee8-111bd81681ab	5	9683283	15086286	3435	0.3362
3d12d22b-4400-4141-9ee8-111bd81681ab	5	15086435	15353899	148	0.6613
3d12d22b-4400-4141-9ee8-111bd81681ab	5	15361869	32653929	9156	0.3546
