GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e134fc8d-f999-402a-9414-864b0a1e660d	1	3301765	6548126	2121	0.0231
e134fc8d-f999-402a-9414-864b0a1e660d	1	6551233	6987540	245	0.1857
e134fc8d-f999-402a-9414-864b0a1e660d	1	6990595	52502019	23692	0.0181
e134fc8d-f999-402a-9414-864b0a1e660d	1	52506967	52928334	222	0.2047
e134fc8d-f999-402a-9414-864b0a1e660d	1	52932888	146716041	41519	0.0058
e134fc8d-f999-402a-9414-864b0a1e660d	1	149906351	169707701	12258	0.2755
e134fc8d-f999-402a-9414-864b0a1e660d	1	169707859	169717181	6	-0.5037
e134fc8d-f999-402a-9414-864b0a1e660d	1	169718762	198985683	17590	0.2743
e134fc8d-f999-402a-9414-864b0a1e660d	1	198987189	198987456	3	-0.9645
e134fc8d-f999-402a-9414-864b0a1e660d	1	198987756	241183587	27973	0.2801
e134fc8d-f999-402a-9414-864b0a1e660d	1	241186465	242239376	738	0.4986
e134fc8d-f999-402a-9414-864b0a1e660d	1	242239700	247650984	2660	0.2917
e134fc8d-f999-402a-9414-864b0a1e660d	2	480597	7010963	3940	0.0025
e134fc8d-f999-402a-9414-864b0a1e660d	2	7011413	7122700	118	0.2569
e134fc8d-f999-402a-9414-864b0a1e660d	2	7122825	216540480	112284	0.0031
e134fc8d-f999-402a-9414-864b0a1e660d	2	216543380	216543516	3	-1.643
e134fc8d-f999-402a-9414-864b0a1e660d	2	216543672	241537572	15173	0.0046
e134fc8d-f999-402a-9414-864b0a1e660d	3	2170634	197812401	106551	0.0068
e134fc8d-f999-402a-9414-864b0a1e660d	4	1059384	126459182	70320	0.0081
e134fc8d-f999-402a-9414-864b0a1e660d	4	126462231	126467900	2	-1.6209
e134fc8d-f999-402a-9414-864b0a1e660d	4	126468395	187842528	32573	0.0061
e134fc8d-f999-402a-9414-864b0a1e660d	5	913983	91314220	48478	0.003
e134fc8d-f999-402a-9414-864b0a1e660d	5	91328710	91556198	111	0.3102
e134fc8d-f999-402a-9414-864b0a1e660d	5	91556751	180934240	51952	0.006
e134fc8d-f999-402a-9414-864b0a1e660d	6	1011760	57341432	33964	0.01
e134fc8d-f999-402a-9414-864b0a1e660d	6	57341496	170596889	62671	-0.3401
e134fc8d-f999-402a-9414-864b0a1e660d	7	664936	157929111	81284	0.0056
e134fc8d-f999-402a-9414-864b0a1e660d	7	157931756	157931787	2	-1.3478
e134fc8d-f999-402a-9414-864b0a1e660d	7	157934600	158592540	230	-0.0123
e134fc8d-f999-402a-9414-864b0a1e660d	8	667625	36380565	21300	-0.34
e134fc8d-f999-402a-9414-864b0a1e660d	8	36381847	144182542	60495	0.3015
e134fc8d-f999-402a-9414-864b0a1e660d	9	789794	122084319	59699	0.0063
e134fc8d-f999-402a-9414-864b0a1e660d	9	122084651	137656011	8236	0.026
e134fc8d-f999-402a-9414-864b0a1e660d	9	137656529	137857410	113	0.2746
e134fc8d-f999-402a-9414-864b0a1e660d	9	137909533	137957960	18	0.0411
