GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1dafc3c4-349e-4af4-871c-566f44080b09	1	3301765	37834568	18533	-0.2645
1dafc3c4-349e-4af4-871c-566f44080b09	1	37837043	39990071	1144	0.8391
1dafc3c4-349e-4af4-871c-566f44080b09	1	39993064	42462922	1439	0.6273
1dafc3c4-349e-4af4-871c-566f44080b09	1	42463059	48608852	3296	0.1041
1dafc3c4-349e-4af4-871c-566f44080b09	1	48609323	49019608	327	-0.0465
1dafc3c4-349e-4af4-871c-566f44080b09	1	49024387	51383725	929	0.0682
1dafc3c4-349e-4af4-871c-566f44080b09	1	51384864	56711893	3318	0.0112
1dafc3c4-349e-4af4-871c-566f44080b09	1	56712116	85514249	18498	0.0568
1dafc3c4-349e-4af4-871c-566f44080b09	1	85540326	85542715	4	-0.9421
1dafc3c4-349e-4af4-871c-566f44080b09	1	85542853	91809260	3995	0.0514
1dafc3c4-349e-4af4-871c-566f44080b09	1	91812085	92129343	184	-0.3628
1dafc3c4-349e-4af4-871c-566f44080b09	1	92129872	98022720	3479	0.0619
1dafc3c4-349e-4af4-871c-566f44080b09	1	98028060	98610861	299	-0.4148
1dafc3c4-349e-4af4-871c-566f44080b09	1	98611724	103068609	2789	0.0615
1dafc3c4-349e-4af4-871c-566f44080b09	1	103074261	107703042	2425	-0.324
1dafc3c4-349e-4af4-871c-566f44080b09	1	107704231	108747589	476	0.1205
1dafc3c4-349e-4af4-871c-566f44080b09	1	108748074	110465843	903	-0.3054
1dafc3c4-349e-4af4-871c-566f44080b09	1	110468753	110480968	20	0.1734
1dafc3c4-349e-4af4-871c-566f44080b09	1	110484902	110492196	7	-0.4984
1dafc3c4-349e-4af4-871c-566f44080b09	1	110494095	110914865	299	0.1173
1dafc3c4-349e-4af4-871c-566f44080b09	1	110920431	111371809	330	-0.3243
1dafc3c4-349e-4af4-871c-566f44080b09	1	111378003	119984772	5435	0.1267
1dafc3c4-349e-4af4-871c-566f44080b09	1	146716041	150883915	346	0.523
1dafc3c4-349e-4af4-871c-566f44080b09	1	150886666	154019235	1582	0.3716
1dafc3c4-349e-4af4-871c-566f44080b09	1	154019265	154224650	93	0.6537
1dafc3c4-349e-4af4-871c-566f44080b09	1	154224756	156429151	1024	0.9628
1dafc3c4-349e-4af4-871c-566f44080b09	1	156441358	157088632	342	0.4759
1dafc3c4-349e-4af4-871c-566f44080b09	1	157090101	157095365	3	-0.5422
1dafc3c4-349e-4af4-871c-566f44080b09	1	157096337	158650857	1065	0.3952
1dafc3c4-349e-4af4-871c-566f44080b09	1	158651233	158795142	130	0.6346
1dafc3c4-349e-4af4-871c-566f44080b09	1	158799016	158866716	24	0.3572
1dafc3c4-349e-4af4-871c-566f44080b09	1	158871470	158986622	63	0.618
1dafc3c4-349e-4af4-871c-566f44080b09	1	158997602	160833928	1208	0.6841
1dafc3c4-349e-4af4-871c-566f44080b09	1	160833945	161476341	305	0.587
1dafc3c4-349e-4af4-871c-566f44080b09	1	161686708	161711762	27	1.2403
1dafc3c4-349e-4af4-871c-566f44080b09	1	161712651	165314403	2808	0.6487
