GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
31afcf05-454e-40db-99db-c2ad7828d87f	1	3301765	7896513	2986	-0.0118
31afcf05-454e-40db-99db-c2ad7828d87f	1	7900086	7901146	2	-1.9752
31afcf05-454e-40db-99db-c2ad7828d87f	1	7901234	52518511	23172	-0.0202
31afcf05-454e-40db-99db-c2ad7828d87f	1	52518996	118535859	41105	-0.008
31afcf05-454e-40db-99db-c2ad7828d87f	1	118536943	146716041	872	-0.0268
31afcf05-454e-40db-99db-c2ad7828d87f	1	149906351	171441908	13525	0.3792
31afcf05-454e-40db-99db-c2ad7828d87f	1	171444072	171444111	2	-0.8898
31afcf05-454e-40db-99db-c2ad7828d87f	1	171448291	181185907	5774	0.3847
31afcf05-454e-40db-99db-c2ad7828d87f	1	181188723	182193542	755	0.0015
31afcf05-454e-40db-99db-c2ad7828d87f	1	182194002	191856724	5893	0.3911
31afcf05-454e-40db-99db-c2ad7828d87f	1	191902086	193680658	1190	-0.0108
31afcf05-454e-40db-99db-c2ad7828d87f	1	193684184	193749054	66	0.4114
31afcf05-454e-40db-99db-c2ad7828d87f	1	193749484	194200660	324	0.0113
31afcf05-454e-40db-99db-c2ad7828d87f	1	194202805	198393477	2166	0.3913
31afcf05-454e-40db-99db-c2ad7828d87f	1	198394393	200069798	1009	-0.0282
31afcf05-454e-40db-99db-c2ad7828d87f	1	200073449	205522489	3691	0.3733
31afcf05-454e-40db-99db-c2ad7828d87f	1	205524614	205953423	264	-0.0234
31afcf05-454e-40db-99db-c2ad7828d87f	1	206011429	206019282	3	-1.0316
31afcf05-454e-40db-99db-c2ad7828d87f	1	206028050	247650984	26979	-0.0107
31afcf05-454e-40db-99db-c2ad7828d87f	2	480597	65980985	38703	-0.0069
31afcf05-454e-40db-99db-c2ad7828d87f	2	65981272	65981666	3	-0.9845
31afcf05-454e-40db-99db-c2ad7828d87f	2	65982165	102298194	15473	-0.0075
31afcf05-454e-40db-99db-c2ad7828d87f	2	102299202	102300881	2	-1.0955
31afcf05-454e-40db-99db-c2ad7828d87f	2	102303125	197601815	51590	-0.0053
31afcf05-454e-40db-99db-c2ad7828d87f	2	197603396	197606447	3	0.9059
31afcf05-454e-40db-99db-c2ad7828d87f	2	197607955	241537572	26438	-0.006
