"","uniprot_gn_id","external_gene_name","cluster","betweenness","degree_centrality","file_id","ID","pocket","druggability","num_drug_pockets","struct_score"
"1","A0A0B4J1V0","IGHV3-15","3",0,2,"AF-A0A0B4J1V0-F1-model_v4","A0A0B4J1V0-F1",0.406,0.656,1,91.1667511013216
"2","A0A0C4DH29","IGHV1-3","3",0,2,"AF-A0A0C4DH29-F1-model_v4","A0A0C4DH29-F1",0.225,0.792,1,91.3548633879781
"3","A0A1B0GX56","TRDV1","3",741,3,"AF-A0A1B0GX56-F1-model_v4","A0A1B0GX56-F1",0.157,0.211,0,91.2033114035088
"4","A0A2R8Y7D0","TINCR","3",1871,3,"AF-A0A2R8Y7D0-F1-model_v4","A0A2R8Y7D0-F1",0.322,0.379,0,77.317117948718
"5","A0A3B3IU46","RAMACL","29",0,1,"AF-A0A3B3IU46-F1-model_v4","A0A3B3IU46-F1",0.238,0.201,0,61.9185994123408
"6","A0AVK6","E2F8","3",0,1,"AF-A0AVK6-F1-model_v4","A0AVK6-F1",0.14,0.562,1,53.6931614756577
"7","A1L190","SYCE3","3",0,2,"AF-A1L190-F1-model_v4","A1L190-F1",0.353,0.661,2,92.3110204081633
"8","A4QMS7","CFAP90","3",0,1,"AF-A4QMS7-F1-model_v4","A4QMS7-F1",0.256,0.204,0,75.3620233139051
"9","A5A3E0","POTEF","3",1249,7,"AF-A5A3E0-F1-model_v4","A5A3E0-F1",0.139,0.866,2,70.63273155786
"10","A6NHL2","TUBAL3","3",0,2,"AF-A6NHL2-F1-model_v4","A6NHL2-F1",0.166,0.622,1,91.2046776953793
"11","A6NHX0","CASTOR2","20",0,1,"AF-A6NHX0-F1-model_v4","A6NHX0-F1",0.332,0.396,0,89.1860590551181
"12","A6NMX2","EIF4E1B","29",1,2,"AF-A6NMX2-F1-model_v4","A6NMX2-F1",0.243,0.177,0,83.6494809866393
"13","A6NND4","OR2AT4","3",0,1,"AF-A6NND4-F1-model_v4","A6NND4-F1",0.149,0.815,2,89.671254509018
"14","A7MBM2","DISP2","3",0,1,"AF-A7MBM2-F1-model_v4","A7MBM2-F1",0.091,0.806,2,68.3160631834751
"15","A8MPY1","GABRR3","36",1,7,"AF-A8MPY1-F1-model_v4","A8MPY1-F1",0.384,0.577,1,76.5729151388161
"16","A8MTJ3","GNAT3","3",4318,5,"AF-A8MTJ3-F1-model_v4","A8MTJ3-F1",0.285,0.784,2,93.7761568350406
"17","A9QM74","KPNA7","3",0,1,"AF-A9QM74-F1-model_v4","A9QM74-F1",0.185,0.397,0,85.3285657071339
"18","B2RU33","POTEC","3",625,2,"AF-B2RU33-F1-model_v4","B2RU33-F1",0.209,0.44,1,66.6299789078978
"19","B2RUY7","VWC2L","3",693,6,"AF-B2RUY7-F1-model_v4","B2RUY7-F1",0.424,0.219,0,78.3657796014068
"20","B4DS77","SHISA9","3",0,2,"AF-B4DS77-F1-model_v4","B4DS77-F1",0.277,0.654,1,56.9548785670917
"21","C9JDP6","CLDN25","3",0,3,"AF-C9JDP6-F1-model_v4","C9JDP6-F1",0.189,0.275,0,82.8411247901511
"22","K7EJ46","SMIM22","67",0,1,"AF-K7EJ46-F1-model_v4","K7EJ46-F1",0.255,0.386,0,75.8180834621329
"23","O00180","KCNK1","49",0,3,"AF-O00180-F1-model_v4","O00180-F1",0.38,0.943,2,83.7794213649852
"24","O00194","RAB27B","63",0,1,"AF-O00194-F1-model_v4","O00194-F1",0.07,0.777,1,86.799005205321
"25","O00222","GRM8","40",0,1,"AF-O00222-F1-model_v4","O00222-F1",0.162,0.921,2,84.3809931458945
"26","O00238","BMPR1B","3",1248,2,"AF-O00238-F1-model_v4","O00238-F1",0.206,0.225,0,85.1282622868606
"27","O00254","F2RL2","3",0,3,"AF-O00254-F1-model_v4","O00254-F1",0.106,0.998,4,76.8267676431425
"28","O00257","CBX4","3",1,11,"AF-O00257-F1-model_v4","O00257-F1",0.083,0.562,1,54.7085965317919
"29","O00322","UPK1A","71",0,2,"AF-O00322-F1-model_v4","O00322-F1",0.359,0.584,1,86.8512987654321
"30","O00444","PLK4","3",1794,4,"AF-O00444-F1-model_v4","O00444-F1",0.133,0.199,0,66.9229360313316
"31","O00445","SYT5","3",0,1,"AF-O00445-F1-model_v4","O00445-F1",0.113,0.038,0,84.4734060846561
"32","O00762","UBE2C","3",628,3,"AF-O00762-F1-model_v4","O00762-F1",0.355,0.286,0,89.6987066473989
"33","O14522","PTPRT","3",0,1,"AF-O14522-F1-model_v4","O14522-F1",0.31,0.885,3,83.7919467554077
"34","O14578","CIT","3",0,1,"AF-O14578-F1-model_v4","O14578-F1",0.129,0.882,1,70.152782431933
"35","O14625","CXCL11","3",2700,4,"AF-O14625-F1-model_v4","O14625-F1",0.353,0.178,0,77.9241944444444
"36","O14745","NHERF1","3",5211,2,"AF-O14745-F1-model_v4","O14745-F1",0.202,0.212,0,72.4747214076246
"37","O14746","TERT","3",2446,6,"AF-O14746-F1-model_v4","O14746-F1",0.201,0.276,0,80.6513165829146
"38","O14756","HSD17B6","44",0,1,"AF-O14756-F1-model_v4","O14756-F1",0.374,0.79,1,95.5339114974318
"39","O14757","CHEK1","3",0,3,"AF-O14757-F1-model_v4","O14757-F1",0.067,0.732,1,78.1344110733873
"40","O14764","GABRD","36",11,6,"AF-O14764-F1-model_v4","O14764-F1",0.442,0.676,3,80.2010523369717
"41","O14777","NDC80","3",570,2,"AF-O14777-F1-model_v4","O14777-F1",0.161,0.532,2,78.6095798805165
"42","O14965","AURKA","3",2136,6,"AF-O14965-F1-model_v4","O14965-F1",0.139,0.431,1,75.9057868649318
"43","O14977","AZIN1","3",0,1,"AF-O14977-F1-model_v4","O14977-F1",0.237,0.441,1,88.2212934751365
"44","O15020","SPTBN2","3",1439,3,"AF-O15020-F1-model_v4","O15020-F1",0.242,0.736,3,76.775214383059
"45","O15360","FANCA","3",0,1,"AF-O15360-F1-model_v4","O15360-F1",0.135,0.707,1,74.565869508254
"46","O15496","PLA2G10","59",0,1,"AF-O15496-F1-model_v4","O15496-F1",0.095,0.895,1,87.8306582077716
"47","O43379","WDR62","3",0,1,"AF-O43379-F1-model_v4","O43379-F1",0.088,0.77,2,61.3650231402125
"48","O43482","OIP5","3",625,8,"AF-O43482-F1-model_v4","O43482-F1",0.193,0.324,0,76.3264083285136
"49","O43526","KCNQ2","3",743,3,"AF-O43526-F1-model_v4","O43526-F1",0.229,0.839,2,59.5820020746888
"50","O43543","XRCC2","3",0,5,"AF-O43543-F1-model_v4","O43543-F1",0.516,0.659,1,87.09828125
"51","O43570","CA12","16",0,2,"AF-O43570-F1-model_v4","O43570-F1",0.413,0.434,1,88.3933477011494
"52","O43581","SYT7","68",0,1,"AF-O43581-F1-model_v4","O43581-F1",0.21,0.205,0,80.370153220763
"53","O43683","BUB1","3",1249,4,"AF-O43683-F1-model_v4","O43683-F1",0.138,0.403,1,64.124272589836
"54","O43761","SYNGR3","3",0,1,"AF-O43761-F1-model_v4","O43761-F1",0.202,0.389,0,80.7308688147296
"55","O43921","EFNA2","33",0,2,"AF-O43921-F1-model_v4","O43921-F1",0.138,0.532,1,81.3488210900474
"56","O43927","CXCL13","3",1323,4,"AF-O43927-F1-model_v4","O43927-F1",0.153,0.144,0,84.1282054176072
"57","O60241","ADGRB2","5",0,1,"AF-O60241-F1-model_v4","O60241-F1",0.181,0.877,1,60.7617344240621
"58","O60282","KIF5C","3",2502,12,"AF-O60282-F1-model_v4","O60282-F1",0.247,0.744,2,79.6137369655892
"59","O60566","BUB1B","3",1345,7,"AF-O60566-F1-model_v4","O60566-F1",0.211,0.846,2,64.7205771748185
"60","O60663","LMX1B","3",1869,2,"AF-O60663-F1-model_v4","O60663-F1",0.058,0.921,1,70.7138023664855
"61","O60701","UGDH","38",0,1,"AF-O60701-F1-model_v4","O60701-F1",0.201,0.894,1,93.7363977243341
"62","O60814","H2BC12","3",136,12,"AF-O60814-F1-model_v4","O60814-F1",0.241,0.937,1,88.0577868852459
"63","O60894","RAMP1","18",0,1,"AF-O60894-F1-model_v4","O60894-F1",0.355,0.624,1,89.9139782244556
"64","O75093","SLIT1","3",3720,2,"AF-O75093-F1-model_v4","O75093-F1",0.132,0.736,1,80.5466490269717
"65","O75330","HMMR","3",4343,3,"AF-O75330-F1-model_v4","O75330-F1",0.192,0.886,2,76.1048990670059
"66","O75417","POLQ","3",0,1,"AF-O75417-F1-model_v4","O75417-F1",0.104,0.717,1,59.4862674012494
"67","O75419","CDC45","3",36,2,"AF-O75419-F1-model_v4","O75419-F1",0.323,0.926,1,92.8874267100977
"68","O75602","SPAG6","69",0,1,"AF-O75602-F1-model_v4","O75602-F1",0.351,0.173,0,95.2598049281314
"69","O75631","UPK3A","71",0,2,"AF-O75631-F1-model_v4","O75631-F1",0.303,0.211,0,79.0126298701299
"70","O75674","TOM1L1","3",0,1,"AF-O75674-F1-model_v4","O75674-F1",0.33,0.362,0,67.8945149153453
"71","O75717","WDHD1","3",624,2,"AF-O75717-F1-model_v4","O75717-F1",0.21,0.575,1,74.3476551724138
"72","O75762","TRPA1","3",1871,3,"AF-O75762-F1-model_v4","O75762-F1",0.116,0.947,1,81.5129115904773
"73","O75841","UPK1B","71",0,2,"AF-O75841-F1-model_v4","O75841-F1",0.091,0.522,1,85.7588862217955
"74","O76009","KRT33A","3",197,7,"AF-O76009-F1-model_v4","O76009-F1",0.29,0.702,1,80.9131659388646
"75","O76014","KRT37","3",197,7,"AF-O76014-F1-model_v4","O76014-F1",0.419,0.535,2,76.345
"76","O94761","RECQL4","3",0,5,"AF-O94761-F1-model_v4","O94761-F1",0.125,0.793,1,69.0309568099209
"77","O94779","CNTN5","9",0,1,"AF-O94779-F1-model_v4","O94779-F1",0.139,0.398,0,83.084769972938
"78","O94805","ACTL6B","3",0,1,"AF-O94805-F1-model_v4","O94805-F1",0.097,0.992,1,91.6544207965947
"79","O95049","TJP3","3",646,4,"AF-O95049-F1-model_v4","O95049-F1",0.067,0.88,2,66.5840854341737
"80","O95067","CCNB2","3",2174,5,"AF-O95067-F1-model_v4","O95067-F1",0.089,0.073,0,80.3833301857098
"81","O95073","FSBP","3",0,1,"AF-O95073-F1-model_v4","O95073-F1",0.297,0.828,1,70.0311998361998
"82","O95096","NKX2-2","3",625,2,"AF-O95096-F1-model_v4","O95096-F1",0.047,0.694,1,64.7670790216369
"83","O95229","ZWINT","3",0,1,"AF-O95229-F1-model_v4","O95229-F1",0.268,0.32,0,79.4582673942701
"84","O95235","KIF20A","3",8473,9,"AF-O95235-F1-model_v4","O95235-F1",0.333,0.814,3,67.3045557924662
"85","O95239","KIF4A","3",9840,3,"AF-O95239-F1-model_v4","O95239-F1",0.244,0.668,3,72.1712231759657
"86","O95259","KCNH1","3",0,1,"AF-O95259-F1-model_v4","O95259-F1",0.212,0.931,2,73.9463563321005
"87","O95274","LYPD3","3",0,1,"AF-O95274-F1-model_v4","O95274-F1",0.094,0.483,1,74.4725697211155
"88","O95678","KRT75","3",0,1,"AF-O95678-F1-model_v4","O95678-F1",0.293,0.594,1,70.1515108773607
"89","O95716","RAB3D","3",0,1,"AF-O95716-F1-model_v4","O95716-F1",0.185,0.662,2,85.1536789689514
"90","O95970","LGI1","3",1248,2,"AF-O95970-F1-model_v4","O95970-F1",0.426,0.584,1,92.6068768035516
"91","O95988","TCL1B","3",625,2,"AF-O95988-F1-model_v4","O95988-F1",0.173,0.127,0,78.8205052430887
"92","O95994","AGR2","3",4761,5,"AF-O95994-F1-model_v4","O95994-F1",0.263,0.901,1,87.4194598436389
"93","O95997","PTTG1","3",932,3,"AF-O95997-F1-model_v4","O95997-F1",0.339,0.504,1,64.5439896707553
"94","O96020","CCNE2","3",596,3,"AF-O96020-F1-model_v4","O96020-F1",0.296,0.527,1,77.7639902676399
"95","P00748","F12","27",0,3,"AF-P00748-F1-model_v4","P00748-F1",0.08,0.51,1,76.2485143097643
"96","P00918","CA2","17",0,1,"AF-P00918-F1-model_v4","P00918-F1",0.327,0.193,0,97.4029908345393
"97","P00973","OAS1","3",166,2,"AF-P00973-F1-model_v4","P00973-F1",0.31,0.455,1,84.2137788728057
"98","P01009","SERPINA1","3",755,4,"AF-P01009-F1-model_v4","P01009-F1",0.431,0.336,0,89.0052049802612
"99","P01036","CST4","3",625,2,"AF-P01036-F1-model_v4","P01036-F1",0.282,0.537,1,89.9583479789104
"100","P01037","CST1","3",0,1,"AF-P01037-F1-model_v4","P01037-F1",0.29,0.544,1,92.4962424242424
"101","P01574","IFNB1","3",0,2,"AF-P01574-F1-model_v4","P01574-F1",0.392,0.608,1,89.8007775653282
"102","P01584","IL1B","3",22213,2,"AF-P01584-F1-model_v4","P01584-F1",0.104,0.259,0,75.9246709916589
"103","P01588","EPO","3",1112,3,"AF-P01588-F1-model_v4","P01588-F1",0.238,0.608,1,87.0569713142095
"104","P02452","COL1A1","3",0,3,"AF-P02452-F1-model_v4","P02452-F1",0.19,0.503,1,54.6859670992132
"105","P02458","COL2A1","3",0,4,"AF-P02458-F1-model_v4","P02458-F1",0.385,0.304,0,53.244126252505
"106","P02461","COL3A1","3",0,3,"AF-P02461-F1-model_v4","P02461-F1",0.222,0.736,1,54.3746488260023
"107","P02671","FGA","3",0,1,"AF-P02671-F1-model_v4","P02671-F1",0.121,0.815,1,62.2204431801168
"108","P02675","FGB","3",124,2,"AF-P02675-F1-model_v4","P02675-F1",0.148,0.77,2,84.5702624872579
"109","P02679","FGG","3",0,1,"AF-P02679-F1-model_v4","P02679-F1",0.247,0.813,3,85.7406392945715
"110","P02708","CHRNA1","22",3,4,"AF-P02708-F1-model_v4","P02708-F1",0.237,0.217,0,81.6359932309294
"111","P02751","FN1","3",27713,16,"AF-P02751-F1-model_v4","P02751-F1",0.143,0.218,0,70.3327573241422
"112","P02760","AMBP","3",96,3,"AF-P02760-F1-model_v4","P02760-F1",0.332,0.685,1,82.405342616343
"113","P02768","ALB","3",1646,4,"AF-P02768-F1-model_v4","P02768-F1",0.156,0.318,0,92.6397694524496
"114","P02771","AFP","3",0,1,"AF-P02771-F1-model_v4","P02771-F1",0.177,0.987,2,88.9915831079675
"115","P02778","CXCL10","3",7739,5,"AF-P02778-F1-model_v4","P02778-F1",0.109,0.23,0,90.0851058201058
"116","P03372","ESR1","3",55583,16,"AF-P03372-F1-model_v4","P03372-F1",0.294,0.587,1,66.9044640931637
"117","P03956","MMP1","3",0,2,"AF-P03956-F1-model_v4","P03956-F1",0.393,0.157,0,91.4729717720857
"118","P04070","PROC","27",3,4,"AF-P04070-F1-model_v4","P04070-F1",0.307,0.73,2,82.6316438356164
"119","P04155","TFF1","3",1249,3,"AF-P04155-F1-model_v4","P04155-F1",0.319,0.341,0,88.4052922590837
"120","P04183","TK1","3",1256,3,"AF-P04183-F1-model_v4","P04183-F1",0.284,0.554,2,82.3099831460674
