GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	3301765	14399627	6104	-0.3424
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	14399761	25376293	6160	-0.0468
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	25380533	25407761	3	-1.0873
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	25419576	34708927	4699	-0.0474
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	34717923	34823438	51	0.3811
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	34824272	68440298	20544	-0.0456
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	68440407	84911915	9529	-0.082
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	84917351	88247823	2213	-0.058
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	88249684	91907380	2263	0.2712
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	91912700	103111782	6697	-0.0577
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	103112620	104095032	301	0.455
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	104095422	104096106	3	-0.5429
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	104098957	104252882	75	0.5748
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	104256007	104256231	3	-0.7401
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	104259599	104322690	46	0.5627
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	104329708	104610967	142	0.7094
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	104613041	104965533	134	0.528
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	104966195	105998788	496	0.287
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	106003491	116287675	6461	-0.0587
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	116289270	116291483	7	-0.8106
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	116295203	119697804	2041	-0.0394
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	119697884	119698152	2	-0.5445
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	119702784	119906441	121	0.2061
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	119908008	119981279	48	-0.0467
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	119981332	151437026	535	0.1387
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	151437367	157660685	3245	0.195
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	157667140	159234503	1045	0.1385
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	159235001	169193365	7188	0.1905
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	169193492	177389625	4863	0.1527
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	177391176	181480349	2644	0.1817
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	181480787	191408534	6153	0.1449
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	191411626	191441375	18	0.6579
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	191442778	196356401	3009	0.1358
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	196356846	200888646	2549	0.3641
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	200894147	209850752	6059	0.4073
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	209852482	210563164	493	0.5428
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	210563493	221211526	7147	0.3811
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	221217036	222182214	722	0.8901
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	222183115	222746553	276	1.3258
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	222748259	222941801	108	1.1711
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	222943232	223021873	58	1.3431
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	223023741	224613811	895	0.931
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	224614250	226414183	943	1.0353
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	226414585	227759733	875	0.9103
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	227761372	228228900	211	0.3808
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	228230556	228985874	271	0.6379
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	228988932	231220555	1671	1.0355
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	231222622	231311702	44	0.354
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	231312981	232104327	386	-0.0454
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	232104365	234767459	2159	0.3935
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	234767524	235500574	350	0.8869
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	235515448	236481216	580	0.4021
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	236488295	236504677	12	1.0345
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	236505545	237176691	611	0.5177
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	237178128	238456715	1026	0.3443
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	238457072	238839392	341	0.4502
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	238840222	241900849	2311	0.3465
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	241901331	245428027	1972	0.483
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	1	245428036	247650984	886	0.3608
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	2	480597	17577442	11056	-0.0974
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	2	17578002	25647128	5038	-0.0767
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	2	25650199	25874672	98	0.089
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	2	25874738	36148273	5362	-0.0776
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	2	36148988	36155348	3	-1.2828
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	2	36156203	47803699	7232	-0.08
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	2	47804639	54479883	3362	-0.1126
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	2	54480019	65683042	6280	0.0876
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	2	65686445	66000267	304	-0.1042
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	2	66000961	74303786	4956	0.099
7f4d75ed-36ef-4cca-a38b-3f4b3f65fb75	2	74307281	77392206	1805	0.3631
