GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	62920	3296382	736	-0.1301
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	3298168	16489595	7902	-0.0079
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	16493138	16785682	61	-0.3218
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	16787932	34626073	10297	-0.0033
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	34637053	34638890	20	-0.8261
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	34648667	55005626	11342	0.0007
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	55005795	62661744	5835	0.0268
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	62661902	62695570	12	-0.5662
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	62697248	69420631	4830	0.0214
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	69421019	69433483	9	0.771
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	69433518	71509334	1250	0.0207
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	71520274	71556523	34	0.3972
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	71556547	71822338	176	0.0224
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	71822408	71831369	9	0.5203
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	71843077	72284670	261	0.0324
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	72290430	72297687	9	-1.0377
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	72302735	72323928	23	0.2043
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	72328621	72331729	7	0.9182
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	72332911	72344159	14	0.3594
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	72345255	74725098	1450	0.0406
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	74727351	74733606	3	-0.9209
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	74734100	74767173	22	-0.0448
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	74768114	74787460	21	0.4367
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	74788922	74803600	14	-0.0166
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	74805388	74861617	25	0.3363
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	74862187	78869887	2569	0.0356
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	78870339	79089642	119	0.1981
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	79089920	80286204	788	0.0034
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	80289470	80316474	20	0.3734
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	80319440	81422917	749	0.0324
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	81422920	81423039	5	-0.8133
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	81423183	82719416	904	0.0161
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	82719956	82725595	8	0.4457
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	82726266	82747426	8	0.0709
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	82748621	82761755	17	0.4105
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	82762014	84499686	1153	0.0507
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	84500840	95333009	7078	0.0039
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	95334434	102233909	4347	0.0357
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	102233991	102384232	126	0.1919
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	102384824	103560608	576	-0.0124
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	103566616	103760781	34	0.7798
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	103760879	106469985	1590	-0.0034
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	106472267	107471606	717	0.0717
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	107471724	109684695	1256	0.0029
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	109684893	109702376	15	-0.8633
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	109703504	110828115	830	0.005
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	110831471	110841332	40	0.4364
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	110841350	112147704	1078	-0.0001
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	112153343	112154754	24	0.4065
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	112154768	143714499	5256	0.0098
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	143714665	143760271	24	0.6662
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	143762042	143927536	7	0.2594
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	143927887	147004967	189	-0.1347
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	147008051	151359541	1374	-0.0069
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	151364223	151418625	57	-0.2543
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	151419432	180524705	19567	0.0132
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	180524808	180525364	3	1.2421
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	180526534	187294725	4536	0.0163
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	187295247	187295279	2	-1.3247
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	187295477	189679027	1561	0.0083
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	189679353	189679397	2	-4.6349
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	189682917	238228422	33137	0.0145
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	238230371	238289624	52	-0.08
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	238293335	238293923	3	-1.3628
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	238295414	245952686	5618	-0.0312
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	245952700	245952784	2	1.3078
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	245953889	246301994	250	-0.0234
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	246309430	246693573	239	-0.1597
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	246694403	247279527	355	-0.0466
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	1	247284237	248930189	948	0.0167
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	2	12784	4152855	2984	-0.0672
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	2	4153079	4174949	37	0.3338
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	2	4175059	8896673	3961	-0.031
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	2	8906283	14163591	3698	0.0048
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	2	14164387	14173035	11	0.5292
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	2	14176789	14208790	29	-0.0658
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	2	14212200	14229064	60	0.2911
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	2	14232571	24376380	7147	0.0228
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	2	24378642	24388259	19	-0.7986
0fa83e24-03bf-4a3c-be8b-2813a39db1fe	2	24388858	31330528	4186	-0.0018
