GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
272b1120-4662-4049-b46a-ef68b8497a60	1	3301765	30633820	14673	-0.5799
272b1120-4662-4049-b46a-ef68b8497a60	1	30635520	38274659	3971	0.1951
272b1120-4662-4049-b46a-ef68b8497a60	1	38276616	38277226	2	-1.3134
272b1120-4662-4049-b46a-ef68b8497a60	1	38277257	43298413	2849	0.1985
272b1120-4662-4049-b46a-ef68b8497a60	1	43298773	53004175	4768	0.1834
272b1120-4662-4049-b46a-ef68b8497a60	1	53005991	53028150	22	-0.4471
272b1120-4662-4049-b46a-ef68b8497a60	1	53029207	65574175	8995	0.178
272b1120-4662-4049-b46a-ef68b8497a60	1	65577215	65577429	3	-1.3568
272b1120-4662-4049-b46a-ef68b8497a60	1	65580244	75446084	5817	0.1674
272b1120-4662-4049-b46a-ef68b8497a60	1	75446134	75451244	5	-0.9233
272b1120-4662-4049-b46a-ef68b8497a60	1	75456169	115942596	24404	0.1757
272b1120-4662-4049-b46a-ef68b8497a60	1	115945353	115948700	6	-0.9583
272b1120-4662-4049-b46a-ef68b8497a60	1	115952601	150051397	2522	0.1752
272b1120-4662-4049-b46a-ef68b8497a60	1	150051427	197680538	29179	0.2028
272b1120-4662-4049-b46a-ef68b8497a60	1	197684034	198451528	464	0.6596
272b1120-4662-4049-b46a-ef68b8497a60	1	198451609	247650984	31873	0.2071
272b1120-4662-4049-b46a-ef68b8497a60	2	480597	678988	179	0.1987
272b1120-4662-4049-b46a-ef68b8497a60	2	681453	681521	2	-1.1593
272b1120-4662-4049-b46a-ef68b8497a60	2	683118	3801922	1279	0.1591
272b1120-4662-4049-b46a-ef68b8497a60	2	3803791	3803868	2	2.0978
272b1120-4662-4049-b46a-ef68b8497a60	2	3804012	65423275	36742	0.1629
272b1120-4662-4049-b46a-ef68b8497a60	2	65423738	65424222	2	-1.5875
272b1120-4662-4049-b46a-ef68b8497a60	2	65429232	76949923	6985	0.1665
272b1120-4662-4049-b46a-ef68b8497a60	2	76950202	76999621	16	-0.8966
272b1120-4662-4049-b46a-ef68b8497a60	2	76999646	77000533	3	-2.0382
272b1120-4662-4049-b46a-ef68b8497a60	2	77004220	77055351	42	-0.8498
272b1120-4662-4049-b46a-ef68b8497a60	2	77059841	100548351	7787	0.1602
272b1120-4662-4049-b46a-ef68b8497a60	2	100551157	100551462	3	-1.193
272b1120-4662-4049-b46a-ef68b8497a60	2	100553909	205198081	56939	0.1545
272b1120-4662-4049-b46a-ef68b8497a60	2	205199748	205199830	2	-2.3942
272b1120-4662-4049-b46a-ef68b8497a60	2	205201991	208064966	1763	0.1607
272b1120-4662-4049-b46a-ef68b8497a60	2	208072225	208077241	6	-0.8291
272b1120-4662-4049-b46a-ef68b8497a60	2	208080915	241537572	20380	0.1633
272b1120-4662-4049-b46a-ef68b8497a60	3	2170634	32629006	18376	0.1634
272b1120-4662-4049-b46a-ef68b8497a60	3	32630043	32631136	4	-1.6692
272b1120-4662-4049-b46a-ef68b8497a60	3	32637972	98172728	34997	0.1725
272b1120-4662-4049-b46a-ef68b8497a60	3	98211020	98238271	26	-0.687
272b1120-4662-4049-b46a-ef68b8497a60	3	98249458	105004582	3757	0.1536
272b1120-4662-4049-b46a-ef68b8497a60	3	105004751	105005007	3	-1.1004
272b1120-4662-4049-b46a-ef68b8497a60	3	105009578	105940777	493	0.1491
272b1120-4662-4049-b46a-ef68b8497a60	3	105944208	197812401	49521	0.6297
272b1120-4662-4049-b46a-ef68b8497a60	4	1059384	17546221	10280	0.1604
272b1120-4662-4049-b46a-ef68b8497a60	4	17546335	17546827	2	-2.1729
272b1120-4662-4049-b46a-ef68b8497a60	4	17546984	20176288	1564	0.1754
272b1120-4662-4049-b46a-ef68b8497a60	4	20181931	30272189	6507	-0.5891
272b1120-4662-4049-b46a-ef68b8497a60	4	30276898	33184541	1648	0.2036
272b1120-4662-4049-b46a-ef68b8497a60	4	33187382	33188145	2	-2.0601
272b1120-4662-4049-b46a-ef68b8497a60	4	33189613	111752848	42234	0.1698
272b1120-4662-4049-b46a-ef68b8497a60	4	111753426	111759439	14	-0.7737
272b1120-4662-4049-b46a-ef68b8497a60	4	111763595	117505444	3256	0.1666
272b1120-4662-4049-b46a-ef68b8497a60	4	117509680	117510028	4	-0.9134
272b1120-4662-4049-b46a-ef68b8497a60	4	117510252	117585474	61	0.2309
272b1120-4662-4049-b46a-ef68b8497a60	4	117586156	117586487	2	-1.549
272b1120-4662-4049-b46a-ef68b8497a60	4	117586763	124538250	3920	0.1708
272b1120-4662-4049-b46a-ef68b8497a60	4	124539196	124541780	3	-1.5128
272b1120-4662-4049-b46a-ef68b8497a60	4	124541870	147026998	11904	0.1665
272b1120-4662-4049-b46a-ef68b8497a60	4	147028660	156709628	5571	-0.5883
272b1120-4662-4049-b46a-ef68b8497a60	4	156713715	156713817	2	-2.725
272b1120-4662-4049-b46a-ef68b8497a60	4	156713891	164404693	4429	-0.5638
272b1120-4662-4049-b46a-ef68b8497a60	4	164406836	164406931	2	-3.3325
272b1120-4662-4049-b46a-ef68b8497a60	4	164407030	187842528	11947	-0.5816
272b1120-4662-4049-b46a-ef68b8497a60	5	913983	17255255	10777	0.1615
272b1120-4662-4049-b46a-ef68b8497a60	5	17255575	17255939	3	-5.9274
272b1120-4662-4049-b46a-ef68b8497a60	5	17256447	50828231	15346	0.1745
272b1120-4662-4049-b46a-ef68b8497a60	5	50829022	55183748	2722	-0.5593
272b1120-4662-4049-b46a-ef68b8497a60	5	55183993	55184130	3	-2.4808
272b1120-4662-4049-b46a-ef68b8497a60	5	55186979	56270773	552	-0.5503
272b1120-4662-4049-b46a-ef68b8497a60	5	56271754	56271922	2	-2.5386
272b1120-4662-4049-b46a-ef68b8497a60	5	56272034	57014223	621	-0.5705
272b1120-4662-4049-b46a-ef68b8497a60	5	57030527	57030582	2	-2.737
272b1120-4662-4049-b46a-ef68b8497a60	5	57031650	61229838	2544	-0.5647
272b1120-4662-4049-b46a-ef68b8497a60	5	61232300	61233083	3	-2.8453
272b1120-4662-4049-b46a-ef68b8497a60	5	61234275	107813903	23846	-0.5836
272b1120-4662-4049-b46a-ef68b8497a60	5	107816457	151647617	26398	0.1663
272b1120-4662-4049-b46a-ef68b8497a60	5	151649578	151649600	2	-2.0629
272b1120-4662-4049-b46a-ef68b8497a60	5	151650506	180934240	18142	0.1608
272b1120-4662-4049-b46a-ef68b8497a60	6	1011760	38771158	22740	0.6299
272b1120-4662-4049-b46a-ef68b8497a60	6	38774932	113963570	40885	0.1655
272b1120-4662-4049-b46a-ef68b8497a60	6	113970418	116384375	1240	-0.5753
272b1120-4662-4049-b46a-ef68b8497a60	6	116385093	116388608	5	-2.3679
272b1120-4662-4049-b46a-ef68b8497a60	6	116390772	125585706	4995	-0.5739
272b1120-4662-4049-b46a-ef68b8497a60	6	125588050	125588565	2	-3.0863
272b1120-4662-4049-b46a-ef68b8497a60	6	125589785	141678367	9821	-0.5859
272b1120-4662-4049-b46a-ef68b8497a60	6	141678993	141925416	126	-2.1432
272b1120-4662-4049-b46a-ef68b8497a60	6	141925917	155818068	9246	-0.5875
272b1120-4662-4049-b46a-ef68b8497a60	6	155818421	155820063	4	-2.967
272b1120-4662-4049-b46a-ef68b8497a60	6	155820560	163311457	4528	-0.594
272b1120-4662-4049-b46a-ef68b8497a60	6	163311907	163311957	2	-4.119
272b1120-4662-4049-b46a-ef68b8497a60	6	163311988	170596889	3364	-0.5799
272b1120-4662-4049-b46a-ef68b8497a60	7	664936	11743368	4695	0.1814
272b1120-4662-4049-b46a-ef68b8497a60	7	11743511	11746265	4	-1.0217
272b1120-4662-4049-b46a-ef68b8497a60	7	11746827	11963143	174	0.1879
272b1120-4662-4049-b46a-ef68b8497a60	7	11965346	11970376	6	-0.7279
272b1120-4662-4049-b46a-ef68b8497a60	7	11973353	24264259	7679	0.1755
272b1120-4662-4049-b46a-ef68b8497a60	7	24271213	24272598	15	-0.6071
272b1120-4662-4049-b46a-ef68b8497a60	7	24273406	37530491	8794	0.1608
272b1120-4662-4049-b46a-ef68b8497a60	7	37531366	37590108	57	0.6155
272b1120-4662-4049-b46a-ef68b8497a60	7	37592950	37969508	281	0.1783
272b1120-4662-4049-b46a-ef68b8497a60	7	37969585	37969694	3	1.3633
272b1120-4662-4049-b46a-ef68b8497a60	7	37969874	44546032	3720	0.1534
272b1120-4662-4049-b46a-ef68b8497a60	7	44549842	44560777	8	-0.741
272b1120-4662-4049-b46a-ef68b8497a60	7	44563142	45981516	766	0.1712
272b1120-4662-4049-b46a-ef68b8497a60	7	45986368	45986939	2	-2.3173
272b1120-4662-4049-b46a-ef68b8497a60	7	45987446	52580110	4835	0.1656
272b1120-4662-4049-b46a-ef68b8497a60	7	52585668	52586565	3	-1.6637
272b1120-4662-4049-b46a-ef68b8497a60	7	52586953	64908282	2945	0.1503
272b1120-4662-4049-b46a-ef68b8497a60	7	64911318	69291260	1812	0.6153
272b1120-4662-4049-b46a-ef68b8497a60	7	69292370	134625360	33384	0.1678
272b1120-4662-4049-b46a-ef68b8497a60	7	134625815	134626948	3	-1.4725
272b1120-4662-4049-b46a-ef68b8497a60	7	134627769	158592540	12752	0.1903
272b1120-4662-4049-b46a-ef68b8497a60	8	667625	51890769	27750	0.1697
272b1120-4662-4049-b46a-ef68b8497a60	8	51895770	53908298	1156	0.6293
