GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
22e5525a-26b5-4140-968f-0be63cb751d2	1	62920	817186	32	-0.0118
22e5525a-26b5-4140-968f-0be63cb751d2	1	822089	6394534	2942	-0.7116
22e5525a-26b5-4140-968f-0be63cb751d2	1	6396411	6780000	193	-0.2876
22e5525a-26b5-4140-968f-0be63cb751d2	1	6781961	7095755	202	-0.4418
22e5525a-26b5-4140-968f-0be63cb751d2	1	7096022	7096229	2	0.0828
22e5525a-26b5-4140-968f-0be63cb751d2	1	7098501	12832455	3135	-0.611
22e5525a-26b5-4140-968f-0be63cb751d2	1	12850124	12867264	6	-2.2993
22e5525a-26b5-4140-968f-0be63cb751d2	1	12868035	13432696	25	-0.498
22e5525a-26b5-4140-968f-0be63cb751d2	1	13438567	15507865	1622	-0.7001
22e5525a-26b5-4140-968f-0be63cb751d2	1	15515247	15823420	168	-0.522
22e5525a-26b5-4140-968f-0be63cb751d2	1	15827002	15827259	3	-2.8215
22e5525a-26b5-4140-968f-0be63cb751d2	1	15827338	16689764	341	-0.5652
22e5525a-26b5-4140-968f-0be63cb751d2	1	16718963	16935302	72	-1.2405
22e5525a-26b5-4140-968f-0be63cb751d2	1	16935393	17796966	554	-0.6174
22e5525a-26b5-4140-968f-0be63cb751d2	1	17797462	19216305	1084	-0.7086
22e5525a-26b5-4140-968f-0be63cb751d2	1	19216421	25132941	3546	-0.6163
22e5525a-26b5-4140-968f-0be63cb751d2	1	25132989	25256850	77	-0.56
22e5525a-26b5-4140-968f-0be63cb751d2	1	25266637	25320455	24	0.266
22e5525a-26b5-4140-968f-0be63cb751d2	1	25336819	29426953	1723	-0.5368
22e5525a-26b5-4140-968f-0be63cb751d2	1	29427098	29533464	84	-0.6258
22e5525a-26b5-4140-968f-0be63cb751d2	1	29535498	30965182	1115	-0.7329
22e5525a-26b5-4140-968f-0be63cb751d2	1	30967408	31899501	467	-0.5927
22e5525a-26b5-4140-968f-0be63cb751d2	1	31901509	31905496	3	-2.0765
22e5525a-26b5-4140-968f-0be63cb751d2	1	31912562	32915883	376	-0.5463
22e5525a-26b5-4140-968f-0be63cb751d2	1	32920812	32971441	23	0.0888
22e5525a-26b5-4140-968f-0be63cb751d2	1	32971758	33688975	411	0.2961
22e5525a-26b5-4140-968f-0be63cb751d2	1	33689901	34626073	748	0.2022
22e5525a-26b5-4140-968f-0be63cb751d2	1	34637053	34638890	20	-3.3426
22e5525a-26b5-4140-968f-0be63cb751d2	1	34648667	40706867	3269	0.2709
22e5525a-26b5-4140-968f-0be63cb751d2	1	40709498	41030342	194	0.4207
22e5525a-26b5-4140-968f-0be63cb751d2	1	41032636	45746977	2706	0.2706
22e5525a-26b5-4140-968f-0be63cb751d2	1	45750099	46546472	398	0.4253
22e5525a-26b5-4140-968f-0be63cb751d2	1	46547030	46640963	52	0.2745
22e5525a-26b5-4140-968f-0be63cb751d2	1	46641647	50890864	2419	0.1836
22e5525a-26b5-4140-968f-0be63cb751d2	1	50894508	54730426	2080	0.2432
22e5525a-26b5-4140-968f-0be63cb751d2	1	54731066	55277657	406	0.1896
22e5525a-26b5-4140-968f-0be63cb751d2	1	55277768	61647430	4949	0.1512
22e5525a-26b5-4140-968f-0be63cb751d2	1	61648334	61652515	4	-0.9735
22e5525a-26b5-4140-968f-0be63cb751d2	1	61654137	72280850	7284	0.1683
22e5525a-26b5-4140-968f-0be63cb751d2	1	72280864	72345450	61	0.4052
22e5525a-26b5-4140-968f-0be63cb751d2	1	72345465	91727707	12717	0.1533
22e5525a-26b5-4140-968f-0be63cb751d2	1	91728105	91730095	2	-1.2058
22e5525a-26b5-4140-968f-0be63cb751d2	1	91730496	94665268	1698	0.1952
22e5525a-26b5-4140-968f-0be63cb751d2	1	94665962	94669891	15	-0.2966
22e5525a-26b5-4140-968f-0be63cb751d2	1	94672892	99904217	3354	0.1577
22e5525a-26b5-4140-968f-0be63cb751d2	1	99906499	99906514	2	-1.1297
22e5525a-26b5-4140-968f-0be63cb751d2	1	99906686	103560608	2228	0.1586
22e5525a-26b5-4140-968f-0be63cb751d2	1	103566616	103717410	32	0.8166
22e5525a-26b5-4140-968f-0be63cb751d2	1	103717617	105476583	920	0.1628
22e5525a-26b5-4140-968f-0be63cb751d2	1	105476614	105479753	16	1.0775
22e5525a-26b5-4140-968f-0be63cb751d2	1	105481433	108186662	1939	0.142
22e5525a-26b5-4140-968f-0be63cb751d2	1	108187137	108194874	4	-1.0658
22e5525a-26b5-4140-968f-0be63cb751d2	1	108196482	108336985	50	0.091
22e5525a-26b5-4140-968f-0be63cb751d2	1	108343718	109684695	643	0.2606
22e5525a-26b5-4140-968f-0be63cb751d2	1	109684893	109692006	11	-0.6713
22e5525a-26b5-4140-968f-0be63cb751d2	1	109696900	112153851	1960	0.2241
22e5525a-26b5-4140-968f-0be63cb751d2	1	112153880	112163583	30	0.7073
22e5525a-26b5-4140-968f-0be63cb751d2	1	112163591	120130434	5046	0.1874
22e5525a-26b5-4140-968f-0be63cb751d2	1	120130581	143748728	209	0.3225
22e5525a-26b5-4140-968f-0be63cb751d2	1	143748793	143796140	18	0.8263
22e5525a-26b5-4140-968f-0be63cb751d2	1	143811517	150148513	1031	0.2137
22e5525a-26b5-4140-968f-0be63cb751d2	1	150154910	151484072	627	0.3262
22e5525a-26b5-4140-968f-0be63cb751d2	1	151486314	151500420	4	-0.3986
22e5525a-26b5-4140-968f-0be63cb751d2	1	151500439	151675530	107	0.3066
22e5525a-26b5-4140-968f-0be63cb751d2	1	151682193	152583051	555	0.2138
22e5525a-26b5-4140-968f-0be63cb751d2	1	152583230	152614118	35	-2.0418
22e5525a-26b5-4140-968f-0be63cb751d2	1	152618018	152787202	167	0.1286
22e5525a-26b5-4140-968f-0be63cb751d2	1	152789447	152795783	32	1.1177
22e5525a-26b5-4140-968f-0be63cb751d2	1	152795805	153414604	494	0.2235
22e5525a-26b5-4140-968f-0be63cb751d2	1	153417084	153524235	63	0.3417
22e5525a-26b5-4140-968f-0be63cb751d2	1	153526409	153705621	76	0.5335
22e5525a-26b5-4140-968f-0be63cb751d2	1	153707540	156656070	1373	0.3268
22e5525a-26b5-4140-968f-0be63cb751d2	1	156658951	156977276	141	0.2579
22e5525a-26b5-4140-968f-0be63cb751d2	1	156979088	159832179	2103	0.1913
22e5525a-26b5-4140-968f-0be63cb751d2	1	159833212	160176383	212	0.2582
22e5525a-26b5-4140-968f-0be63cb751d2	1	160176704	160181084	6	-0.4069
22e5525a-26b5-4140-968f-0be63cb751d2	1	160181631	161795908	917	0.2573
22e5525a-26b5-4140-968f-0be63cb751d2	1	161796094	169247699	5907	0.1666
22e5525a-26b5-4140-968f-0be63cb751d2	1	169264736	169272528	7	1.1269
22e5525a-26b5-4140-968f-0be63cb751d2	1	169273163	178696723	6067	0.1652
22e5525a-26b5-4140-968f-0be63cb751d2	1	178696735	178701430	20	0.6074
22e5525a-26b5-4140-968f-0be63cb751d2	1	178702586	185715113	4827	0.1851
22e5525a-26b5-4140-968f-0be63cb751d2	1	185716270	196745743	7272	0.1499
22e5525a-26b5-4140-968f-0be63cb751d2	1	196758720	196802150	43	0.7766
22e5525a-26b5-4140-968f-0be63cb751d2	1	196820098	196878845	54	0.1641
22e5525a-26b5-4140-968f-0be63cb751d2	1	196884220	196990905	59	0.427
22e5525a-26b5-4140-968f-0be63cb751d2	1	196995755	200467300	2230	0.1734
22e5525a-26b5-4140-968f-0be63cb751d2	1	200467934	207783643	4683	0.2442
22e5525a-26b5-4140-968f-0be63cb751d2	1	207785656	209897717	1781	0.1392
22e5525a-26b5-4140-968f-0be63cb751d2	1	209908268	209913207	4	-1.9034
22e5525a-26b5-4140-968f-0be63cb751d2	1	209920149	213130059	2108	0.1929
22e5525a-26b5-4140-968f-0be63cb751d2	1	213130252	221877143	6287	0.1357
22e5525a-26b5-4140-968f-0be63cb751d2	1	221881592	230315666	5141	0.1954
22e5525a-26b5-4140-968f-0be63cb751d2	1	230316577	230316706	2	1.4895
22e5525a-26b5-4140-968f-0be63cb751d2	1	230317851	234772423	3556	0.1729
22e5525a-26b5-4140-968f-0be63cb751d2	1	234772540	234780167	4	-0.9553
22e5525a-26b5-4140-968f-0be63cb751d2	1	234794424	236640453	1114	0.2299
22e5525a-26b5-4140-968f-0be63cb751d2	1	236641962	248032466	8389	0.1678
22e5525a-26b5-4140-968f-0be63cb751d2	1	248038981	248930189	435	0.2178
22e5525a-26b5-4140-968f-0be63cb751d2	2	12784	4143453	2977	0.109
22e5525a-26b5-4140-968f-0be63cb751d2	2	4145344	4172353	38	0.4599
22e5525a-26b5-4140-968f-0be63cb751d2	2	4174231	7995913	3293	0.1042
22e5525a-26b5-4140-968f-0be63cb751d2	2	7996487	7999793	2	1.3849
22e5525a-26b5-4140-968f-0be63cb751d2	2	8001470	8451896	369	0.1325
22e5525a-26b5-4140-968f-0be63cb751d2	2	8452334	10967052	1764	0.1837
22e5525a-26b5-4140-968f-0be63cb751d2	2	10967119	14565932	2601	0.1087
22e5525a-26b5-4140-968f-0be63cb751d2	2	14566145	14569968	10	-1.3102
22e5525a-26b5-4140-968f-0be63cb751d2	2	14570240	23672977	6552	0.0898
