GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	1	3301765	205953423	102821	0.0038
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	1	206011429	206019282	3	-1.5896
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	1	206028050	247650984	26985	0.0094
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	2	480597	4198046	1742	0.0665
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	2	4198362	16774081	8790	0.0224
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	2	16774963	16775613	5	-1.0845
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	2	16776163	18113761	932	0.0161
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	2	18117448	18117899	3	1.5701
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	2	18125474	24082468	3900	0.019
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	2	24082884	35097579	5764	0.0025
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	2	35101361	35101679	4	-1.3392
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	2	35101940	139583451	52050	0.005
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	2	139583613	237268686	56693	0.0198
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	2	237269802	241537572	2375	0.0692
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	3	2170634	151637173	83390	0.0069
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	3	151645406	151743490	91	-0.9625
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	3	151744877	197812401	23750	0.0071
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	1059384	4375017	1288	0.043
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	4379505	35872358	20231	0.0072
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	35874975	35875023	2	1.4491
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	35875663	41976090	3838	-0.0053
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	41977828	41977895	2	1.6881
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	41978103	124538250	44218	0.011
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	124539196	124568238	25	-0.3389
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	124568585	147571575	12267	0.0355
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	147579024	147579882	4	-1.0158
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	147582146	160092062	7110	0.0378
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	160092452	160092575	3	1.2777
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	160098175	176058018	8728	0.0378
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	176063211	176072721	2	-2.4689
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	176074978	184244252	4009	0.0433
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	184244454	184245557	2	-1.585
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	4	184245946	187842528	1818	0.0455
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	5	913983	55412865	28985	0.0058
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	5	55415489	55417193	2	2.0148
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	5	55419696	66407710	6298	-0.0016
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	5	66410311	66410814	2	-2.0417
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	5	66414165	180934240	65863	0.0155
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	6	1011760	4720812	2640	0.0352
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	6	4721802	88401305	46474	-0.0041
b1a03b8f-3650-47e5-b084-8ca14b6ab21b	6	88401419	165209120	45846	0.0148
