GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	62920	25266637	14027	0.0015
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	25269390	25278567	11	0.7864
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	25284629	60511630	20598	0.0063
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	60517529	60517948	3	-2.4738
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	60518110	62298991	1369	-0.0006
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	62299377	62302296	7	-1.1341
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	62306529	72542484	6944	0.0091
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	72546237	72622475	49	-1.0947
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	72631417	82761755	6559	0.0058
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	82762014	82762019	2	-1.2951
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	82762389	105470754	14239	0.0022
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	105476583	105479753	17	-2.4668
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	105481433	109684893	2638	0.007
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	109690352	109697556	13	1.7252
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	109702376	152583051	9583	0.0055
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	152583230	152614118	35	-2.3187
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	152618018	161533104	5466	-0.0001
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	161539001	161649268	13	0.5356
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	161678447	169247699	6013	0.0011
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	169264736	169272528	7	0.9232
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	169273163	179470495	6689	0.0005
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	179476998	179478146	2	-1.3597
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	179478408	196771081	11507	0.0092
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	196771842	196843377	48	0.2573
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	196843400	196846661	2	2.2807
63b3543d-db01-4549-9b5f-f6f68115fdbb	1	196847600	248930189	35828	0.0075
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	12784	18139320	13711	0.0027
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	18147073	18156734	12	0.5419
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	18156763	34466002	10373	0.0089
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	34474248	34511990	46	0.581
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	34512096	52527330	13009	0.0083
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	52527342	52527743	6	-1.9399
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	52531615	52554157	25	-0.8457
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	52554188	128880353	42852	0.0022
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	128880504	128882723	15	-0.732
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	128882741	179553606	30955	0.0098
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	179553661	179557410	28	-0.8194
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	179560916	241841244	38428	0.0151
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	241973315	242001132	32	-1.1837
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	242011715	242095518	74	0.0459
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	242101248	242106609	14	0.7655
63b3543d-db01-4549-9b5f-f6f68115fdbb	2	242106874	242147305	8	0.0528
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	20930	30149632	22505	0.014
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	30151053	30151074	2	-1.5317
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	30151286	37935926	5127	0.0162
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	37940617	37945615	19	-0.9378
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	37945651	65202778	17677	0.0115
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	65203560	65224777	52	-0.8515
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	65230674	125993496	34750	0.0045
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	125993720	125993913	6	1.0735
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	125994097	130067366	2357	0.0015
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	130067443	130087393	31	0.5641
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	130088081	145828458	9821	0.0036
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	145835388	145839243	2	-1.5748
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	145841636	157716794	7374	0.0002
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	157719222	157723828	3	-1.5463
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	157723830	162914509	3156	0.004
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	162914526	162914592	2	1.4064
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	162915408	169012392	3426	0.0126
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	169015614	169020840	2	-1.6549
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	169022039	189645889	13231	0.0101
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	189646041	189646849	10	-1.1036
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	189653199	195559056	3996	0.0115
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	195656271	195747892	44	0.5533
63b3543d-db01-4549-9b5f-f6f68115fdbb	3	195751823	198169247	1166	0.0074
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	68929	10208766	5705	-0.0065
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	10212536	10233644	36	1.3328
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	10234518	10389091	171	-0.0166
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	10390730	10399044	16	-2.6025
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	10401094	34777432	16795	0.0069
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	34784878	34822561	37	-0.4354
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	34823103	57183027	12530	0.0104
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	57185482	57234405	40	0.6501
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	57236258	62802116	3430	0.0079
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	62804218	62805944	8	-0.981
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	62813912	63832015	561	0.0126
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	63832110	63839445	4	-0.9505
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	63839469	68354665	2870	0.011
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	68361130	68623617	90	0.4386
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	68639397	91017021	13868	0.0157
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	91017241	91017501	3	-1.4675
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	91017586	92938654	1017	0.0056
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	92945595	93000117	29	0.5845
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	93001332	114252544	12791	0.0145
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	114254167	114261019	23	0.6607
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	114263073	154881396	24053	0.0176
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	154881853	154881926	3	1.6494
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	154882047	160952773	3917	0.0225
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	160952788	160963448	22	0.4139
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	160963756	171448195	6668	0.0217
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	171453733	171456559	10	-0.7197
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	171456573	172501371	642	0.0301
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	172503796	172507492	7	1.3123
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	172519981	176396162	2255	0.0251
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	176397097	176397125	2	-1.3001
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	176398906	182647519	4632	0.0205
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	182650187	182652615	6	-0.9806
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	182653219	188300104	3808	0.0166
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	188300206	188300270	3	2.4033
63b3543d-db01-4549-9b5f-f6f68115fdbb	4	188300285	190106768	1142	0.0019
63b3543d-db01-4549-9b5f-f6f68115fdbb	5	15532	685633	306	-0.0441
63b3543d-db01-4549-9b5f-f6f68115fdbb	5	698256	773432	26	-0.4716
63b3543d-db01-4549-9b5f-f6f68115fdbb	5	773453	62277545	38304	0.0081
63b3543d-db01-4549-9b5f-f6f68115fdbb	5	62279164	62280093	2	-1.7673
63b3543d-db01-4549-9b5f-f6f68115fdbb	5	62280446	176033084	71569	0.0141
63b3543d-db01-4549-9b5f-f6f68115fdbb	5	176038686	176042504	2	-2.1718
63b3543d-db01-4549-9b5f-f6f68115fdbb	5	176043321	178680821	1174	-0.0035
63b3543d-db01-4549-9b5f-f6f68115fdbb	5	178682974	178686162	3	-3.1851
