GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
265af9ca-8abd-4c8a-b657-88ae76237368	1	62920	3301765	734	0.0802
265af9ca-8abd-4c8a-b657-88ae76237368	1	3302046	5351373	1568	0.186
265af9ca-8abd-4c8a-b657-88ae76237368	1	5352157	5363571	11	0.915
265af9ca-8abd-4c8a-b657-88ae76237368	1	5364607	21011704	9236	0.2179
265af9ca-8abd-4c8a-b657-88ae76237368	1	21014234	21825156	433	-0.634
265af9ca-8abd-4c8a-b657-88ae76237368	1	21825701	21841723	6	-3.6102
265af9ca-8abd-4c8a-b657-88ae76237368	1	21841817	25120790	1879	-0.634
265af9ca-8abd-4c8a-b657-88ae76237368	1	25120898	29209764	1717	-0.5475
265af9ca-8abd-4c8a-b657-88ae76237368	1	29211923	39897382	6145	-0.6565
265af9ca-8abd-4c8a-b657-88ae76237368	1	39905075	55663431	9046	0.2492
265af9ca-8abd-4c8a-b657-88ae76237368	1	55663693	60597975	3753	0.1969
265af9ca-8abd-4c8a-b657-88ae76237368	1	60600727	64685914	2952	0.2329
265af9ca-8abd-4c8a-b657-88ae76237368	1	64688825	64704590	18	0.8835
265af9ca-8abd-4c8a-b657-88ae76237368	1	64704722	72293529	5123	0.2139
265af9ca-8abd-4c8a-b657-88ae76237368	1	72293826	72345465	53	0.7098
265af9ca-8abd-4c8a-b657-88ae76237368	1	72346221	77411074	3300	0.1954
265af9ca-8abd-4c8a-b657-88ae76237368	1	77416084	77430632	12	0.8465
265af9ca-8abd-4c8a-b657-88ae76237368	1	77430670	78323769	449	0.2144
265af9ca-8abd-4c8a-b657-88ae76237368	1	78323890	78324107	2	-1.9153
265af9ca-8abd-4c8a-b657-88ae76237368	1	78329348	78627370	179	0.2107
265af9ca-8abd-4c8a-b657-88ae76237368	1	78633284	88182983	6410	-0.6883
265af9ca-8abd-4c8a-b657-88ae76237368	1	88196589	98636043	6468	0.1791
265af9ca-8abd-4c8a-b657-88ae76237368	1	98638624	101701060	2013	-0.6929
265af9ca-8abd-4c8a-b657-88ae76237368	1	101707063	103621165	1131	0.1716
265af9ca-8abd-4c8a-b657-88ae76237368	1	103697067	103760781	5	1.7841
265af9ca-8abd-4c8a-b657-88ae76237368	1	103760879	105476583	916	0.1613
265af9ca-8abd-4c8a-b657-88ae76237368	1	105476614	105479753	16	0.9672
265af9ca-8abd-4c8a-b657-88ae76237368	1	105481433	108083403	1856	0.1331
265af9ca-8abd-4c8a-b657-88ae76237368	1	108088086	108126955	47	0.6493
265af9ca-8abd-4c8a-b657-88ae76237368	1	108127405	110833598	1579	0.1997
265af9ca-8abd-4c8a-b657-88ae76237368	1	110834746	110845604	39	-0.576
265af9ca-8abd-4c8a-b657-88ae76237368	1	110849445	112147704	1071	0.1467
265af9ca-8abd-4c8a-b657-88ae76237368	1	112153343	112163440	28	0.7127
265af9ca-8abd-4c8a-b657-88ae76237368	1	112163460	152583051	7589	0.1676
265af9ca-8abd-4c8a-b657-88ae76237368	1	152583230	152614118	35	-2.0894
265af9ca-8abd-4c8a-b657-88ae76237368	1	152618018	152790414	182	0.1451
265af9ca-8abd-4c8a-b657-88ae76237368	1	152790427	152801429	23	-0.5021
265af9ca-8abd-4c8a-b657-88ae76237368	1	152804279	153078040	206	0.1329
265af9ca-8abd-4c8a-b657-88ae76237368	1	153078071	162059501	5356	0.1893
265af9ca-8abd-4c8a-b657-88ae76237368	1	162059573	167775080	4567	0.1253
265af9ca-8abd-4c8a-b657-88ae76237368	1	167775458	167916800	113	-0.7177
265af9ca-8abd-4c8a-b657-88ae76237368	1	167929011	169247699	1021	0.1453
265af9ca-8abd-4c8a-b657-88ae76237368	1	169264736	169272528	7	1.1232
265af9ca-8abd-4c8a-b657-88ae76237368	1	169273163	194479104	16705	0.1057
265af9ca-8abd-4c8a-b657-88ae76237368	1	194482281	194485888	2	-2.4048
265af9ca-8abd-4c8a-b657-88ae76237368	1	194487886	196745743	1450	0.08
265af9ca-8abd-4c8a-b657-88ae76237368	1	196758720	196843400	60	0.7048
265af9ca-8abd-4c8a-b657-88ae76237368	1	196846661	208070013	7207	0.102
265af9ca-8abd-4c8a-b657-88ae76237368	1	208070208	209897717	1555	0.0482
265af9ca-8abd-4c8a-b657-88ae76237368	1	209908268	209910639	3	-2.0812
265af9ca-8abd-4c8a-b657-88ae76237368	1	209913207	234449488	16759	0.0585
265af9ca-8abd-4c8a-b657-88ae76237368	1	234449795	235089318	474	0.1253
265af9ca-8abd-4c8a-b657-88ae76237368	1	235092598	240526651	4153	0.574
265af9ca-8abd-4c8a-b657-88ae76237368	1	240530702	248930189	5581	0.0869
265af9ca-8abd-4c8a-b657-88ae76237368	2	12784	46051812	32609	0.1301
265af9ca-8abd-4c8a-b657-88ae76237368	2	46058161	46357805	268	-0.7672
265af9ca-8abd-4c8a-b657-88ae76237368	2	46361273	52527727	4215	0.1371
265af9ca-8abd-4c8a-b657-88ae76237368	2	52527743	52554188	27	-0.4668
265af9ca-8abd-4c8a-b657-88ae76237368	2	52554236	66544868	9073	0.116
265af9ca-8abd-4c8a-b657-88ae76237368	2	66551160	66569873	18	0.729
265af9ca-8abd-4c8a-b657-88ae76237368	2	66572404	72817787	4077	0.1252
265af9ca-8abd-4c8a-b657-88ae76237368	2	72818862	73131416	135	0.6562
265af9ca-8abd-4c8a-b657-88ae76237368	2	73138760	75673897	1605	0.1629
265af9ca-8abd-4c8a-b657-88ae76237368	2	75674542	84543287	5715	0.1019
265af9ca-8abd-4c8a-b657-88ae76237368	2	84545534	86901078	1332	0.1718
265af9ca-8abd-4c8a-b657-88ae76237368	2	86902080	86910262	2	-2.593
265af9ca-8abd-4c8a-b657-88ae76237368	2	86934730	87207935	39	-0.038
265af9ca-8abd-4c8a-b657-88ae76237368	2	87208114	87218834	4	-1.4497
265af9ca-8abd-4c8a-b657-88ae76237368	2	87221597	97359885	1818	0.1516
265af9ca-8abd-4c8a-b657-88ae76237368	2	97524284	97545726	9	-0.978
265af9ca-8abd-4c8a-b657-88ae76237368	2	97550415	106263639	5560	0.1352
265af9ca-8abd-4c8a-b657-88ae76237368	2	106264257	106268901	11	1.1729
265af9ca-8abd-4c8a-b657-88ae76237368	2	106270799	130036283	14266	0.1216
265af9ca-8abd-4c8a-b657-88ae76237368	2	130036310	130116915	13	-0.8141
265af9ca-8abd-4c8a-b657-88ae76237368	2	130117303	177870138	29040	0.114
265af9ca-8abd-4c8a-b657-88ae76237368	2	177879338	183220725	3331	0.6434
265af9ca-8abd-4c8a-b657-88ae76237368	2	183221060	183224996	9	-0.878
265af9ca-8abd-4c8a-b657-88ae76237368	2	183229270	201675939	10517	0.6667
265af9ca-8abd-4c8a-b657-88ae76237368	2	201676308	202886325	649	0.1749
265af9ca-8abd-4c8a-b657-88ae76237368	2	202889228	217496010	9460	-0.7308
265af9ca-8abd-4c8a-b657-88ae76237368	2	217496898	242147305	15504	0.1242
265af9ca-8abd-4c8a-b657-88ae76237368	3	20930	182919	153	0.0337
265af9ca-8abd-4c8a-b657-88ae76237368	3	188339	191117	4	-2.4651
265af9ca-8abd-4c8a-b657-88ae76237368	3	193194	2926956	2380	0.1118
265af9ca-8abd-4c8a-b657-88ae76237368	3	2927375	2931355	5	-1.5248
265af9ca-8abd-4c8a-b657-88ae76237368	3	2933398	23198566	14881	0.1456
265af9ca-8abd-4c8a-b657-88ae76237368	3	23199180	41358131	12505	0.0361
265af9ca-8abd-4c8a-b657-88ae76237368	3	41360715	46008216	2720	0.1594
265af9ca-8abd-4c8a-b657-88ae76237368	3	46008344	46010221	2	-2.3449
265af9ca-8abd-4c8a-b657-88ae76237368	3	46010251	47437019	788	0.2181
265af9ca-8abd-4c8a-b657-88ae76237368	3	47450332	47451230	2	-2.533
265af9ca-8abd-4c8a-b657-88ae76237368	3	47455724	49814408	871	0.2173
265af9ca-8abd-4c8a-b657-88ae76237368	3	49818239	52997720	1344	-0.6777
265af9ca-8abd-4c8a-b657-88ae76237368	3	52997734	53004746	28	0.0425
265af9ca-8abd-4c8a-b657-88ae76237368	3	53004757	53661498	415	-0.7317
265af9ca-8abd-4c8a-b657-88ae76237368	3	53662261	53666733	4	-3.4214
265af9ca-8abd-4c8a-b657-88ae76237368	3	53668221	83147508	20690	-0.7535
