GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	3301765	4542973	775	-0.3222
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	4543264	4545362	4	-4.5687
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	4545869	11749788	3858	-0.2436
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	11750787	11756035	4	-4.7675
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	11761718	13925002	828	-0.2164
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	13925752	13928255	6	-4.7138
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	13928715	18406486	2530	-0.2354
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	18406623	18410739	10	-2.7867
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	18411286	24254660	3177	-0.193
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	24254787	24255003	4	-4.7032
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	24255672	29439132	2116	-0.1882
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	29439544	29439637	3	-5.3628
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	29442439	30101311	466	-0.243
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	30105747	30105771	2	-5.8371
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	30106075	30411499	213	-0.2049
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	30412590	30414799	4	-4.5023
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	30415047	31448330	553	-0.2873
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	31449015	32929462	579	0.5698
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	32934779	33003673	21	-0.4217
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	33004159	33840918	526	0.5995
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	33842129	33842504	3	-2.0508
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	33842704	35061077	773	0.5713
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	35061216	36230923	477	0.2693
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	36233169	36288941	34	0.6885
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	36294443	36317391	8	1.0791
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	36321787	36535284	114	0.2961
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	36535528	36536322	3	-3.2588
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	36537412	42004014	2999	0.3091
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	42004603	42005270	2	-3.4938
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	42006203	42894704	482	0.3194
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	42900832	42903634	8	-2.463
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	42904016	55038977	6211	0.2792
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	55042283	55048858	7	-2.5183
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	55050064	64698026	6881	0.3036
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	64698654	64699330	3	-4.1503
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	64700620	68284332	2625	0.3423
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	68286694	73384200	2635	0.2397
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	73384917	85999298	7522	0.101
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	86000053	86003852	3	-3.5717
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	86004137	88160195	1382	0.0864
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	88164091	88166738	6	-5.5551
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	88168381	94110044	3377	0.0977
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	94110804	94111906	3	-4.6364
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	94112141	94881103	560	0.1545
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	94881274	94881724	2	-5.9581
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	94882113	101368199	3881	0.1006
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	101368524	101376766	8	-2.2285
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	101377110	106747410	2649	0.0865
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	106747615	106749146	2	-5.4334
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	106751579	107178807	279	0.0893
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	107184296	107185675	3	-4.3842
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	107186009	111536104	2511	0.0824
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	111536123	111539942	8	-2.8471
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	111540148	158039234	9093	0.0838
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	158039544	158040036	3	-4.3117
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	158040092	159832179	1174	-0.0007
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	159833212	159842308	6	-3.68
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	159842910	162349961	1485	0.0946
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	162350216	162358752	6	-3.5901
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	162359781	164927184	1859	0.1335
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	164931759	164933991	4	-5.1824
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	164936106	205347342	24981	0.0825
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	205347394	205349855	6	-3.3209
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	205351273	217813252	8109	0.0704
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	217813619	217815642	6	-3.3638
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	1	217817199	247650984	18466	0.0609
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	480597	648863	146	-0.0348
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	650647	659443	13	-2.3628
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	659958	3646149	1093	-0.1315
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	3647242	3655800	11	-2.5445
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	3655853	3875579	205	-0.2239
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	3876016	3876759	3	-4.5518
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	3877134	4237380	256	-0.1005
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	4237769	4240182	4	-3.9011
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	4242220	4243737	8	-0.3119
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	4248453	8136430	2760	-0.047
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	8139072	8143879	5	-3.7752
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	8144201	10886827	1836	-0.0364
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	10888868	10890930	7	-3.4074
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	10891304	12484626	1166	-0.0097
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	12484907	12485871	4	-5.3787
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	12487713	12625904	84	0.1492
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	12634203	12636177	3	-3.3036
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	12636209	13696044	570	-0.0316
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	13697059	13703293	5	-5.1203
2d32a4ba-d5da-4f17-915c-ac1c1bceac01	2	13706083	19000803	3504	-0.0619
