GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	62920	668210	21	-0.1791
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	771719	3339544	739	-0.9445
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	3339638	3345118	3	-5.6744
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	3350785	9211971	3813	-0.9667
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	9214387	9394008	122	-0.2104
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	9394038	15827041	3579	-0.1084
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	15827259	15827430	4	-1.9869
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	15827706	16909373	379	-0.1327
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	16909713	16935737	33	-0.7843
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	16935752	16973488	14	0.0519
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	16973678	16976074	3	-1.3416
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	16977349	19541552	1849	-0.1388
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	19546151	19720693	107	0.3403
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	19721939	25256800	3290	-0.1063
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	25256850	25376228	44	0.4101
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	25376293	32951303	3761	-0.1086
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	32954809	32955273	2	-3.311
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	32955860	46044681	7524	-0.1293
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	46046603	46048154	2	2.9511
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	46053881	47487514	741	-0.1171
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	47488839	47599666	99	-0.1785
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	47605484	47605505	2	-2.9189
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	47605676	48371665	560	-0.1901
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	48376143	48378940	2	2.1164
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	48379809	50479191	1119	-0.192
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	50481363	55292134	2677	-0.1303
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	55292269	61648334	4922	-0.1858
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	61649279	61652515	2	-3.1912
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	61654137	72186148	7216	-0.1818
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	72187750	72194438	4	-1.547
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	72195235	72284670	59	-0.1874
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	72290430	72297687	9	-3.4359
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	72302735	72345465	48	1.4033
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	72346221	73987877	1008	-0.2002
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	73989590	73990061	2	-1.8335
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	73992813	74720685	435	-0.1955
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	74721817	74723534	2	2.0547
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	74725098	74803600	61	-0.2144
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	74805388	74808182	2	1.7862
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	74808303	76257617	953	-0.1846
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	76257732	76258967	3	-2.0122
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	76259408	86925554	7002	-0.1972
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	86930149	87094985	83	-0.7524
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	87106786	91695400	3121	-0.1824
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	91696434	91697227	2	-2.4439
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	91698335	99950769	5130	-0.1833
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	99953916	102197851	1472	0.546
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	102198253	102861713	409	0.7391
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	102865047	104153553	560	0.967
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	104156571	105079911	490	0.8107
a3ec404c-0806-48eb-b3ac-2a5e759748b1	1	105080318	105080931	2	2.9166
