GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cf272587-883b-4844-a81e-46fca956cc66	1	3301765	16284567	7236	0.1426
cf272587-883b-4844-a81e-46fca956cc66	1	16291191	16304450	13	-0.5685
cf272587-883b-4844-a81e-46fca956cc66	1	16306844	16341046	12	0.7234
cf272587-883b-4844-a81e-46fca956cc66	1	16342438	19044494	1533	0.1573
cf272587-883b-4844-a81e-46fca956cc66	1	19045592	19047094	2	-1.2569
cf272587-883b-4844-a81e-46fca956cc66	1	19050000	21741415	1604	0.1597
cf272587-883b-4844-a81e-46fca956cc66	1	21741766	29937655	3858	-0.1479
cf272587-883b-4844-a81e-46fca956cc66	1	29941204	31102573	722	-0.2235
cf272587-883b-4844-a81e-46fca956cc66	1	31104540	32653992	674	-0.1734
cf272587-883b-4844-a81e-46fca956cc66	1	32658838	78145185	27259	0.1778
cf272587-883b-4844-a81e-46fca956cc66	1	78157045	78157207	2	-1.2153
cf272587-883b-4844-a81e-46fca956cc66	1	78157796	78357244	115	0.1809
cf272587-883b-4844-a81e-46fca956cc66	1	78357793	83559828	3043	0.2241
cf272587-883b-4844-a81e-46fca956cc66	1	83559881	103524378	12291	0.1906
cf272587-883b-4844-a81e-46fca956cc66	1	103793015	112892587	5322	-0.1561
cf272587-883b-4844-a81e-46fca956cc66	1	112894488	113127557	150	0.1061
cf272587-883b-4844-a81e-46fca956cc66	1	113133688	118254579	3199	-0.1691
cf272587-883b-4844-a81e-46fca956cc66	1	118256816	118358085	76	0.4649
cf272587-883b-4844-a81e-46fca956cc66	1	118364882	119984772	960	-0.1528
cf272587-883b-4844-a81e-46fca956cc66	1	146716041	162521519	6868	0.3931
cf272587-883b-4844-a81e-46fca956cc66	1	162526962	163414403	736	0.6031
cf272587-883b-4844-a81e-46fca956cc66	1	163415319	170898126	5560	0.4049
cf272587-883b-4844-a81e-46fca956cc66	1	170899468	171102742	109	0.6278
cf272587-883b-4844-a81e-46fca956cc66	1	171109428	184853395	8547	0.402
cf272587-883b-4844-a81e-46fca956cc66	1	184853574	184956068	68	0.0957
cf272587-883b-4844-a81e-46fca956cc66	1	184959033	184980148	16	0.4119
