GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	3301765	17932749	7910	-0.779
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	17937016	24449763	3907	0.1164
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	24450307	29233101	1924	0.0622
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	29235048	37880791	4804	0.1052
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	37884283	62242667	14538	0.0643
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	62247574	62558042	199	0.1219
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	62559004	99006969	22414	0.0206
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	99011960	99017164	5	-0.933
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	99021329	102396958	2135	0.0072
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	102397230	102397235	2	-1.66
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	102397291	115055947	7133	0.0187
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	115057460	119984772	3172	0.0637
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	146716041	151613299	627	0.4901
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	151614064	158087901	3457	0.5416
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	158090139	161985968	2327	0.5086
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	161985985	166393414	3496	0.5575
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	166397630	176540952	6396	0.5206
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	176541594	179108984	1611	0.5758
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	179109084	184873319	3937	0.5337
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	184874356	192480803	4422	0.4875
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	192486407	192496811	9	-0.6817
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	192509744	200045222	4410	0.487
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	200045662	216549508	11068	0.5491
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	216551776	216551790	2	-0.8333
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	216555419	226521310	6276	0.5237
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	226523169	234462930	5313	0.5597
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	234467181	236815934	1460	0.5175
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	236816111	236816171	2	-0.7059
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	236820368	237210749	340	0.5668
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	237211191	244362608	5134	0.519
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	1	244363522	247650984	1377	0.5633
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	480597	12428777	7734	0.0009
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	12428870	14266415	1039	-0.0704
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	14269087	32298100	11058	-0.0131
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	32300777	36196133	1731	-0.1036
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	36201931	36221602	22	-0.8733
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	36222450	42269387	3534	-0.105
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	42273491	42278162	5	-0.9957
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	42279074	50538737	5313	-0.09
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	50538869	50539645	2	-1.7094
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	50539850	58770577	4144	-0.1022
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	58770869	70377868	6961	-0.1411
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	70378447	84674731	7764	-0.0054
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	84675084	105558192	6962	0.0381
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	105558202	105562358	3	-1.1609
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	105562942	109230288	2182	0.0427
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	109235745	109498460	196	0.1449
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	109499099	120203445	4974	0.0263
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	120208138	122195574	1173	0.1146
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	122198954	123994662	1073	0.0018
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	123995841	134773432	4873	0.0644
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	134774185	144144046	5243	-0.0022
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	144144133	147169530	1574	-0.0498
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	147169845	161843663	8641	0.0069
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	161843693	165034223	1703	-0.0362
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	165034330	180314076	9625	0.0095
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	180316727	198890020	9060	-0.021
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	198897871	213794862	8675	-0.0007
64c61d5d-6be8-48e4-a111-3eb9a72f9efc	2	213799063	220248449	4018	0.0354
