GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	62920	15823420	8335	0.186
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	15827002	15827706	7	1.186
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	15827744	16883108	362	0.166
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	16884157	16949746	51	0.6294
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	16951445	24231512	4588	0.1833
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	24231570	25132208	582	0.1097
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	25132863	25134110	21	0.5351
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	25135588	25266637	60	0.1979
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	25269390	25320198	21	-0.4383
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	25320253	29197040	1596	0.1227
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	29198050	30251780	778	0.2047
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	30253727	30266949	17	-0.4397
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	30268649	71596101	25897	0.1824
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	71596133	71825491	153	-0.0207
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	71830487	71862119	12	-0.5389
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	71863357	72014325	79	-0.0559
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	72015106	72297687	182	0.1718
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	72302735	72346221	49	-0.9555
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	72346757	107111598	22037	0.1629
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	107112980	107122811	12	-0.7497
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	107122827	109684893	1542	0.1823
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	109690352	109702376	14	1.6653
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	109703504	110789023	799	0.153
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	110789384	110859267	94	0.4207
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	110860873	119958587	6095	0.1873
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	119959089	148982423	1132	0.3603
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	148982581	150698008	403	0.2332
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	150698922	150704541	13	0.7748
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	150705243	151357716	275	0.1651
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	151358828	151457007	80	0.4474
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	151460657	152444433	560	0.2552
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	152445096	152583051	119	0.3442
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	152583230	152613762	31	-1.4393
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	152613802	161994000	5726	0.2675
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	161994746	162897054	750	0.2983
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	162897125	165535611	2185	0.332
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	165535675	174826800	6343	0.28
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	174827128	174832902	23	0.7537
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	174832996	183358695	5794	0.3029
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	183358731	189679027	4096	0.2644
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	189679353	189679397	2	-1.6416
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	189682917	196724321	4714	0.2531
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	196727607	196854586	85	0.6157
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	196854706	197007448	98	0.4038
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	197014101	199138574	1269	0.2394
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	199142235	199143396	7	-0.7583
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	199143883	209897717	7396	0.2819
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	209908268	209910639	3	-1.4798
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	209913207	233390216	15891	0.2817
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	233390445	240228440	5248	0.3594
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	240230715	240230839	6	1.2729
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	240232805	240253883	13	0.3935
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	240256287	244479927	3026	0.307
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	244480961	248546369	2635	0.3847
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	248550567	248645563	36	0.9508
ecf278dc-02fe-48ca-82ac-14f7a013aba1	1	248645808	248930189	140	0.3948
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	12784	4158097	2987	-0.1724
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	4166274	4182472	43	-1.0591
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	4187192	24372459	14881	-0.1795
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	24373943	24401291	48	0.1737
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	24404365	26973431	1268	-0.1905
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	26973920	27040442	36	0.1358
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	27046727	28588210	752	0.3806
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	28588264	34295406	3960	0.1592
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	34298911	34300513	2	-1.9655
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	34300900	34474248	96	0.1473
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	34476327	34517969	54	0.7381
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	34521390	35750907	860	0.1328
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	35752724	35762850	6	1.1326
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	35762881	38729805	2300	0.1425
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	38737321	38753905	10	0.8677
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	38754420	40105711	839	0.1511
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	40108270	40109500	4	-3.1447
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	40110927	52527423	8967	0.1518
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	52527590	52554404	36	0.8435
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	52560811	78473831	16761	0.141
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	78474950	78494776	14	-0.8328
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	78498405	79406753	649	0.1622
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	79407783	95495952	5798	0.3818
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	95501234	96389857	262	0.5395
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	96393291	96397360	3	1.9041
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	96397782	97065396	275	0.5566
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	97067046	97139934	26	0.9357
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	97141095	97359885	49	0.4214
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	97524284	97573686	19	1.0688
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	97587406	98223375	315	0.5559
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	98226212	98245990	23	0.3611
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	98246277	107654183	6101	0.162
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	107656919	107660617	2	-1.357
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	107663810	107823834	116	0.1652
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	107824280	107864451	3	2.0439
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	107875632	140605720	19431	0.1708
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	140606518	141994414	995	0.0036
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	141994441	144939635	1681	0.0997
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	144939928	144952152	5	-0.3549
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	144952230	172246622	16474	0.1576
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	172248415	172251555	11	-0.8768
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	172252782	207486030	21168	0.1433
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	207490188	207494836	21	-0.4008
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	207495072	212297575	3008	0.1628
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	212297623	212328238	61	0.4294
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	212328300	224643211	8034	0.1636
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	224646644	224653265	12	-0.9038
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	224657849	234554868	6267	0.1371
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	234558366	236721215	1446	0.2061
ecf278dc-02fe-48ca-82ac-14f7a013aba1	2	236721671	242147305	3234	0.1567
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	20930	35639	17	0.122
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	43533	145692	102	-0.2359
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	147133	182919	34	0.1684
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	188339	190956	3	-2.8837
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	191117	6604856	5652	-0.038
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	6609441	6611645	23	-1.1476
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	6613391	7707732	980	-0.0479
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	7711347	8026732	283	-0.3788
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	8027884	9593787	1245	0.0193
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	9593879	53005263	27387	-0.0487
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	53005439	59552044	4366	-0.0121
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	59552554	59553252	2	-2.8777
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	59554058	60401132	964	-0.0791
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	60401208	65202778	4216	0.0006
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	65203560	65214027	31	-1.1882
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	65214192	65221229	11	-0.0057
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	65221269	65224777	10	-1.2481
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	65230674	66907044	1215	0.022
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	66910230	91462299	14279	-0.0452
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	93800634	93851254	22	2.4082
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	93856804	94021848	65	1.4765
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	94025089	94226916	77	1.0901
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	94244368	94541193	174	1.3984
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	94541789	95230906	338	-0.0712
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	95231345	95737262	319	1.4506
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	95748036	95749266	2	-3.304
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	95749836	95787783	22	1.0702
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	95789820	96306948	252	1.4718
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	96309778	96704530	208	1.2357
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	96707936	96828567	65	1.476
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	96829012	97361170	247	1.1181
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	97363479	99225614	1052	-0.0676
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	99225632	99230470	36	-0.854
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	99230577	116261291	10265	-0.0666
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	116262596	116657625	313	-0.3864
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	116659939	116663562	5	-1.2442
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	116666438	116853733	200	-0.4303
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	116854145	117046381	139	-0.9303
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	117046440	117168915	111	-0.4074
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	117171351	143732564	16205	-0.0352
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	143737540	143793446	39	1.7213
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	143793895	144286806	267	1.4367
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	144287715	144459490	98	0.765
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	144460692	144473668	13	1.5731
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	144476065	152005104	4786	-0.0582
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	152005234	152629338	394	0.2545
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	152629405	152634908	35	0.5637
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	152635486	154789970	1271	0.2515
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	154791011	155139327	167	-0.0677
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	155141115	155475665	230	0.2644
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	155478406	155602345	54	0.5222
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	155602728	155887482	156	0.2125
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	155887808	156582401	447	0.6387
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	156586611	156672126	63	0.4202
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	156672158	157119117	256	0.6601
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	157122349	157573982	290	0.8447
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	157574213	158679479	603	0.5584
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	158684154	159612825	627	0.3706
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	159613216	161182917	906	0.1174
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	161184823	161899630	459	-0.0254
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	161903070	162117641	149	0.3207
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	162118109	162420319	180	-0.0262
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	162424695	162424917	6	0.8408
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	162426460	162790404	257	-0.0811
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	162790480	162908207	71	0.8511
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	162908784	163612775	389	0.314
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	163613531	168176044	2543	-0.0491
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	168179080	169879120	1107	1.6413
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	169879398	175360729	3610	1.5214
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	175362803	175363536	7	-0.4333
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	175368999	179443190	2593	1.534
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	179445732	180320092	533	1.3965
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	180320209	182860872	1338	1.2433
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	182869433	182935475	34	1.6567
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	182937400	183506315	356	1.2342
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	183506490	187435946	2463	1.3369
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	187436078	188605805	938	1.2475
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	188608081	190017054	1019	1.3617
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	190017112	191384138	957	1.2698
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	191384508	193160113	1266	1.4004
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	193160173	193165114	19	2.7846
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	193168646	193702968	355	1.4683
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	193703068	195462518	1107	1.3554
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	195465422	195720051	47	1.6986
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	195728637	195729069	6	0.7404
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	195729085	195768362	19	1.8186
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	195768450	195847245	35	1.2019
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	195855609	196019900	55	1.5997
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	196019942	196704813	343	1.2168
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	196705106	198011040	632	1.3792
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	198016312	198107699	68	1.5883
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	198107849	198108134	3	-0.1753
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	198108567	198111566	7	1.3985
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	198118345	198122834	9	-0.5291
ecf278dc-02fe-48ca-82ac-14f7a013aba1	3	198124354	198169247	8	0.6556
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	68929	4608452	1970	-0.1046
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	4608960	5269378	539	0.0125
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	5271243	5741326	415	-0.0645
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	5743552	5744578	7	-0.8876
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	5745425	9444321	2219	-0.0784
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	9445117	9477699	11	-0.8709
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	9484440	10207627	531	-0.093
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	10208245	10229433	34	0.3892
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	10229469	10397663	190	-0.059
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	10397677	10417046	26	-0.6016
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	10429107	10516901	67	0.2683
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	10523047	15028497	3591	-0.6058
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	15029773	15030857	2	-2.6698
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	15031662	16429464	1022	-0.5898
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	16429706	18595114	1505	-0.0762
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	18603979	18783500	134	-0.5324
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	18785401	20037970	747	-0.0761
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	20040481	20304156	160	-0.5286
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	20308103	20560665	167	-0.0903
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	20560857	20560932	3	0.9479
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	20561062	20677241	79	-0.0602
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	20686988	20796242	76	-0.5639
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	20798121	21370678	442	-0.097
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	21370726	21383586	13	0.4495
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	21383631	21763138	320	-0.0881
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	21765364	22777717	716	-0.5408
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	22783669	23580858	506	-0.1204
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	23581379	23585842	3	-1.2916
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	23586373	25817481	1625	-0.09
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	25818789	29073232	2094	-0.6268
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	29073844	29094287	11	-1.6467
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	29100400	29630596	399	-0.632
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	29630685	29634484	2	1.4768
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	29634908	30948339	801	-0.6164
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	30951925	30979488	14	0.4332
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	30982647	32028439	660	-0.5908
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	32035303	34768684	1586	-0.1372
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	34771893	34839820	59	0.3645
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	34839861	39697775	3297	-0.1316
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	39699074	42342034	1631	-0.0616
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	42342173	48100626	3393	-0.1218
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	48105441	48192033	163	0.077
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	48192066	59570588	5607	-0.0963
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	59577276	60461594	545	0.2367
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	60464276	60465899	2	1.7115
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	60469846	60483928	21	0.3185
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	60485425	61071220	373	-0.1136
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	61075217	61076234	2	1.3959
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	61079968	62669911	869	-0.1248
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	62670742	62802116	70	-0.5859
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	62804218	62805944	8	-1.9127
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	62813912	63275560	241	-0.6318
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	63275682	63281375	3	0.4391
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	63285942	63839481	320	-0.5931
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	63839590	63839810	5	0.4893
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	63839893	64699251	491	-0.5813
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	64707774	67543996	1861	-0.1137
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	67544895	68006310	307	-0.6364
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	68011804	68045735	19	-0.1552
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	68047142	68096796	32	-0.7028
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	68097040	68156029	35	-0.0818
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	68159512	68236813	36	-0.5785
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	68246701	68655691	167	-0.0478
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	68663241	69261926	312	-0.6111
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	69261934	69366081	53	-1.9038
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	69366304	107130169	22843	-0.6006
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	107130343	107154866	35	-0.0731
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	107154967	107583477	293	-0.5994
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	107587491	107588658	2	-2.6501
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	107588998	111427037	2300	-0.5985
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	111427187	111469313	39	-0.1944
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	111471933	114252456	1765	-0.6158
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	114252472	114260754	25	0.0545
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	114261019	129141596	8714	-0.5999
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	129146391	129147005	2	-2.747
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	129151408	137258291	4604	-0.6011
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	137261279	137262454	25	0.0078
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	137262509	143803133	4266	-0.6139
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	143805010	143805016	6	0.4217
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	143815907	147419781	1938	-0.5868
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	147421765	147432130	5	-1.6268
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	147432271	150937273	1993	-0.5962
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	150937352	150963158	41	-0.1962
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	150964975	161025607	6401	-0.5961
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	161031076	161082114	43	0.3293
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	161085672	163361933	1471	-0.6105
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	163365512	163367371	2	-4.0446
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	163367386	177675377	8806	-0.6112
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	177675391	177680500	27	-0.0874
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	177680710	180908737	2338	-0.6219
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	180908944	181188548	189	-1.526
ecf278dc-02fe-48ca-82ac-14f7a013aba1	4	181191192	181207781	18	-3.7088
