GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
da040b34-361d-4d3c-9ea1-e9964b67f19b	1	3301765	47769394	23873	-0.0333
da040b34-361d-4d3c-9ea1-e9964b67f19b	1	47771075	119984772	44291	-0.0464
da040b34-361d-4d3c-9ea1-e9964b67f19b	1	146716041	195673786	28275	0.6811
da040b34-361d-4d3c-9ea1-e9964b67f19b	1	195675499	195677918	2	-0.772
da040b34-361d-4d3c-9ea1-e9964b67f19b	1	195680112	247650984	33387	0.6818
da040b34-361d-4d3c-9ea1-e9964b67f19b	2	480597	205247720	110137	-0.0351
da040b34-361d-4d3c-9ea1-e9964b67f19b	2	205251064	205253760	5	-1.0907
da040b34-361d-4d3c-9ea1-e9964b67f19b	2	205257470	241537572	22123	-0.0368
da040b34-361d-4d3c-9ea1-e9964b67f19b	3	2170634	197812401	107225	-0.0494
da040b34-361d-4d3c-9ea1-e9964b67f19b	4	1059384	187842528	103559	-0.0604
da040b34-361d-4d3c-9ea1-e9964b67f19b	5	913983	127121923	68296	0.1724
da040b34-361d-4d3c-9ea1-e9964b67f19b	5	127122434	127122625	2	-1.3916
da040b34-361d-4d3c-9ea1-e9964b67f19b	5	127127947	180934240	32878	0.172
da040b34-361d-4d3c-9ea1-e9964b67f19b	6	1011760	170596889	97187	-0.2982
da040b34-361d-4d3c-9ea1-e9964b67f19b	7	664936	158592540	81997	0.3419
da040b34-361d-4d3c-9ea1-e9964b67f19b	8	667625	79180616	43917	0.1725
da040b34-361d-4d3c-9ea1-e9964b67f19b	8	79181335	79183827	2	-1.1064
da040b34-361d-4d3c-9ea1-e9964b67f19b	8	79183895	144182542	38367	0.1695
da040b34-361d-4d3c-9ea1-e9964b67f19b	9	789794	138044505	68523	-0.0781
da040b34-361d-4d3c-9ea1-e9964b67f19b	10	366509	43029180	26588	-0.0487
da040b34-361d-4d3c-9ea1-e9964b67f19b	10	43029253	43030294	2	-1.8997
da040b34-361d-4d3c-9ea1-e9964b67f19b	10	43030575	108447525	38424	-0.0531
da040b34-361d-4d3c-9ea1-e9964b67f19b	10	108448447	108448493	2	-1.7293
da040b34-361d-4d3c-9ea1-e9964b67f19b	10	108449009	133411599	16319	-0.0523
da040b34-361d-4d3c-9ea1-e9964b67f19b	11	456012	123124371	69953	0.124
da040b34-361d-4d3c-9ea1-e9964b67f19b	11	123124571	123126116	3	-0.8824
da040b34-361d-4d3c-9ea1-e9964b67f19b	11	123130376	134272740	7668	0.1313
da040b34-361d-4d3c-9ea1-e9964b67f19b	12	780472	132605822	74385	-0.0503
da040b34-361d-4d3c-9ea1-e9964b67f19b	13	18874255	45011276	16575	-0.3341
da040b34-361d-4d3c-9ea1-e9964b67f19b	13	45011903	92701580	26293	-0.3151
da040b34-361d-4d3c-9ea1-e9964b67f19b	13	92701839	114226675	14142	-0.3342
da040b34-361d-4d3c-9ea1-e9964b67f19b	14	20033191	48861820	14842	-0.0415
da040b34-361d-4d3c-9ea1-e9964b67f19b	14	48864091	48865531	3	-1.3095
da040b34-361d-4d3c-9ea1-e9964b67f19b	14	48868229	105533894	34970	-0.0368
da040b34-361d-4d3c-9ea1-e9964b67f19b	15	23437561	57235524	18137	-0.3141
da040b34-361d-4d3c-9ea1-e9964b67f19b	15	57235888	57291103	27	0.0372
da040b34-361d-4d3c-9ea1-e9964b67f19b	15	57296832	101344124	26632	-0.3143
da040b34-361d-4d3c-9ea1-e9964b67f19b	16	603333	31841585	14046	0.5509
da040b34-361d-4d3c-9ea1-e9964b67f19b	16	46470502	89317317	27177	-0.3425
da040b34-361d-4d3c-9ea1-e9964b67f19b	17	1074619	17534519	8381	-0.3281
da040b34-361d-4d3c-9ea1-e9964b67f19b	17	17536006	41197963	7713	0.0167
da040b34-361d-4d3c-9ea1-e9964b67f19b	17	41199837	63610240	11200	0.0847
da040b34-361d-4d3c-9ea1-e9964b67f19b	17	63611468	70765367	4185	0.0169
da040b34-361d-4d3c-9ea1-e9964b67f19b	17	70765684	82959812	5806	-0.3275
da040b34-361d-4d3c-9ea1-e9964b67f19b	18	326691	79349796	42991	0.1533
da040b34-361d-4d3c-9ea1-e9964b67f19b	19	283868	58370362	24166	-0.036
da040b34-361d-4d3c-9ea1-e9964b67f19b	20	472817	39405820	21214	-0.0404
da040b34-361d-4d3c-9ea1-e9964b67f19b	20	39410348	39413403	3	-1.066
da040b34-361d-4d3c-9ea1-e9964b67f19b	20	39417485	63588502	16356	-0.0401
da040b34-361d-4d3c-9ea1-e9964b67f19b	21	13974127	46262057	20600	-0.3154
da040b34-361d-4d3c-9ea1-e9964b67f19b	22	16934932	48940621	17097	-0.0352
da040b34-361d-4d3c-9ea1-e9964b67f19b	X	3236359	94708837	36288	0.0059
da040b34-361d-4d3c-9ea1-e9964b67f19b	X	94710356	94715815	5	-1.2453
da040b34-361d-4d3c-9ea1-e9964b67f19b	X	94719818	155677414	27711	-0.0007
