GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9a3028f7-af76-4aab-9797-250c05c798c0	1	62920	810533	27	-0.062
9a3028f7-af76-4aab-9797-250c05c798c0	1	812759	3302046	691	0.4108
9a3028f7-af76-4aab-9797-250c05c798c0	1	3302359	12832455	5680	0.0491
9a3028f7-af76-4aab-9797-250c05c798c0	1	12850124	12867264	6	-1.1285
9a3028f7-af76-4aab-9797-250c05c798c0	1	12868035	15707706	1718	0.0584
9a3028f7-af76-4aab-9797-250c05c798c0	1	15719614	15761822	23	0.5643
9a3028f7-af76-4aab-9797-250c05c798c0	1	15770261	16718963	381	0.0862
9a3028f7-af76-4aab-9797-250c05c798c0	1	16719082	16864367	20	-0.3791
9a3028f7-af76-4aab-9797-250c05c798c0	1	16868660	16997950	69	0.4815
9a3028f7-af76-4aab-9797-250c05c798c0	1	16999460	21991690	3256	0.0536
9a3028f7-af76-4aab-9797-250c05c798c0	1	21992508	22019085	11	0.9862
9a3028f7-af76-4aab-9797-250c05c798c0	1	22019154	30265657	4254	0.0643
9a3028f7-af76-4aab-9797-250c05c798c0	1	30265687	30266949	4	-1.2309
9a3028f7-af76-4aab-9797-250c05c798c0	1	30268649	30682974	346	0.034
9a3028f7-af76-4aab-9797-250c05c798c0	1	30689296	30793010	70	0.363
9a3028f7-af76-4aab-9797-250c05c798c0	1	30794326	41412940	5722	0.0407
9a3028f7-af76-4aab-9797-250c05c798c0	1	41413008	102257367	39059	0.0161
9a3028f7-af76-4aab-9797-250c05c798c0	1	102257426	102397230	119	-0.1902
9a3028f7-af76-4aab-9797-250c05c798c0	1	102397235	103697067	598	-0.0032
9a3028f7-af76-4aab-9797-250c05c798c0	1	103697364	103717410	2	3.3169
9a3028f7-af76-4aab-9797-250c05c798c0	1	103717617	108784438	3097	0.0107
9a3028f7-af76-4aab-9797-250c05c798c0	1	108785128	109684893	450	0.0608
9a3028f7-af76-4aab-9797-250c05c798c0	1	109690352	109697556	13	1.9116
9a3028f7-af76-4aab-9797-250c05c798c0	1	109702376	112147704	1931	0.0052
9a3028f7-af76-4aab-9797-250c05c798c0	1	112153343	112154768	25	0.7192
9a3028f7-af76-4aab-9797-250c05c798c0	1	112163334	121705338	5101	0.0141
9a3028f7-af76-4aab-9797-250c05c798c0	1	143459641	147101882	363	0.1737
9a3028f7-af76-4aab-9797-250c05c798c0	1	147103211	152583230	2049	0.0391
9a3028f7-af76-4aab-9797-250c05c798c0	1	152583291	152613762	30	2.2845
9a3028f7-af76-4aab-9797-250c05c798c0	1	152613802	152614118	4	1.0799
9a3028f7-af76-4aab-9797-250c05c798c0	1	152618018	152787202	166	-0.0115
9a3028f7-af76-4aab-9797-250c05c798c0	1	152789447	152796224	37	0.5598
9a3028f7-af76-4aab-9797-250c05c798c0	1	152801429	179354603	17719	0.0089
9a3028f7-af76-4aab-9797-250c05c798c0	1	179361393	179364180	4	-1.4912
