GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
299330bc-594b-43a2-b4df-72b668d3797a	1	3301765	3381074	56	0.3817
299330bc-594b-43a2-b4df-72b668d3797a	1	3381754	3460878	36	0.7465
299330bc-594b-43a2-b4df-72b668d3797a	1	3460987	7792859	2785	0.3425
299330bc-594b-43a2-b4df-72b668d3797a	1	7798075	8172565	200	0.7055
299330bc-594b-43a2-b4df-72b668d3797a	1	8177739	12630113	2115	0.351
299330bc-594b-43a2-b4df-72b668d3797a	1	12630869	12774437	93	0.1944
299330bc-594b-43a2-b4df-72b668d3797a	1	13468357	16471261	1912	-0.4713
299330bc-594b-43a2-b4df-72b668d3797a	1	16999460	27545109	5662	-0.1552
299330bc-594b-43a2-b4df-72b668d3797a	1	27546316	30667100	1698	-0.4652
299330bc-594b-43a2-b4df-72b668d3797a	1	30789158	52673628	11230	0.0837
299330bc-594b-43a2-b4df-72b668d3797a	1	52675998	54238029	976	0.564
299330bc-594b-43a2-b4df-72b668d3797a	1	54238095	64755973	7523	0.0916
299330bc-594b-43a2-b4df-72b668d3797a	1	64756159	71464285	4279	0.4737
299330bc-594b-43a2-b4df-72b668d3797a	1	71464602	75309542	2028	0.2396
299330bc-594b-43a2-b4df-72b668d3797a	1	75312343	91504050	10035	0.0475
299330bc-594b-43a2-b4df-72b668d3797a	1	91504778	93117338	802	0.2656
299330bc-594b-43a2-b4df-72b668d3797a	1	93125111	98937665	3484	0.0431
299330bc-594b-43a2-b4df-72b668d3797a	1	98939100	116548108	10369	-0.0747
299330bc-594b-43a2-b4df-72b668d3797a	1	116551600	119984772	2026	0.0011
299330bc-594b-43a2-b4df-72b668d3797a	1	146716041	154587538	2174	0.6824
299330bc-594b-43a2-b4df-72b668d3797a	1	154588218	155880767	594	0.7672
299330bc-594b-43a2-b4df-72b668d3797a	1	155888005	156989627	503	1.0142
299330bc-594b-43a2-b4df-72b668d3797a	1	156992704	159085866	1403	0.6297
299330bc-594b-43a2-b4df-72b668d3797a	1	159085932	160021832	608	0.9187
299330bc-594b-43a2-b4df-72b668d3797a	1	160024923	160260071	137	1.2384
299330bc-594b-43a2-b4df-72b668d3797a	1	160264107	160814400	384	0.8996
299330bc-594b-43a2-b4df-72b668d3797a	1	160816880	185756701	16341	0.6255
299330bc-594b-43a2-b4df-72b668d3797a	1	185758291	199442650	7970	0.55
299330bc-594b-43a2-b4df-72b668d3797a	1	199446083	201674609	1482	0.6381
299330bc-594b-43a2-b4df-72b668d3797a	1	201675624	202939306	706	0.9971
299330bc-594b-43a2-b4df-72b668d3797a	1	202939408	204413461	948	0.6914
299330bc-594b-43a2-b4df-72b668d3797a	1	204414328	205699966	947	1.0391
299330bc-594b-43a2-b4df-72b668d3797a	1	205702002	215351760	6437	0.6381
299330bc-594b-43a2-b4df-72b668d3797a	1	215353359	216484506	671	0.5623
299330bc-594b-43a2-b4df-72b668d3797a	1	216493016	216493379	2	-1.7867
299330bc-594b-43a2-b4df-72b668d3797a	1	216493522	220301859	2652	0.571
299330bc-594b-43a2-b4df-72b668d3797a	1	220302101	237083763	10522	0.6481
299330bc-594b-43a2-b4df-72b668d3797a	1	237084665	243666614	4713	0.5516
299330bc-594b-43a2-b4df-72b668d3797a	1	243670786	247650984	1857	0.6211
299330bc-594b-43a2-b4df-72b668d3797a	2	480597	489329	4	0.6463
299330bc-594b-43a2-b4df-72b668d3797a	2	494424	28328047	17124	0.0235
299330bc-594b-43a2-b4df-72b668d3797a	2	28328522	29569350	759	0.4373
299330bc-594b-43a2-b4df-72b668d3797a	2	29569751	48097668	10683	0.0497
299330bc-594b-43a2-b4df-72b668d3797a	2	48104418	59829313	6379	-0.0003
299330bc-594b-43a2-b4df-72b668d3797a	2	59829411	80342459	11466	0.0612
299330bc-594b-43a2-b4df-72b668d3797a	2	80347076	80377020	37	-0.4086
299330bc-594b-43a2-b4df-72b668d3797a	2	80382149	84053333	1949	0.0366
299330bc-594b-43a2-b4df-72b668d3797a	2	84053510	86385827	1231	0.1312
299330bc-594b-43a2-b4df-72b668d3797a	2	86386052	88828606	612	0.0247
299330bc-594b-43a2-b4df-72b668d3797a	2	88829551	115085849	10003	0.1725
299330bc-594b-43a2-b4df-72b668d3797a	2	115087479	117630097	1025	0.0893
299330bc-594b-43a2-b4df-72b668d3797a	2	117632066	122527204	2998	0.1765
299330bc-594b-43a2-b4df-72b668d3797a	2	122527416	126190200	1393	0.1021
299330bc-594b-43a2-b4df-72b668d3797a	2	126190291	127606563	871	0.1615
299330bc-594b-43a2-b4df-72b668d3797a	2	127608876	127609517	2	-1.8437
299330bc-594b-43a2-b4df-72b668d3797a	2	127614504	136073835	3976	0.1389
299330bc-594b-43a2-b4df-72b668d3797a	2	136074812	136526835	334	0.2737
299330bc-594b-43a2-b4df-72b668d3797a	2	136528206	140542704	2014	0.1092
299330bc-594b-43a2-b4df-72b668d3797a	2	140542855	140940460	233	-0.0916
299330bc-594b-43a2-b4df-72b668d3797a	2	140941535	148439501	4219	0.0755
299330bc-594b-43a2-b4df-72b668d3797a	2	148440454	152585070	2696	0.1366
299330bc-594b-43a2-b4df-72b668d3797a	2	152587303	156678170	2247	0.0895
299330bc-594b-43a2-b4df-72b668d3797a	2	156682429	158407133	924	0.1514
299330bc-594b-43a2-b4df-72b668d3797a	2	158417715	158501154	38	-0.1999
299330bc-594b-43a2-b4df-72b668d3797a	2	158501254	173570166	9092	0.1369
299330bc-594b-43a2-b4df-72b668d3797a	2	173571665	173900200	255	0.3734
299330bc-594b-43a2-b4df-72b668d3797a	2	173903235	182315487	5101	0.1282
299330bc-594b-43a2-b4df-72b668d3797a	2	182317700	182657578	234	-0.303
299330bc-594b-43a2-b4df-72b668d3797a	2	182660333	201558143	9060	0.1125
299330bc-594b-43a2-b4df-72b668d3797a	2	201558672	201558981	3	1.6044
299330bc-594b-43a2-b4df-72b668d3797a	2	201561984	217678582	9669	0.1262
299330bc-594b-43a2-b4df-72b668d3797a	2	217683168	218601388	474	0.6225
